Group,$g_0$,backend,Computation Time,\# Faces,\# Vertices
c2c4,"0,0",ppl,0.208575963974,11,9
c2c4,"0,2",ppl,0.193430900574,9,6
c2c4,"1,3",ppl,0.218586921692,12,12
c2c4,"1,0",ppl,0.17423915863,12,14
c2c4,"0,3",ppl,0.181532144547,12,12
c2c4,"1,1",ppl,0.169627904892,12,12
c2c2c2,"0,1,1",ppl,0.164252996445,11,8
c2c2c2,"1,1,0",ppl,0.354280948639,11,8
c2c2c2,"1,0,0",ppl,0.147850990295,11,8
c2c2c2,"0,0,1",ppl,0.16583609581,11,8
c2c2c2,"1,0,1",ppl,0.1865670681,11,8
c2c2c2,"0,0,0",ppl,0.158346891403,8,7
c2c2c2,"0,1,0",ppl,0.164947032928,11,8
c2c2c2,"1,1,1",ppl,0.177110910416,11,8
c9,0,ppl,0.18926692009,24,36
c9,1,ppl,0.195461988449,15,19
c9,2,ppl,0.176563024521,15,19
c9,8,ppl,0.186362028122,15,19
c9,3,ppl,0.174899101257,16,14
c9,4,ppl,0.194277048111,15,19
c9,5,ppl,0.180325031281,15,19
c9,6,ppl,0.182860136032,16,14
c9,7,ppl,0.179939985275,15,19
c3c3,"0,1",ppl,0.165031909943,13,14
c3c3,"1,2",ppl,0.179499149323,13,14
c3c3,"0,0",ppl,0.176414966583,24,12
c3c3,"2,1",ppl,0.194519996643,13,14
c3c3,"1,1",ppl,0.188791036606,13,14
c3c3,"2,0",ppl,0.176628112793,13,14
c3c3,"2,2",ppl,0.164298057556,13,14
c3c3,"1,0",ppl,0.191703081131,13,14
c3c3,"0,2",ppl,0.189594984055,13,14
c5c2,"0,1",ppl,0.232245922089,25,29
c5c2,"0,0",ppl,0.212129831314,21,37
c5c2,"3,0",ppl,0.165676832199,16,17
c5c2,"3,1",ppl,0.2022960186,21,30
c5c2,"2,1",ppl,0.211416006088,21,30
c5c2,"2,0",ppl,0.202616214752,16,17
c5c2,"1,0",ppl,0.183285951614,16,17
c5c2,"4,1",ppl,0.23245716095,21,30
c5c2,"1,1",ppl,0.218155145645,21,30
c5c2,"4,0",ppl,0.188122987747,16,17
c11,0,ppl,0.238126039505,32,85
c11,1,ppl,0.237854957581,28,32
c11,2,ppl,0.195396900177,28,32
c11,8,ppl,0.207898139954,28,32
c11,3,ppl,0.240628004074,28,32
c11,9,ppl,0.494167089462,28,32
c11,4,ppl,0.193367004395,28,32
c11,10,ppl,0.214768886566,28,32
c11,5,ppl,0.204346895218,28,32
c11,6,ppl,0.216546058655,28,32
c11,7,ppl,0.20194196701,28,32
c3c4,"0,1",ppl,0.291290998459,41,44
c3c4,"1,2",ppl,0.233206987381,20,32
c3c4,"0,0",ppl,0.276857852936,57,52
c3c4,"2,1",ppl,0.256515026093,33,55
c3c4,"0,2",ppl,0.226017951965,26,25
c3c4,"2,0",ppl,0.257258892059,26,28
c3c4,"1,3",ppl,0.289556026459,33,55
c3c4,"2,3",ppl,0.271332025528,33,55
c3c4,"2,2",ppl,0.262948036194,20,32
c3c4,"1,0",ppl,0.243688106537,26,28
c3c4,"0,3",ppl,0.288702964783,41,44
c3c4,"1,1",ppl,0.290948867798,33,55
c3c2c2,"0,1,1",ppl,0.275120973587,31,46
c3c2c2,"2,1,0",ppl,0.297219991684,26,47
c3c2c2,"2,0,0",ppl,0.235406160355,16,14
c3c2c2,"1,1,0",ppl,0.303702831268,26,47
c3c2c2,"1,0,0",ppl,0.217555046082,16,14
c3c2c2,"2,1,1",ppl,0.257924079895,26,47
c3c2c2,"0,0,1",ppl,0.287871837616,31,46
c3c2c2,"1,0,1",ppl,0.271792888641,26,47
c3c2c2,"0,0,0",ppl,0.23811006546,25,29
c3c2c2,"2,0,1",ppl,0.267009019852,26,47
c3c2c2,"0,1,0",ppl,0.294592142105,31,46
c3c2c2,"1,1,1",ppl,0.285000085831,26,47
c13,0,ppl,0.429036855698,84,130
c13,1,ppl,0.323345899582,52,53
c13,2,ppl,0.370192050934,52,53
c13,8,ppl,0.350301027298,52,53
c13,3,ppl,0.31076002121,52,53
c13,9,ppl,0.323586940765,52,53
c13,4,ppl,0.328834056854,52,53
c13,10,ppl,0.336085796356,52,53
c13,5,ppl,0.319198131561,52,53
c13,11,ppl,0.334024190903,52,53
c13,6,ppl,0.310678958893,52,53
c13,12,ppl,0.326075077057,52,53
c13,7,ppl,0.28401184082,52,53
c7c2,"0,1",ppl,0.51415681839,81,93
c7c2,"0,0",ppl,0.406336069107,63,111
c7c2,"3,0",ppl,0.386156082153,44,45
c7c2,"6,1",ppl,0.438093185425,78,89
c7c2,"3,1",ppl,0.453104019165,78,89
c7c2,"6,0",ppl,0.328665018082,44,45
c7c2,"2,1",ppl,0.45515704155,78,89
c7c2,"2,0",ppl,0.353754043579,44,45
c7c2,"5,0",ppl,0.344502210617,44,45
c7c2,"5,1",ppl,0.472768068314,78,89
c7c2,"1,0",ppl,0.334877967834,44,45
c7c2,"4,1",ppl,0.466059923172,78,89
c7c2,"1,1",ppl,0.474542140961,78,89
c7c2,"4,0",ppl,0.28071808815,44,45
c5c3,"0,1",ppl,0.461460113525,92,82
c5c3,"1,2",ppl,0.530220031738,82,89
c5c3,"3,2",ppl,0.501612901688,82,89
c5c3,"0,0",ppl,2.49363803864,322,155
c5c3,"3,0",ppl,0.605443954468,126,64
c5c3,"3,1",ppl,0.596133947372,82,89
c5c3,"2,1",ppl,0.533620834351,82,89
c5c3,"1,1",ppl,0.515252828598,82,89
c5c3,"2,0",ppl,0.633193016052,126,64
c5c3,"2,2",ppl,0.496459960938,82,89
c5c3,"4,2",ppl,0.537588834763,82,89
c5c3,"1,0",ppl,0.559046030045,126,64
c5c3,"4,1",ppl,0.529067993164,82,89
c5c3,"0,2",ppl,0.496134996414,92,82
c5c3,"4,0",ppl,0.599703073502,126,64
c16,15,ppl,1.75233101845,188,147
c16,0,ppl,1.82390093803,205,170
c16,1,ppl,1.29160785675,188,147
c16,2,ppl,0.646005868912,73,81
c16,8,ppl,0.555867910385,119,65
c16,3,ppl,1.30226612091,188,147
c16,9,ppl,1.10345411301,188,147
c16,4,ppl,0.512400865555,109,64
c16,10,ppl,0.497349977493,73,81
c16,5,ppl,1.1686000824,188,147
c16,11,ppl,1.05252599716,188,147
c16,6,ppl,0.470329046249,73,81
c16,12,ppl,0.650597810745,109,64
c16,7,ppl,1.34089708328,188,147
c16,13,ppl,1.35758900642,188,147
c16,14,ppl,0.459695100784,73,81
c2c8,"0,1",ppl,0.906742095947,109,142
c2c8,"1,2",ppl,0.789303064346,138,140
c2c8,"0,0",ppl,0.500837802887,81,69
c2c8,"1,5",ppl,0.819443941116,109,142
c2c8,"1,7",ppl,0.913239955902,109,142
c2c8,"0,7",ppl,0.903290987015,109,142
c2c8,"1,1",ppl,0.910266160965,109,142
c2c8,"0,6",ppl,0.393522024155,29,42
c2c8,"1,3",ppl,0.908158063889,109,142
c2c8,"0,5",ppl,1.35781598091,109,142
c2c8,"1,4",ppl,0.742758989334,100,150
c2c8,"0,4",ppl,0.466293811798,37,26
c2c8,"1,0",ppl,0.943279027939,100,150
c2c8,"1,6",ppl,0.825212001801,138,140
c2c8,"0,3",ppl,0.92046713829,109,142
c2c8,"0,2",ppl,0.383249998093,29,42
c4c4,"0,1",ppl,0.816760063171,120,148
c4c4,"1,2",ppl,0.901180028915,120,148
c4c4,"3,2",ppl,0.814215898514,120,148
c4c4,"0,0",ppl,0.732254981995,171,37
c4c4,"3,3",ppl,0.803424119949,120,148
c4c4,"3,0",ppl,0.8319439888,120,148
c4c4,"3,1",ppl,0.702700138092,120,148
c4c4,"2,1",ppl,0.781560897827,120,148
c4c4,"0,2",ppl,0.5950050354,31,46
c4c4,"2,0",ppl,0.391781806946,31,46
c4c4,"1,3",ppl,0.814228057861,120,148
c4c4,"2,3",ppl,0.824038982391,120,148
c4c4,"2,2",ppl,0.396753072739,31,46
c4c4,"1,0",ppl,1.05038404465,120,148
c4c4,"0,3",ppl,0.901314973831,120,148
c4c4,"1,1",ppl,0.890688896179,120,148
c2c2c4,"0,1,1",ppl,0.716975927353,53,126
c2c2c4,"0,0,2",ppl,0.30157494545,19,16
c2c2c4,"1,0,3",ppl,0.79833483696,53,126
c2c2c4,"0,1,2",ppl,0.699747085571,57,136
c2c2c4,"1,1,0",ppl,0.653586149216,57,136
c2c2c4,"0,0,1",ppl,0.619434833527,53,126
c2c2c4,"0,1,3",ppl,0.519204854965,53,126
c2c2c4,"1,1,1",ppl,0.444061994553,53,126
c2c2c4,"1,0,0",ppl,0.519793987274,57,136
