Group,\# Automorphism Classes,Time Using Automorphisms,Time Without
c12,6,15.358879089355469,30.389324188232422
c13,2,11.116765975952148,32.64095902442932
c14,4,22.60902690887451,61.49467182159424
c15,4,51.958935022354126,119.48394393920898
c16,5,48.98517107963562,173.6321861743927
c17,2,99.66294384002686,526.5237879753113
c18,6,52.30168390274048,819.8178799152374
c19,2,22.92063307762146,192.2446219921112
