Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
0,0,2,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,2,0,0,0,0
3,0,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,1,0,0,1,0,0
5,0,0,0,1,0,0,0,0,0,1,0
6,0,0,0,0,3,0,0,0,0,0,0
7,1,0,0,0,1,0,0,0,0,0,0
8,0,0,0,0,1,0,0,0,0,2,0
9,0,0,0,0,1,0,0,0,2,0,0
10,0,0,0,0,0,0,0,0,1,1,1
11,0,0,0,0,1,0,0,0,0,0,2
12,0,0,0,0,0,0,0,2,2,0,0
13,0,0,0,0,0,0,0,2,0,2,0
14,0,0,0,2,0,0,0,0,0,0,2
15,1,0,0,0,0,2,0,0,0,0,0
16,1,0,0,2,0,0,0,0,0,0,0
17,3,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,6,0
19,1,0,0,0,0,0,0,2,0,0,0
20,0,0,0,6,0,0,0,0,0,0,0
21,0,0,0,0,0,6,0,0,0,0,0
22,0,0,0,0,0,0,0,0,6,0,0
23,0,0,0,0,0,0,0,0,0,0,6
24,0,0,0,0,0,2,0,0,0,0,2
25,0,0,0,2,0,0,0,0,2,0,0
26,0,0,0,0,0,0,0,6,0,0,0
27,0,0,0,1,0,1,0,1,0,0,0
28,0,0,0,0,0,2,0,0,0,2,0
