# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-12,3,6,9,12,4,7,10,2,5,8
11,-16,4,8,12,16,9,2,6,10,14,7
12,-16,4,8,12,16,9,13,6,10,3,7
13,-20,5,10,15,20,14,8,13,7,12,6
14,-24,6,12,18,24,8,3,9,15,21,16
15,-24,6,12,18,24,8,14,9,15,10,16
16,-24,6,12,18,24,19,14,9,15,10,5
17,-28,7,14,21,28,24,20,16,12,8,4
18,-10,8,5,2,10,7,4,1,9,6,3
19,-14,9,7,5,14,12,10,8,6,4,2
20,-18,10,9,8,18,6,5,4,14,13,12
21,-18,10,9,8,18,6,5,15,3,13,12
22,-18,10,9,8,18,6,16,4,14,2,12
23,-26,12,13,14,26,16,6,18,8,20,10
24,-20,16,10,4,20,14,8,13,7,12,6
25,-24,17,12,7,24,8,14,20,4,10,16
26,-30,24,15,6,30,10,12,14,16,18,20
27,-30,24,15,6,30,10,12,25,5,18,20
