# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,2,3,4,4,6,4,2,4,4,4,2,2,2,4,2
17,-4,2,3,2,1,2,4,1,2,2,1,1,3,3,2,2,3
18,-6,2,4,3,2,4,6,2,4,4,4,4,2,2,2,2,4
19,-6,2,4,3,2,4,6,4,4,4,2,4,2,4,2,2,2
20,-18,3,6,9,12,15,18,4,7,10,13,16,2,5,8,11,14
21,-6,4,2,3,4,2,6,2,2,2,2,2,4,4,4,4,4
22,-6,4,2,3,4,2,6,2,2,2,4,2,4,2,4,4,4
23,-6,4,2,3,4,2,6,2,2,2,4,4,2,2,4,4,4
24,-6,4,2,3,4,2,6,4,2,4,2,4,2,4,2,4,2
25,-6,4,2,3,4,2,6,4,2,4,4,4,2,2,2,4,2
26,-6,4,2,3,4,2,6,4,4,4,4,4,2,2,2,2,2
27,-24,4,8,12,16,20,24,11,15,2,6,10,14,18,22,9,13
28,-24,4,8,12,16,20,24,11,15,19,6,10,14,18,5,9,13
29,-30,5,10,15,20,25,30,18,6,11,16,21,9,14,19,24,12
30,-30,5,10,15,20,25,30,18,23,11,16,21,9,14,19,7,12
31,-36,6,12,18,24,30,36,8,14,20,9,15,21,27,16,22,28
32,-36,6,12,18,24,30,36,8,14,20,26,15,21,10,16,22,28
33,-36,6,12,18,24,30,36,25,14,3,9,15,21,27,33,22,11
34,-36,6,12,18,24,30,36,25,14,20,9,15,21,27,16,22,11
35,-36,6,12,18,24,30,36,25,14,20,26,15,21,10,16,22,11
36,-36,6,12,18,24,30,36,25,31,20,26,15,21,10,16,5,11
37,-42,7,14,21,28,35,42,32,22,12,19,26,16,23,30,20,10
38,-42,7,14,21,28,35,42,32,22,29,19,26,16,23,13,20,10
39,-48,8,16,24,32,40,48,22,13,4,12,20,28,36,44,35,26
40,-48,8,16,24,32,40,48,22,30,38,29,20,28,19,10,18,26
