# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0
3,0,0,0,0,1,0,0,0
4,0,0,0,1,0,0,0,0
5,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,0,0
7,-1,1,0,1,0,1,0,1
8,-3,1,2,1,2,3,2,1
9,-5,1,2,3,4,5,2,3
10,-3,3,2,1,0,3,2,1
11,-7,3,6,1,4,7,2,5
12,-15,3,6,9,12,15,10,5
13,-9,5,2,7,4,9,6,3
