Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17
110,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,0
112,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
113,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
114,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0
116,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2
117,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8
118,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
120,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0
121,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
122,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0
123,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,0
124,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
125,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
126,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
127,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
129,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0
130,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
131,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
132,0,0,0,0,0,0,1,0,0,0,2,0,0,2,0,0,0,0
133,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5
135,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
136,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2
137,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
139,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
140,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0
142,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0
143,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
145,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1
146,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
147,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
148,0,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0
149,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0
150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0
151,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0
152,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0
153,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0
155,0,0,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
156,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1
157,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
158,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
159,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0
161,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
162,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
164,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
165,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
166,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0
167,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
168,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
169,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0
170,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
171,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
172,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
173,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
174,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1
175,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0
176,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
177,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0
178,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0
179,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
180,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
181,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
182,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0
183,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
184,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0
185,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
186,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0
187,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
188,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
189,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0
190,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1
192,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0
193,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0
194,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0,0
195,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
196,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0
198,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0
199,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0
200,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0
201,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0
202,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
203,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
204,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
205,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
206,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
207,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0,0,0
208,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
209,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0
211,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
212,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
213,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
214,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0
215,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
216,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
217,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
218,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
219,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
220,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
221,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0
223,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
224,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0
225,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
227,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
228,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
229,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,0,0
230,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
231,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
232,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
233,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
235,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0
236,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,0,0,0
237,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
238,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0
239,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
240,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0
242,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
243,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1
244,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0
245,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
246,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,2,0,0
247,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
248,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
249,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
250,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
251,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
252,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0
253,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
254,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0
255,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
256,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
257,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
258,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
259,0,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0
260,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
261,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
262,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
263,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
264,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0
265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0
266,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
267,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0
268,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
269,0,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0
270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
271,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0
273,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
274,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
275,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
277,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0
278,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3
279,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,2
280,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0
281,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
282,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0
283,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0
284,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
285,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0
286,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0
287,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
