Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2
7,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2
9,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
12,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2
14,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2
18,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
19,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2
20,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0
21,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0
23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
24,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
25,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
26,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0
28,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2
29,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0
30,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0
31,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0
32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0
34,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0
35,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
36,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0
37,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,0
38,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0
39,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,1
40,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,2
41,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0
42,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,1
43,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0
45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0
46,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
47,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0
48,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0
49,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
50,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0
51,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0
52,0,0,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0
53,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
54,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0
55,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0
56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
58,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
60,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0
61,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0
62,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
63,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0
64,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0
65,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0
66,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1
67,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0
68,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1
69,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2
70,0,0,0,0,0,2,0,0,1,0,0,0,0,2,0,0,0
71,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0
72,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0
73,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,1,0
74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
75,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
76,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0
77,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0
78,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0
79,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0
80,0,0,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0
81,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2
82,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
83,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
84,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0
85,0,0,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0
86,0,0,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0
87,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0
88,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0
89,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
90,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0
91,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2
92,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0
93,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
94,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0
95,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0
96,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0
97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
98,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0
99,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
100,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0
101,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
102,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0
103,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2,0,0
104,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0
105,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0
106,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
107,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0
108,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0
109,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
112,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0
113,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1,0,0
114,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0
115,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2
116,0,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0
117,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0
118,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,0
120,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0
121,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0
122,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
123,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0
124,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
125,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
126,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0
127,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0
128,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
129,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0
130,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0
131,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
132,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0
133,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0
134,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
135,0,0,1,0,0,2,0,0,0,0,0,2,0,0,0,0,0
136,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0
137,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0
138,0,0,1,0,2,0,0,0,0,0,0,0,2,0,0,0,0
139,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
140,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
141,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0
142,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0
143,0,0,1,2,0,0,0,0,0,2,0,0,0,0,0,0,0
144,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
145,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
146,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
147,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1
148,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2
149,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
150,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
151,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
152,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0
153,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
154,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
155,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
156,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
158,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0
159,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
160,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
161,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
162,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
163,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0
164,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0
165,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
166,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
167,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0
168,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
169,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0
170,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
171,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0
172,0,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
173,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
174,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
175,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1
176,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
177,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
178,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
179,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
180,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
181,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
182,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
183,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
184,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0
185,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
186,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
187,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
188,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
189,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
191,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0
193,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
194,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
195,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
196,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0
197,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
198,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
199,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
200,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2
201,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0
202,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
203,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
204,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
205,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
206,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
207,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
