# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,2,2,4,4,4,6,2,4,2,2,3,4,4,2,4
17,-6,2,2,2,4,4,4,6,2,4,4,2,3,4,2,2,4
18,-6,2,4,2,4,2,4,6,2,2,4,4,3,2,2,4,4
19,-6,2,4,2,4,2,4,6,2,4,4,4,3,2,2,2,4
20,-6,2,4,4,2,2,4,6,2,4,4,4,3,2,2,2,4
21,-6,2,4,4,2,2,4,6,4,2,4,2,3,4,2,4,2
22,-4,3,2,2,2,2,1,4,3,2,1,1,2,3,3,2,1
23,-6,4,2,2,4,4,2,6,2,4,2,2,3,4,4,2,4
24,-6,4,4,2,4,2,2,6,2,4,4,4,3,2,2,2,4
25,-6,4,4,4,2,2,2,6,4,2,4,4,3,2,2,4,2
26,-28,4,8,12,16,20,24,28,15,2,6,10,14,18,22,26,13
27,-28,4,8,12,16,20,24,28,15,19,6,10,14,18,22,9,13
28,-28,4,8,12,16,20,24,28,15,19,23,10,14,18,5,9,13
29,-18,5,10,15,3,8,13,18,6,11,16,4,9,14,2,7,12
30,-42,6,12,18,24,30,36,42,14,3,9,15,21,27,33,39,28
31,-42,6,12,18,24,30,36,42,14,20,9,15,21,27,33,22,28
32,-42,6,12,18,24,30,36,42,14,20,26,15,21,27,16,22,28
33,-42,6,12,18,24,30,36,42,14,20,26,32,21,10,16,22,28
34,-42,6,12,18,24,30,36,42,31,20,9,15,21,27,33,22,11
35,-42,6,12,18,24,30,36,42,31,20,26,15,21,27,16,22,11
36,-42,6,12,18,24,30,36,42,31,20,26,32,21,10,16,22,11
37,-32,7,14,21,11,18,25,32,22,12,19,9,16,23,13,20,10
38,-32,7,14,21,11,18,25,32,22,12,19,26,16,6,13,20,10
39,-22,8,16,7,15,6,14,22,13,4,12,3,11,19,10,18,9
40,-22,8,16,7,15,6,14,22,13,4,12,20,11,2,10,18,9
