# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,-1,0,1,0,1,0,1,0,1,1
9,0,1,0,0,0,0,0,0,0,0
10,-6,1,5,2,6,3,2,4,3,4
11,-3,2,1,2,3,2,1,2,1,1
12,-7,2,5,4,7,6,4,3,1,3
13,-8,3,5,6,8,4,6,2,4,2
14,-4,4,0,3,4,2,3,1,2,1
15,-9,4,5,3,9,2,3,6,7,6
16,-9,4,5,3,9,7,3,6,2,6
17,-9,4,5,8,9,2,3,6,7,1
18,-6,6,0,2,6,3,2,4,3,4
19,-11,6,5,2,11,8,7,4,3,9
20,-21,6,15,12,21,18,7,14,3,9
