Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7
0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,4,0
2,0,0,0,0,0,2,0,2
3,0,0,0,0,0,2,1,0
4,0,0,0,0,2,0,0,0
5,0,0,0,1,0,0,0,3
6,0,0,0,1,0,0,1,1
7,0,0,0,1,0,1,0,0
8,0,0,0,3,0,0,1,0
9,0,0,0,7,0,0,0,0
10,0,0,1,0,0,0,0,2
11,0,0,1,0,0,0,1,0
12,0,0,2,1,0,0,0,0
13,0,1,0,0,0,0,0,1
14,0,1,0,2,0,0,0,0
15,0,2,0,0,0,1,0,0
16,0,2,2,0,0,0,0,0
17,0,5,0,0,0,0,0,0
18,1,0,0,0,0,0,0,0
