Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6
0,0,0,0,0,0,1,3
1,0,0,0,0,0,3,1
2,0,0,0,0,1,0,2
3,0,0,0,0,1,2,0
4,0,0,0,1,0,1,0
5,0,0,0,2,1,0,0
6,0,0,1,0,0,1,1
7,0,0,1,0,1,0,0
8,0,1,0,0,0,0,0
9,1,0,0,0,0,0,1
10,1,0,0,3,0,0,0
11,1,0,1,1,0,0,0
12,2,0,0,0,1,0,0
13,3,0,0,1,0,0,0
