# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-3,1,1,2,1,1,2,1,2,2,2,3,2,1
15,-3,1,2,2,1,1,2,1,2,2,1,3,2,1
16,-10,2,0,4,2,4,6,6,8,8,10,10,5,5
17,-3,2,1,1,1,2,1,2,2,1,2,3,2,1
18,-3,2,1,1,2,2,1,2,1,1,2,3,2,1
19,-3,2,1,2,1,1,2,1,2,1,2,3,1,2
20,-3,2,1,2,1,1,2,1,2,1,2,3,2,1
21,-3,2,1,2,1,2,1,1,2,1,2,3,2,1
22,-3,2,1,2,2,1,2,1,1,1,2,3,2,1
23,-3,2,2,1,1,1,2,2,2,1,1,3,1,2
24,-3,2,2,2,1,1,2,1,2,1,1,3,2,1
25,-5,2,3,2,1,3,2,3,4,3,2,5,4,1
26,-10,2,7,4,2,4,6,6,8,8,3,10,5,5
27,-17,2,7,4,9,11,6,13,8,15,10,17,12,5
28,-8,3,0,6,3,6,2,2,5,5,8,8,4,4
29,-8,3,7,6,3,6,2,2,5,5,1,8,4,4
30,-15,3,7,6,3,6,9,9,12,12,8,15,4,11
31,-15,3,7,6,3,6,9,9,12,12,8,15,11,4
32,-6,4,0,1,4,1,5,5,2,2,6,6,3,3
33,-13,4,7,8,4,8,5,5,9,9,6,13,3,10
34,-13,4,7,8,4,8,5,5,9,9,6,13,10,3
35,-13,4,7,8,11,1,12,5,2,9,6,13,10,3
36,-13,4,7,8,11,8,5,5,2,9,6,13,10,3
37,-11,5,7,3,5,3,8,8,6,6,4,11,2,9
38,-11,5,7,3,5,3,8,8,6,6,4,11,9,2
39,-11,5,7,10,5,3,8,1,6,6,4,11,2,9
40,-9,6,7,5,6,5,4,4,3,3,2,9,1,8
41,-9,6,7,5,6,5,4,4,3,3,2,9,8,1
42,-23,6,7,12,13,5,18,11,10,17,16,23,8,15
43,-16,6,7,12,13,12,4,4,3,10,9,16,8,8
44,-12,8,0,9,8,9,3,3,4,4,12,12,6,6
45,-12,8,7,2,8,2,10,10,4,4,5,12,6,6
46,-12,8,7,2,8,9,3,10,4,4,5,12,6,6
47,-12,8,7,9,8,2,10,3,4,4,5,12,6,6
48,-12,8,7,9,8,9,3,3,4,4,5,12,6,6
49,-19,8,7,16,15,9,10,3,4,11,12,19,6,13
50,-26,8,14,16,8,9,17,10,18,18,12,26,20,6
51,-33,8,21,16,15,9,24,17,18,25,12,33,6,27
52,-15,10,7,6,3,6,9,9,12,5,8,15,4,11
53,-15,10,7,6,3,6,9,9,12,5,8,15,11,4
54,-15,10,7,6,3,13,2,9,12,5,8,15,4,11
55,-15,10,7,6,10,13,2,9,5,5,8,15,4,11
56,-15,10,7,13,10,6,9,2,5,5,8,15,4,11
57,-20,11,14,8,4,8,12,12,16,9,6,20,17,3
58,-25,12,7,10,5,17,8,15,20,13,18,25,16,9
59,-25,12,7,10,19,17,8,15,6,13,18,25,16,9
60,-18,12,14,3,12,10,8,15,6,6,4,18,9,9
61,-18,12,14,10,5,10,8,8,13,6,4,18,16,2
62,-25,12,21,10,5,17,8,15,20,13,4,25,16,9
63,-24,16,7,18,9,18,6,6,15,8,17,24,12,12
64,-24,16,14,18,9,18,6,6,15,8,10,24,12,12
65,-31,16,21,18,9,11,20,13,22,15,10,31,26,5
66,-27,18,7,22,11,15,12,5,16,9,20,27,10,17
67,-27,18,21,8,11,15,12,19,16,9,6,27,10,17
68,-27,18,21,8,11,15,12,19,16,9,6,27,24,3
69,-27,18,21,22,11,15,12,5,16,9,6,27,10,17
70,-30,20,14,12,6,19,11,18,24,10,16,30,22,8
71,-30,20,21,12,6,12,18,18,24,10,9,30,15,15
72,-30,20,21,12,6,12,18,18,24,10,9,30,22,8
73,-33,22,21,16,15,9,24,17,18,11,12,33,6,27
74,-33,22,21,30,15,9,24,3,18,11,12,33,6,27
75,-45,30,35,18,9,25,20,27,36,15,10,45,26,19
76,-45,30,35,18,9,25,20,27,36,15,10,45,40,5
77,-51,34,21,12,27,33,18,39,24,17,30,51,36,15
