Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7
0,0,0,0,0,0,0,0,2
1,0,0,0,0,0,0,1,0
2,0,0,0,0,2,1,0,0
3,0,0,0,0,5,0,0,0
4,0,0,0,1,0,2,0,0
5,0,0,0,4,0,0,0,0
6,0,0,1,1,0,0,0,0
7,0,0,2,0,2,0,0,0
8,0,1,0,0,1,0,0,0
9,0,2,0,0,0,2,0,0
10,0,2,1,0,0,0,0,0
11,0,8,0,0,0,0,0,0
12,1,0,0,0,0,1,0,0
13,1,0,2,0,0,0,0,0
14,1,1,0,1,0,0,0,0
15,1,3,0,0,0,0,0,0
16,2,0,0,0,1,0,0,0
17,3,0,0,1,0,0,0,0
18,7,0,0,0,0,0,0,0
