# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-10,5,10,4,9,3,8,2,7,1,6
11,-12,6,12,7,2,8,3,9,4,10,5
12,-14,7,14,10,6,2,9,5,12,8,4
13,-16,8,16,2,10,7,4,12,9,6,14
14,-16,8,16,13,10,7,4,12,9,6,3
15,-18,9,18,5,3,12,10,8,6,15,13
16,-18,9,18,5,14,12,10,8,6,4,13
17,-18,9,18,16,14,12,10,8,6,4,2
18,-20,10,20,8,7,6,5,15,14,13,12
19,-20,10,20,8,7,6,16,4,14,13,12
20,-24,12,24,3,15,16,6,18,8,9,21
21,-24,12,24,14,4,16,17,7,8,20,10
22,-24,12,24,14,15,5,6,18,19,9,10
23,-24,12,24,14,15,16,6,18,8,9,10
24,-26,13,26,6,8,10,12,14,16,18,20
25,-28,14,28,20,12,4,7,21,24,16,8
26,-30,15,30,12,5,20,24,6,10,25,18
27,-30,15,30,12,16,20,24,6,10,14,18
