# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0
3,0,0,0,0,1,0,0,0
4,0,0,0,1,0,0,0,0
5,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,0,0
7,-1,1,0,1,0,1,0,1
8,-3,1,2,1,2,1,2,3
9,-3,1,2,3,0,1,2,3
10,-7,1,2,3,4,5,6,7
11,-5,3,2,1,4,3,2,5
12,-9,7,6,5,4,3,2,9
13,-15,9,10,3,12,5,6,15
