# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-3,1,2,2,3,1,1,1,2,1,2,2,2,1
15,-3,1,2,2,3,1,2,1,2,1,2,1,2,1
16,-3,1,2,2,3,2,2,1,1,2,2,1,1,1
17,-8,1,7,2,8,2,3,3,4,4,5,5,6,6
18,-3,2,1,1,3,1,2,1,2,1,2,1,2,2
19,-3,2,1,1,3,2,2,1,2,1,2,1,1,2
20,-3,2,1,1,3,2,2,2,2,1,1,1,1,2
21,-3,2,1,2,3,1,1,1,2,1,2,2,2,1
22,-3,2,1,2,3,1,2,1,1,2,2,1,2,1
23,-3,2,1,2,3,1,2,1,2,1,2,1,2,1
24,-3,2,1,2,3,1,2,2,2,1,1,1,2,1
25,-5,2,3,2,5,3,2,1,4,1,4,3,2,3
26,-9,2,7,4,9,4,6,6,1,8,3,3,5,5
27,-9,2,7,4,9,4,6,6,8,1,3,3,5,5
28,-10,3,7,6,10,6,2,2,5,5,8,8,4,4
29,-11,4,7,8,11,1,5,5,2,9,6,6,10,3
30,-11,4,7,8,11,8,5,5,2,9,6,6,3,3
31,-11,4,7,8,11,8,5,5,9,2,6,6,3,3
32,-18,4,14,8,18,8,12,5,16,2,13,6,10,10
33,-18,4,14,8,18,15,12,12,9,9,6,6,3,10
34,-25,4,21,8,25,15,12,5,16,9,20,13,10,17
35,-12,5,7,3,12,3,8,8,6,6,4,4,9,9
36,-12,5,7,3,12,10,8,8,6,6,4,4,2,9
37,-12,5,7,10,12,3,8,8,6,6,4,4,9,2
38,-12,5,7,10,12,10,8,8,6,6,4,4,2,2
39,-6,6,0,5,6,5,4,4,3,3,2,2,1,1
40,-13,6,7,5,13,5,4,4,3,10,9,9,8,8
41,-13,6,7,5,13,5,4,4,10,3,9,9,8,8
42,-13,6,7,5,13,5,4,11,10,3,2,9,8,8
43,-13,6,7,12,13,5,4,11,10,3,2,9,8,1
44,-20,6,14,12,20,12,11,4,17,3,16,9,8,8
45,-27,6,21,12,27,5,18,11,10,17,16,9,22,15
46,-27,6,21,12,27,19,18,11,10,17,16,9,8,15
47,-27,6,21,12,27,19,18,11,24,3,16,9,8,15
48,-8,8,0,2,8,2,3,3,4,4,5,5,6,6
49,-15,8,7,2,15,9,10,3,4,11,12,5,6,13
50,-15,8,7,2,15,9,10,10,4,11,5,5,6,13
51,-15,8,7,9,15,2,10,10,4,11,5,5,13,6
52,-15,8,7,9,15,9,3,3,4,11,12,12,6,6
53,-15,8,7,9,15,9,3,3,11,4,12,12,6,6
54,-15,8,7,9,15,9,10,3,4,11,12,5,6,6
55,-15,8,7,9,15,9,10,3,11,4,12,5,6,6
56,-16,9,7,4,16,4,6,13,8,8,3,10,12,12
57,-30,9,21,18,30,18,20,6,15,15,24,10,12,12
58,-30,9,21,18,30,18,20,6,22,8,24,10,12,12
59,-10,10,0,6,10,6,2,2,5,5,8,8,4,4
60,-17,10,7,6,17,13,2,9,12,5,8,15,4,11
61,-24,10,14,6,24,6,16,9,12,12,15,8,18,18
62,-31,10,21,20,31,13,16,9,26,5,22,15,18,11
63,-45,10,35,20,45,27,30,9,26,19,36,15,18,25
64,-45,10,35,20,45,27,30,9,40,5,36,15,18,25
65,-12,12,0,3,12,3,8,8,6,6,4,4,9,9
66,-19,12,7,10,19,3,8,15,6,13,4,11,16,9
67,-26,12,14,17,26,10,8,8,20,6,18,18,16,9
68,-33,12,21,24,33,3,22,15,6,27,18,11,30,9
69,-33,12,21,24,33,17,8,15,6,27,18,25,16,9
70,-33,12,21,24,33,17,22,15,6,27,18,11,16,9
71,-23,16,7,18,23,11,6,13,8,15,10,17,12,5
72,-30,16,14,11,30,18,20,6,22,8,24,10,12,19
73,-24,17,7,6,24,6,16,9,12,12,15,8,18,18
74,-25,18,7,8,25,15,12,5,16,9,20,13,10,17
75,-25,18,7,8,25,15,12,19,16,9,6,13,10,17
76,-27,20,7,12,27,5,18,11,10,17,16,9,22,15
77,-51,30,21,18,51,39,34,27,36,15,24,17,12,33
