# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,4,3,2,1,3,3,2,2,2,2,2,1,1,3,2,1
17,-6,6,2,2,2,2,4,4,2,3,4,2,2,4,4,4,4
18,-6,6,2,2,4,2,2,2,2,3,4,4,4,4,2,4,4
19,-6,6,2,2,4,4,4,4,2,3,4,2,2,2,2,4,4
20,-6,6,2,4,2,2,2,2,4,3,2,4,4,4,4,2,4
21,-6,6,2,4,4,2,2,2,2,3,4,4,4,4,2,2,4
22,-6,6,2,4,4,2,2,4,2,3,4,2,4,4,2,2,4
23,-6,6,2,4,4,4,2,2,2,3,4,4,4,2,2,2,4
24,-6,6,4,4,2,2,2,2,4,3,2,4,4,4,4,2,2
25,-6,6,4,4,2,4,2,2,4,3,2,4,4,2,4,2,2
26,-16,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1
27,-18,18,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
28,-20,20,6,9,12,15,18,4,7,10,13,16,2,5,8,11,14
29,-22,22,10,15,3,8,13,18,6,11,16,4,9,14,19,7,12
30,-22,22,10,15,20,8,13,18,6,11,16,4,9,14,2,7,12
31,-24,24,14,4,11,18,8,15,5,12,19,9,16,6,13,20,10
32,-24,24,14,4,11,18,8,15,22,12,2,9,16,6,13,20,10
33,-24,24,14,21,11,18,8,15,5,12,19,9,16,6,13,3,10
34,-26,26,18,10,2,11,20,12,4,13,22,14,6,15,24,16,8
35,-26,26,18,10,19,11,20,12,4,13,22,14,6,15,7,16,8
36,-26,26,18,10,19,11,20,12,21,13,5,14,6,15,7,16,8
37,-28,28,5,16,10,4,15,9,20,14,8,19,13,24,18,12,23
38,-28,28,5,16,10,21,15,9,20,14,8,19,13,7,18,12,23
39,-28,28,22,16,10,4,15,9,20,14,8,19,13,24,18,12,6
40,-28,28,22,16,10,4,15,26,20,14,8,2,13,24,18,12,6
