# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,2,2,1,0,1,2,0,2,1,0,2,1,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-4,1,0,1,0,2,1,2,3,3,2,4,4,3,4
16,-8,2,5,2,5,4,2,4,6,6,4,3,8,6,3
17,-8,2,5,2,5,4,7,4,6,6,4,3,8,1,3
18,-4,3,1,1,2,3,2,1,3,1,2,3,4,2,2
19,-8,3,5,2,4,6,7,2,6,5,4,3,8,1,4
20,-6,4,0,4,0,3,4,3,2,2,3,6,6,2,6
21,-6,4,2,4,4,2,4,4,2,2,3,4,6,2,2
22,-6,4,4,4,2,4,4,2,2,2,3,2,6,2,4
23,-6,4,5,4,5,3,4,3,2,2,3,1,6,2,1
24,-16,4,5,4,10,8,4,8,12,12,8,11,16,12,6
25,-16,4,5,4,10,8,9,8,12,12,8,11,16,7,6
26,-16,4,10,4,5,8,4,8,12,12,8,6,16,12,11
27,-16,4,10,4,5,8,9,8,12,12,8,6,16,7,11
28,-8,6,2,2,4,3,4,5,6,2,4,6,8,4,4
29,-8,6,2,5,4,6,4,2,3,2,4,6,8,4,4
30,-10,6,4,4,8,6,8,4,6,4,5,6,10,2,2
31,-8,6,5,2,4,6,4,2,6,2,4,3,8,4,4
32,-8,6,5,2,7,3,4,5,6,2,4,3,8,4,1
33,-14,6,5,6,10,12,11,2,8,8,7,9,14,3,4
34,-14,6,5,11,10,12,1,2,3,8,7,9,14,13,4
35,-14,6,10,6,10,12,6,2,8,8,7,4,14,8,4
36,-14,6,10,6,10,12,11,2,8,8,7,4,14,3,4
37,-34,6,10,16,20,12,11,22,18,28,17,24,34,23,14
38,-34,6,10,16,20,12,26,22,18,28,17,24,34,8,14
39,-8,7,5,2,5,4,2,4,6,1,4,3,8,6,3
40,-12,8,5,3,10,6,3,6,9,4,6,7,12,9,2
41,-12,8,5,3,10,6,8,6,9,4,6,7,12,4,2
42,-12,8,5,8,10,6,8,6,4,4,6,7,12,4,2
43,-12,8,10,8,5,6,8,6,4,4,6,2,12,4,7
44,-26,9,5,14,10,18,19,8,12,17,13,21,26,7,16
45,-16,9,10,4,5,3,14,13,12,7,8,6,16,2,11
46,-16,9,10,4,5,8,4,8,12,7,8,6,16,12,11
47,-16,9,10,4,10,13,14,3,12,7,8,6,16,2,6
48,-26,9,20,14,10,18,4,8,12,17,13,6,26,22,16
49,-26,9,20,14,10,18,19,8,12,17,13,6,26,7,16
50,-18,12,5,12,10,14,12,4,6,6,9,13,18,6,8
51,-28,12,10,7,20,9,17,19,21,16,14,18,28,11,8
52,-28,12,10,7,20,24,17,4,21,16,14,18,28,11,8
53,-18,12,10,12,5,4,12,14,6,6,9,8,18,6,13
54,-18,12,10,12,10,4,12,14,6,6,9,8,18,6,8
55,-18,12,10,12,10,14,12,4,6,6,9,8,18,6,8
56,-28,12,10,22,20,9,17,19,6,16,14,18,28,11,8
57,-28,12,10,22,20,24,17,4,6,16,14,18,28,11,8
58,-38,12,20,32,10,24,22,14,6,26,19,18,38,16,28
59,-22,18,10,13,5,6,8,16,9,4,11,12,22,14,17
60,-22,18,10,13,20,6,8,16,9,4,11,12,22,14,2
61,-32,18,20,8,10,6,13,26,24,14,16,12,32,19,22
62,-32,18,20,8,10,21,13,11,24,14,16,12,32,19,22
63,-32,18,20,8,10,21,28,11,24,14,16,12,32,4,22
64,-32,18,20,8,25,6,13,26,24,14,16,12,32,19,7
65,-32,18,20,8,25,21,13,11,24,14,16,12,32,19,7
66,-32,18,20,8,25,21,28,11,24,14,16,12,32,4,7
67,-34,21,10,16,20,12,26,22,18,13,17,24,34,8,14
68,-34,21,10,16,20,27,26,7,18,13,17,24,34,8,14
69,-34,21,25,16,20,27,26,7,18,13,17,9,34,8,14
70,-64,21,40,16,20,42,26,22,48,43,32,24,64,38,44
71,-64,21,40,16,20,42,41,22,48,43,32,24,64,23,44
72,-46,24,10,34,20,18,14,28,12,22,23,36,46,32,26
73,-26,24,20,14,10,18,4,8,12,2,13,6,26,22,16
74,-56,24,20,14,40,18,19,38,42,32,28,36,56,37,16
75,-56,24,20,44,40,18,19,38,12,32,28,36,56,37,16
76,-56,24,35,14,40,48,34,8,42,32,28,21,56,22,16
77,-56,24,35,14,40,48,49,8,42,32,28,21,56,7,16
78,-52,33,40,28,20,36,38,16,24,19,26,12,52,14,32
79,-44,36,20,11,25,12,16,32,33,8,22,24,44,28,19
80,-44,36,20,11,40,12,16,32,33,8,22,24,44,28,4
81,-56,39,20,14,40,18,34,38,42,17,28,36,56,22,16
