# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-4,1,0,1,0,2,1,2,3,3,2,4,4,3,4
15,-6,2,2,4,4,3,4,2,4,2,4,6,2,2,4
16,-6,2,4,4,2,3,4,4,4,2,2,6,4,2,2
17,-8,2,5,2,5,4,2,4,6,6,4,8,3,6,3
18,-6,3,1,4,2,3,2,4,3,4,2,6,4,2,5
19,-6,3,2,2,1,3,4,2,3,2,4,6,5,4,4
20,-6,3,2,2,4,3,1,2,3,5,4,6,2,4,4
21,-6,3,2,2,4,3,4,5,3,2,1,6,2,4,4
22,-6,3,4,1,2,3,2,4,3,4,2,6,4,5,2
23,-6,3,4,4,2,3,2,1,3,4,5,6,4,2,2
24,-6,3,4,4,5,3,2,1,3,4,5,6,1,2,2
25,-6,3,4,4,5,3,2,4,3,4,2,6,1,2,2
26,-12,3,4,4,5,6,8,4,9,4,8,12,7,8,8
27,-12,3,4,4,8,6,5,4,9,7,8,12,4,8,8
28,-12,3,4,4,8,6,8,4,9,4,8,12,4,8,8
29,-12,3,4,4,8,6,8,7,9,4,5,12,4,8,8
30,-12,3,4,7,8,6,8,4,9,4,8,12,4,5,8
31,-6,3,5,2,4,3,4,2,3,2,4,6,2,4,1
32,-6,3,5,2,4,3,4,5,3,2,1,6,2,4,1
33,-12,3,5,3,5,6,8,6,9,4,6,12,7,9,7
34,-12,3,5,8,4,6,4,8,9,8,4,12,8,4,7
35,-12,3,5,8,5,6,3,6,9,9,6,12,7,4,7
36,-12,3,5,8,10,6,3,6,9,9,6,12,2,4,7
37,-12,3,5,8,10,6,8,6,9,4,6,12,2,4,7
38,-12,3,5,8,10,6,8,11,9,4,1,12,2,4,7
39,-12,3,7,4,8,6,8,4,9,4,8,12,4,8,5
40,-12,3,8,5,4,6,4,8,9,8,4,12,8,7,4
41,-12,3,8,8,4,6,4,5,9,8,7,12,8,4,4
42,-12,3,8,8,4,6,4,8,9,8,4,12,8,4,4
43,-12,3,8,8,4,6,7,8,9,5,4,12,8,4,4
44,-12,3,8,8,7,6,4,8,9,8,4,12,5,4,4
45,-12,3,10,3,5,6,8,6,9,4,6,12,7,9,2
46,-12,3,10,8,5,6,8,1,9,4,11,12,7,4,2
47,-12,3,10,8,5,6,8,6,9,4,6,12,7,4,2
48,-6,4,0,4,0,3,4,3,2,2,3,6,6,2,6
49,-6,4,2,2,2,3,4,2,2,2,4,6,4,4,4
50,-6,4,2,2,4,3,2,2,2,4,4,6,2,4,4
51,-6,4,2,2,4,3,4,2,2,2,4,6,2,4,4
52,-6,4,2,2,4,3,4,4,2,2,2,6,2,4,4
53,-6,4,2,4,2,3,2,4,2,4,2,6,4,2,4
54,-6,4,2,4,4,3,4,2,2,2,4,6,2,2,4
55,-6,4,4,2,2,3,2,4,2,4,2,6,4,4,2
56,-6,4,4,2,4,3,4,2,2,2,4,6,2,4,2
57,-6,4,4,4,2,3,2,2,2,4,4,6,4,2,2
58,-6,4,4,4,2,3,2,4,2,4,2,6,4,2,2
59,-6,4,4,4,2,3,4,4,2,2,2,6,4,2,2
60,-6,4,4,4,4,3,2,4,2,4,2,6,2,2,2
61,-6,4,5,4,5,3,4,3,2,2,3,6,1,2,1
62,-16,4,5,4,10,8,4,8,12,12,8,16,6,12,11
63,-16,4,5,4,10,8,9,8,12,7,8,16,6,12,11
64,-16,4,10,4,5,8,4,8,12,12,8,16,11,12,6
65,-16,4,10,9,5,8,4,8,12,12,8,16,11,7,6
66,-24,6,5,11,10,12,16,17,18,8,7,24,14,13,19
67,-14,6,10,6,10,7,6,2,8,8,12,14,4,8,4
68,-14,6,10,6,10,7,6,12,8,8,2,14,4,8,4
69,-24,6,10,6,15,12,16,12,18,8,12,24,9,18,14
70,-24,6,10,16,5,12,11,7,18,13,17,24,19,8,14
71,-24,6,10,16,10,12,16,7,18,8,17,24,14,8,14
72,-24,6,10,16,10,12,16,17,18,8,7,24,14,8,14
73,-24,6,10,16,15,12,16,7,18,8,17,24,9,8,14
74,-24,6,10,16,20,12,11,7,18,13,17,24,4,8,14
75,-24,6,10,16,20,12,11,22,18,13,2,24,4,8,14
76,-24,6,15,6,15,12,16,12,18,8,12,24,9,18,9
77,-24,6,15,16,10,12,6,12,18,18,12,24,14,8,9
78,-24,6,15,16,10,12,16,17,18,8,7,24,14,8,9
79,-24,6,15,16,15,12,6,12,18,18,12,24,9,8,9
80,-24,6,20,11,10,12,16,2,18,8,22,24,14,13,4
81,-24,6,20,11,10,12,16,17,18,8,7,24,14,13,4
82,-12,8,5,8,10,6,3,6,4,9,6,12,2,4,7
83,-12,8,5,8,10,6,8,6,4,4,6,12,2,4,7
84,-12,8,10,3,5,6,8,6,4,4,6,12,7,9,2
85,-12,8,10,8,5,6,8,6,4,4,6,12,7,4,2
86,-36,9,20,14,25,18,19,8,27,17,28,36,11,22,16
87,-36,9,25,19,20,18,14,28,27,22,8,36,16,17,11
88,-18,12,5,2,10,9,7,14,6,11,4,18,8,16,13
89,-18,12,5,7,10,9,12,14,6,6,4,18,8,11,13
90,-18,12,5,12,10,9,7,14,6,11,4,18,8,6,13
91,-18,12,5,12,10,9,12,14,6,6,4,18,8,6,13
92,-18,12,10,2,10,9,12,14,6,6,4,18,8,16,8
93,-18,12,10,7,5,9,2,4,6,16,14,18,13,11,8
94,-18,12,10,7,5,9,12,4,6,6,14,18,13,11,8
95,-18,12,10,7,10,9,12,4,6,6,14,18,8,11,8
96,-18,12,10,12,5,9,7,4,6,11,14,18,13,6,8
97,-18,12,10,12,5,9,12,4,6,6,14,18,13,6,8
98,-18,12,10,12,10,9,2,4,6,16,14,18,8,6,8
99,-18,12,10,12,10,9,7,14,6,11,4,18,8,6,8
100,-18,12,10,12,10,9,12,4,6,6,14,18,8,6,8
101,-18,12,10,12,10,9,12,14,6,6,4,18,8,6,8
102,-18,12,10,12,15,9,2,4,6,16,14,18,3,6,8
103,-18,12,10,12,15,9,7,4,6,11,14,18,3,6,8
104,-48,12,10,22,20,24,32,19,36,16,29,48,28,26,38
105,-18,12,15,2,10,9,12,14,6,6,4,18,8,16,3
106,-18,12,15,7,10,9,12,14,6,6,4,18,8,11,3
107,-48,12,20,32,10,24,22,29,36,26,19,48,38,16,28
108,-24,16,10,16,20,12,6,7,8,18,17,24,4,8,14
109,-24,16,10,16,20,12,11,7,8,13,17,24,4,8,14
110,-24,16,15,16,20,12,6,12,8,18,12,24,4,8,9
111,-24,16,20,6,10,12,16,17,8,8,7,24,14,18,4
112,-24,16,20,6,15,12,16,12,8,8,12,24,9,18,4
113,-24,16,20,11,10,12,16,17,8,8,7,24,14,13,4
114,-42,18,10,28,20,21,8,16,24,34,26,42,22,14,32
115,-42,18,20,8,10,21,28,26,24,14,16,42,32,34,22
116,-42,18,25,28,35,21,8,16,24,34,26,42,7,14,17
117,-42,18,35,8,25,21,28,26,24,14,16,42,17,34,7
118,-36,24,20,14,25,18,4,8,12,32,28,36,11,22,16
119,-36,24,20,14,25,18,19,8,12,17,28,36,11,22,16
120,-36,24,25,4,20,18,14,28,12,22,8,36,16,32,11
121,-36,24,25,19,20,18,14,28,12,22,8,36,16,17,11
122,-48,27,20,32,40,24,7,14,21,41,34,48,8,16,28
123,-48,27,40,7,20,24,32,34,21,16,14,48,28,41,8
124,-54,36,10,16,20,27,26,22,18,28,32,54,34,38,44
125,-54,36,20,26,10,27,16,32,18,38,22,54,44,28,34
