# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 + a_18x_18 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-2,0,1,0,1,2,0,1,2,1,1,0,2,1,1,2,1,1,2,1
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-4,2,2,2,1,4,2,2,2,1,3,2,2,1,3,2,3,1,2,3
21,-4,2,2,2,1,4,2,2,2,1,3,2,2,3,3,2,1,3,2,1
22,-4,2,2,2,1,4,2,2,2,1,3,2,2,3,3,2,3,1,2,1
23,-4,2,2,2,1,4,2,2,2,3,1,2,2,1,3,2,1,3,2,3
24,-4,2,2,2,1,4,2,2,2,3,1,2,2,3,3,2,1,3,2,1
25,-4,2,2,2,1,4,2,2,2,3,1,2,2,3,3,2,3,1,2,1
26,-4,2,2,2,3,4,2,2,2,1,3,2,2,1,1,2,1,3,2,3
27,-4,2,2,2,3,4,2,2,2,1,3,2,2,1,1,2,3,1,2,3
28,-4,2,2,2,3,4,2,2,2,1,3,2,2,3,1,2,3,1,2,1
29,-4,2,2,2,3,4,2,2,2,3,1,2,2,1,1,2,1,3,2,3
30,-4,2,2,2,3,4,2,2,2,3,1,2,2,1,1,2,3,1,2,3
31,-4,2,2,2,3,4,2,2,2,3,1,2,2,3,1,2,1,3,2,1
32,-6,2,3,4,1,6,4,3,2,3,3,4,2,5,5,2,3,3,4,1
33,-6,2,3,4,1,6,4,3,4,3,3,2,2,5,5,2,3,3,4,1
34,-6,2,3,4,5,6,4,3,2,3,3,4,2,1,1,2,3,3,4,5
35,-6,2,3,4,5,6,4,3,4,3,3,2,2,1,1,2,3,3,4,5
36,-10,2,5,4,2,10,6,5,2,4,6,8,4,2,8,6,4,6,8,8
37,-10,2,5,4,2,10,6,5,2,4,6,8,4,7,8,6,4,6,8,3
38,-10,2,5,4,2,10,6,5,7,4,6,3,4,2,8,6,4,6,8,8
39,-10,2,5,4,2,10,6,5,7,4,6,3,4,7,8,6,4,6,8,3
40,-10,2,5,4,7,10,6,5,2,4,6,8,4,2,3,6,4,6,8,8
41,-10,2,5,4,7,10,6,5,2,4,6,8,4,7,3,6,4,6,8,3
42,-10,2,5,4,7,10,6,5,2,4,6,8,4,7,3,6,9,1,8,3
43,-10,2,5,4,7,10,6,5,2,9,1,8,4,7,3,6,4,6,8,3
44,-10,2,5,4,7,10,6,5,2,9,1,8,4,7,3,6,9,1,8,3
45,-10,2,5,4,7,10,6,5,7,4,6,3,4,2,3,6,4,6,8,8
46,-10,2,5,4,7,10,6,5,7,4,6,3,4,7,3,6,4,6,8,3
47,-10,3,5,6,3,10,4,5,3,6,4,7,6,8,7,4,6,4,7,2
48,-10,3,5,6,3,10,4,5,8,6,4,2,6,3,7,4,6,4,7,7
49,-10,3,5,6,3,10,4,5,8,6,4,2,6,8,7,4,6,4,7,2
50,-10,3,5,6,8,10,4,5,3,6,4,7,6,3,2,4,6,4,7,7
51,-10,3,5,6,8,10,4,5,8,6,4,2,6,3,2,4,6,4,7,7
52,-10,3,5,6,8,10,4,5,8,6,4,2,6,8,2,4,6,4,7,2
53,-6,4,3,2,3,6,2,3,2,1,5,4,4,3,3,4,5,1,2,3
54,-6,4,3,2,3,6,2,3,2,5,1,4,4,3,3,4,1,5,2,3
55,-6,4,3,2,3,6,4,3,2,1,5,4,2,3,3,4,5,1,2,3
56,-6,4,3,2,3,6,4,3,2,5,1,4,2,3,3,4,1,5,2,3
57,-6,4,3,4,1,6,4,3,2,1,5,4,2,3,5,2,3,3,2,3
58,-6,4,3,4,1,6,4,3,2,3,3,4,2,5,5,2,3,3,2,1
59,-6,4,3,4,1,6,4,3,2,5,1,4,2,3,5,2,3,3,2,3
60,-6,4,3,4,1,6,4,3,4,3,3,2,2,5,5,2,3,3,2,1
61,-6,4,3,4,3,6,2,3,2,1,5,4,4,3,3,2,5,1,2,3
62,-6,4,3,4,3,6,2,3,2,5,1,4,4,3,3,2,1,5,2,3
63,-6,4,3,4,3,6,4,3,2,1,5,4,2,3,3,2,5,1,2,3
64,-6,4,3,4,3,6,4,3,2,3,3,4,2,1,3,2,1,5,2,5
65,-6,4,3,4,3,6,4,3,2,3,3,4,2,1,3,2,5,1,2,5
66,-6,4,3,4,3,6,4,3,2,3,3,4,2,5,3,2,1,5,2,1
67,-6,4,3,4,3,6,4,3,2,3,3,4,2,5,3,2,5,1,2,1
68,-6,4,3,4,3,6,4,3,2,5,1,4,2,3,3,2,1,5,2,3
69,-6,4,3,4,5,6,4,3,2,1,5,4,2,3,1,2,3,3,2,3
70,-6,4,3,4,5,6,4,3,2,3,3,4,2,1,1,2,3,3,2,5
71,-6,4,3,4,5,6,4,3,2,5,1,4,2,3,1,2,3,3,2,3
72,-6,4,3,4,5,6,4,3,4,3,3,2,2,1,1,2,3,3,2,5
73,-10,4,5,3,4,10,2,5,4,3,7,6,8,4,6,7,3,7,6,6
74,-10,4,5,3,4,10,2,5,4,3,7,6,8,4,6,7,8,2,6,6
75,-10,4,5,3,4,10,2,5,4,8,2,6,8,4,6,7,3,7,6,6
76,-10,4,5,3,4,10,2,5,4,8,2,6,8,4,6,7,8,2,6,6
77,-10,4,5,3,4,10,7,5,4,3,7,6,3,4,6,7,8,2,6,6
78,-10,4,5,3,4,10,7,5,4,8,2,6,3,4,6,7,3,7,6,6
79,-10,4,5,8,1,10,8,5,6,3,7,4,2,7,9,2,7,3,6,3
80,-10,4,5,8,1,10,8,5,6,3,7,4,2,9,9,2,7,3,6,1
81,-10,4,5,8,1,10,8,5,6,5,5,4,2,7,9,2,7,3,6,3
82,-10,4,5,8,3,10,8,5,6,3,7,4,2,5,7,2,5,5,6,5
83,-10,4,5,8,3,10,8,5,6,3,7,4,2,5,7,2,7,3,6,5
84,-10,4,5,8,3,10,8,5,6,3,7,4,2,9,7,2,5,5,6,1
85,-10,4,5,8,3,10,8,5,6,3,7,4,2,9,7,2,7,3,6,1
86,-10,4,5,8,3,10,8,5,6,7,3,4,2,5,7,2,5,5,6,5
87,-10,4,5,8,3,10,8,5,6,7,3,4,2,5,7,2,7,3,6,5
88,-10,4,5,8,4,10,2,5,4,3,7,6,8,4,6,2,3,7,6,6
89,-10,4,5,8,4,10,2,5,4,3,7,6,8,4,6,2,8,2,6,6
90,-10,4,5,8,4,10,2,5,4,3,7,6,8,9,6,2,3,7,6,1
91,-10,4,5,8,4,10,2,5,4,8,2,6,8,4,6,2,3,7,6,6
92,-10,4,5,8,4,10,2,5,4,8,2,6,8,4,6,2,8,2,6,6
93,-10,4,5,8,4,10,7,5,4,3,7,6,3,4,6,2,3,7,6,6
94,-10,4,5,8,4,10,7,5,4,3,7,6,3,4,6,2,8,2,6,6
95,-10,4,5,8,4,10,7,5,4,3,7,6,3,9,6,2,3,7,6,1
96,-10,4,5,8,4,10,7,5,4,3,7,6,3,9,6,2,8,2,6,1
97,-10,4,5,8,4,10,7,5,4,8,2,6,3,4,6,2,3,7,6,6
98,-10,4,5,8,4,10,7,5,4,8,2,6,3,4,6,2,8,2,6,6
99,-10,4,5,8,5,10,8,5,6,3,7,4,2,5,5,2,3,7,6,5
100,-10,4,5,8,5,10,8,5,6,3,7,4,2,5,5,2,7,3,6,5
101,-10,4,5,8,5,10,8,5,6,3,7,4,2,7,5,2,3,7,6,3
102,-10,4,5,8,5,10,8,5,6,3,7,4,2,7,5,2,7,3,6,3
103,-10,4,5,8,5,10,8,5,6,5,5,4,2,3,5,2,3,7,6,7
104,-10,4,5,8,5,10,8,5,6,5,5,4,2,3,5,2,7,3,6,7
105,-10,4,5,8,5,10,8,5,6,5,5,4,2,7,5,2,3,7,6,3
106,-10,4,5,8,5,10,8,5,6,5,5,4,2,7,5,2,7,3,6,3
107,-10,4,5,8,5,10,8,5,6,7,3,4,2,3,5,2,3,7,6,7
108,-10,4,5,8,5,10,8,5,6,7,3,4,2,3,5,2,7,3,6,7
109,-10,4,5,8,5,10,8,5,6,7,3,4,2,5,5,2,3,7,6,5
110,-10,4,5,8,5,10,8,5,6,7,3,4,2,5,5,2,7,3,6,5
111,-10,4,5,8,7,10,8,5,6,3,7,4,2,5,3,2,3,7,6,5
112,-10,4,5,8,7,10,8,5,6,3,7,4,2,5,3,2,5,5,6,5
113,-10,4,5,8,7,10,8,5,6,7,3,4,2,1,3,2,3,7,6,9
114,-10,4,5,8,7,10,8,5,6,7,3,4,2,1,3,2,5,5,6,9
115,-10,4,5,8,7,10,8,5,6,7,3,4,2,5,3,2,3,7,6,5
116,-10,4,5,8,7,10,8,5,6,7,3,4,2,5,3,2,5,5,6,5
117,-10,4,5,8,9,10,2,5,4,3,7,6,8,4,1,2,3,7,6,6
118,-10,4,5,8,9,10,2,5,4,3,7,6,8,9,1,2,3,7,6,1
119,-10,4,5,8,9,10,7,5,4,3,7,6,3,4,1,2,3,7,6,6
120,-10,4,5,8,9,10,7,5,4,8,2,6,3,4,1,2,3,7,6,6
121,-10,4,5,8,9,10,8,5,6,5,5,4,2,3,1,2,3,7,6,7
122,-10,4,5,8,9,10,8,5,6,7,3,4,2,1,1,2,3,7,6,9
123,-10,4,5,8,9,10,8,5,6,7,3,4,2,3,1,2,3,7,6,7
