# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0
3,0,0,0,0,1,0,0,0
4,0,0,0,1,0,0,0,0
5,0,0,1,0,0,0,0,0
6,-1,0,1,0,1,1,0,1
7,0,1,0,0,0,0,0,0
8,-1,1,1,0,0,1,1,0
9,-2,1,2,2,1,0,1,1
10,-4,1,4,2,1,2,3,3
11,-4,3,4,2,3,2,1,1
