# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,2,1,2,2,2,3,2,4,1,3,1,2,2,3,1,3
17,-6,2,2,4,3,2,4,4,6,2,4,4,2,4,2,2,4
18,-6,2,2,4,3,2,4,4,6,4,2,4,4,2,2,4,2
19,-6,2,4,2,3,4,2,4,6,4,2,4,4,2,2,4,2
20,-6,2,4,4,3,2,2,4,6,2,4,4,2,4,2,2,4
21,-6,2,4,4,3,2,2,4,6,4,2,4,4,2,2,4,2
22,-6,2,4,4,3,2,2,4,6,4,4,4,2,4,2,2,2
23,-16,2,4,6,8,10,12,14,16,1,3,5,7,9,11,13,15
24,-24,3,6,9,12,15,18,21,24,10,13,16,19,5,8,11,14
25,-6,4,2,2,3,4,4,2,6,4,2,2,4,2,4,4,2
26,-6,4,4,2,3,4,2,2,6,4,4,2,4,2,4,2,2
27,-6,4,4,4,3,2,2,2,6,4,2,4,4,2,2,4,2
28,-32,4,8,12,16,20,24,28,32,19,6,10,14,18,22,26,13
29,-32,4,8,12,16,20,24,28,32,19,23,10,14,18,22,9,13
30,-40,5,10,15,20,25,30,35,40,28,16,21,26,14,19,24,12
31,-40,5,10,15,20,25,30,35,40,28,33,21,26,14,19,7,12
32,-48,6,12,18,24,30,36,42,48,20,26,32,21,27,16,22,28
33,-48,6,12,18,24,30,36,42,48,37,26,15,21,27,33,22,11
34,-48,6,12,18,24,30,36,42,48,37,26,32,21,27,16,22,11
35,-22,7,14,4,11,18,8,15,22,12,2,9,16,6,13,20,10
36,-22,7,14,4,11,18,8,15,22,12,19,9,16,6,13,3,10
37,-56,7,14,21,28,35,42,49,56,46,36,26,33,23,30,20,10
38,-30,8,16,7,15,23,14,22,30,4,12,20,11,19,10,18,26
39,-30,8,16,7,15,23,14,22,30,21,12,20,11,19,10,18,9
40,-30,8,16,24,15,6,14,22,30,4,12,20,11,19,10,18,26
