# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-4,2,3,4,2,1,2,1,2,1,2,3,2,3
14,-6,3,0,6,3,6,2,2,5,5,1,1,4,4
15,-8,4,0,8,4,8,5,5,2,2,6,6,3,3
16,-8,4,7,8,4,1,5,5,2,2,6,6,3,3
17,-10,5,0,10,5,10,8,8,6,6,4,4,2,2
18,-10,5,7,10,5,3,8,1,6,6,4,4,2,9
19,-10,5,7,10,5,3,8,8,6,6,4,4,2,2
20,-12,6,0,12,6,12,4,4,3,3,9,9,8,8
21,-12,6,7,12,6,5,4,4,3,3,9,9,8,8
22,-12,6,7,12,6,5,4,4,3,10,9,2,8,8
23,-12,6,7,12,6,5,4,4,10,3,2,9,8,8
24,-12,6,7,12,6,5,4,4,10,10,2,2,8,8
25,-12,6,7,12,6,5,4,11,10,3,2,9,8,1
26,-16,8,7,16,8,9,10,3,4,4,12,12,6,13
27,-16,8,7,16,8,9,10,3,4,11,12,5,6,13
28,-16,8,7,16,8,9,10,3,11,4,5,12,6,13
29,-16,8,7,16,8,9,10,10,4,11,12,5,6,6
30,-16,8,14,16,8,2,10,10,4,11,12,5,6,6
31,-18,9,7,18,9,11,6,13,8,15,10,3,12,5
32,-18,9,14,18,9,4,6,6,8,8,10,10,12,12
33,-18,9,14,18,9,4,6,6,8,15,10,3,12,12
34,-18,9,14,18,9,4,6,13,8,15,10,3,12,5
35,-20,10,7,20,10,13,16,9,12,5,8,15,4,11
36,-20,10,14,20,10,6,16,2,12,5,8,15,4,18
37,-20,10,14,20,10,6,16,9,12,5,8,15,4,11
38,-24,12,7,24,12,17,8,15,6,6,18,18,16,9
39,-24,12,7,24,12,17,8,15,6,13,18,11,16,9
40,-24,12,14,24,12,10,8,15,6,6,18,18,16,9
41,-24,12,14,24,12,10,8,15,6,20,18,4,16,9
42,-24,12,21,24,12,3,8,15,6,13,18,11,16,9
43,-24,12,21,24,12,3,8,15,6,20,18,4,16,9
