# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6
0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,1,0
2,0,0,0,0,0,1,0,0
3,0,0,0,0,1,0,0,0
4,0,0,0,1,0,0,0,0
5,0,0,1,0,0,0,0,0
6,0,1,0,0,0,0,0,0
7,-4,1,2,3,2,1,2,3
8,-8,1,2,3,4,5,6,7
9,-4,3,2,1,2,3,2,1
10,-8,3,6,1,4,7,2,5
11,-8,3,6,5,4,3,2,5
12,-8,5,2,3,4,5,6,3
13,-8,5,2,7,4,1,6,3
14,-8,7,6,5,4,3,2,1
