# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,4,6,2,2,2,2,2,4,3,2,4,4,4,4,4
17,-6,2,4,6,2,2,4,4,4,4,3,2,2,2,2,4,4
18,-6,2,4,6,2,4,2,2,2,2,3,4,4,4,4,2,4
19,-6,2,4,6,2,4,2,2,2,4,3,2,4,4,4,2,4
20,-6,2,4,6,2,4,2,4,4,4,3,2,2,2,4,2,4
21,-6,2,4,6,2,4,4,4,4,4,3,2,2,2,2,2,4
22,-6,2,4,6,4,4,2,2,2,4,3,2,4,4,4,2,2
23,-4,3,1,4,2,1,3,2,3,2,2,2,1,2,1,3,2
24,-6,4,2,6,4,2,2,2,2,2,3,4,4,4,4,4,2
25,-6,4,2,6,4,4,2,2,4,2,3,4,2,4,4,2,2
26,-18,6,12,18,7,13,2,8,14,3,9,15,4,10,16,5,11
27,-24,8,16,24,15,6,14,5,13,4,12,20,11,19,10,18,9
28,-24,8,16,24,15,6,14,5,13,21,12,3,11,19,10,18,9
29,-24,8,16,24,15,6,14,22,13,4,12,20,11,2,10,18,9
30,-30,10,20,30,6,16,9,19,12,5,15,25,18,11,21,14,24
31,-30,10,20,30,6,16,9,19,12,22,15,8,18,11,21,14,24
32,-30,10,20,30,6,16,26,2,12,22,15,8,18,28,4,14,24
33,-30,10,20,30,6,16,26,19,12,22,15,8,18,11,4,14,24
34,-30,10,20,30,23,16,9,19,12,5,15,25,18,11,21,14,7
35,-30,10,20,30,23,16,9,19,12,22,15,8,18,11,21,14,7
36,-30,10,20,30,23,16,26,19,12,22,15,8,18,11,4,14,7
37,-16,11,5,16,10,4,15,9,3,14,8,2,13,7,1,12,6
38,-36,12,24,36,14,9,4,16,28,23,18,13,8,20,32,27,22
39,-36,12,24,36,14,9,21,16,11,6,18,30,25,20,15,27,22
40,-36,12,24,36,14,9,21,16,11,23,18,13,25,20,15,27,22
