# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-3,1,1,2,1,1,2,2,2,3,2,1,2,1
15,-3,1,1,2,2,1,1,2,2,3,2,1,2,1
16,-3,1,1,2,2,1,1,2,2,3,2,2,1,1
17,-8,2,0,4,2,4,6,6,8,8,3,3,5,5
18,-3,2,1,1,1,2,2,1,2,3,2,1,2,1
19,-3,2,1,2,1,1,2,1,2,3,1,1,2,2
20,-3,2,1,2,1,1,2,1,2,3,2,1,2,1
21,-3,2,1,2,1,1,2,1,2,3,2,2,1,1
22,-3,2,2,1,2,2,1,1,1,3,2,1,2,1
23,-3,2,2,2,1,1,2,1,1,3,1,1,2,2
24,-3,2,2,2,1,1,2,1,1,3,2,1,2,1
25,-5,2,3,4,3,1,2,3,2,5,2,1,4,3
26,-8,2,7,4,2,4,6,6,1,8,3,3,5,5
27,-15,2,7,4,9,11,6,13,8,15,10,3,12,5
28,-15,2,7,4,9,11,6,13,8,15,10,10,5,5
29,-12,3,0,6,3,6,9,9,12,12,8,8,4,4
30,-12,3,7,6,3,6,9,9,5,12,8,8,4,4
31,-12,3,7,6,10,6,2,9,5,12,8,8,4,4
32,-9,4,7,1,4,8,5,5,2,9,6,6,3,3
33,-9,4,7,8,4,1,5,5,2,9,6,6,3,3
34,-16,4,7,8,4,8,12,12,9,16,6,13,3,10
35,-6,5,0,3,5,3,1,1,6,6,4,4,2,2
36,-13,5,7,3,5,10,8,8,6,13,4,4,9,9
37,-13,5,7,10,5,3,8,8,6,13,4,4,9,9
38,-13,5,7,10,5,3,8,8,6,13,4,11,2,9
39,-10,6,0,5,6,5,4,4,10,10,2,2,8,8
40,-10,6,7,5,6,5,4,4,3,10,2,2,8,8
41,-24,6,7,12,6,12,18,18,17,24,16,9,15,8
42,-17,6,7,12,13,5,4,11,10,17,2,9,8,15
43,-24,6,14,12,6,12,18,18,10,24,16,9,15,8
44,-11,8,7,2,1,9,10,3,4,11,5,5,6,6
45,-11,8,7,2,8,9,3,3,4,11,5,5,6,6
46,-11,8,7,9,8,2,3,3,4,11,5,5,6,6
47,-25,8,7,16,15,9,10,17,18,25,12,5,20,13
48,-25,8,7,16,15,9,10,17,18,25,12,19,6,13
49,-18,8,14,9,15,9,3,10,4,18,12,12,6,6
50,-18,8,14,16,8,2,10,10,4,18,12,5,13,6
51,-25,8,21,16,15,9,10,17,4,25,12,5,20,13
52,-15,9,7,4,2,11,13,6,8,15,10,10,5,5
53,-15,9,7,4,9,11,6,6,8,15,3,3,12,12
54,-15,9,7,4,9,11,6,6,8,15,10,3,12,5
55,-15,9,7,11,9,4,6,6,8,15,3,3,12,12
56,-15,9,7,11,9,4,6,6,8,15,10,3,12,5
57,-12,10,7,6,3,6,9,2,5,12,8,8,4,4
58,-19,10,7,6,3,13,16,9,12,19,8,15,4,11
59,-12,10,7,6,10,6,2,2,5,12,8,8,4,4
60,-30,11,14,22,18,8,12,19,16,30,20,6,24,10
61,-13,12,7,10,5,3,8,1,6,13,4,11,2,9
62,-27,12,7,10,5,17,22,15,20,27,18,11,16,9
63,-20,12,14,17,12,3,8,8,6,20,11,4,16,9
64,-27,12,21,10,5,17,22,15,6,27,18,11,16,9
65,-27,12,21,10,19,17,8,15,6,27,18,11,16,9
66,-27,12,21,24,19,3,8,15,6,27,18,11,16,9
67,-26,17,14,20,10,6,16,9,12,26,8,8,18,18
68,-23,18,7,8,11,15,12,5,16,23,6,13,10,17
69,-30,18,21,15,18,15,12,12,9,30,20,6,24,10
70,-30,18,21,22,18,8,12,12,9,30,20,6,24,10
71,-51,18,21,36,39,15,12,33,30,51,34,27,24,17
72,-31,20,21,26,13,5,18,11,10,31,16,9,22,15
73,-45,20,35,26,27,19,18,25,10,45,30,9,36,15
74,-45,20,35,40,27,5,18,25,10,45,30,9,36,15
75,-33,24,21,6,3,27,30,9,12,33,22,15,18,11
76,-33,24,21,6,17,27,16,9,12,33,8,15,18,25
77,-33,24,21,6,17,27,16,9,12,33,22,15,18,11
