# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-12,4,8,12,5,9,2,6,10,3,7
11,-18,6,12,18,2,8,14,9,4,10,16
12,-18,6,12,18,13,8,3,9,15,10,5
13,-18,6,12,18,13,8,14,9,4,10,5
14,-10,7,3,10,6,2,9,5,1,8,4
15,-24,8,16,24,10,7,4,12,20,17,14
16,-24,8,16,24,10,18,15,12,9,6,14
17,-24,8,16,24,21,18,15,12,9,6,3
18,-16,9,7,16,3,12,10,8,6,4,13
19,-16,9,7,16,14,12,10,8,6,4,2
20,-30,10,20,30,18,6,5,15,25,24,12
21,-30,10,20,30,18,6,16,15,14,24,12
22,-14,12,2,14,4,5,6,7,8,9,10
23,-20,14,6,20,12,4,7,10,13,16,8
24,-20,14,6,20,12,15,7,10,13,5,8
25,-26,16,10,26,20,14,8,13,18,12,6
26,-24,19,5,24,10,18,15,12,9,6,14
27,-28,24,4,28,8,21,12,14,16,7,20
