# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5
0,0,0,0,0,0,0,1
1,0,0,0,0,0,1,0
2,0,0,0,0,1,0,0
3,0,0,0,1,0,0,0
4,0,0,1,0,0,0,0
5,0,1,0,0,0,0,0
6,-10,2,4,6,8,10,5
7,-8,3,6,2,5,8,4
8,-6,4,1,5,2,6,3
9,-12,8,9,3,4,12,6
