# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,2,2,2,2,4,4,4,4,4,6,2,4,3,2,4
17,-6,2,2,2,4,2,4,2,4,4,4,6,4,2,3,4,2
18,-6,2,4,2,2,2,4,4,4,2,4,6,2,4,3,2,4
19,-6,2,4,2,2,2,4,4,4,2,4,6,4,4,3,2,2
20,-6,2,4,2,4,2,4,2,4,2,4,6,2,4,3,2,4
21,-22,2,4,6,8,10,12,14,16,18,20,22,7,9,11,13,15
22,-4,3,2,2,3,3,1,1,2,2,1,4,2,1,2,3,2
23,-16,3,6,9,12,15,1,4,7,10,13,16,2,5,8,11,14
24,-6,4,2,2,2,2,4,4,4,4,2,6,4,2,3,4,2
25,-6,4,4,4,2,2,4,4,2,2,2,6,2,4,3,2,4
26,-6,4,4,4,2,4,2,4,2,2,2,6,2,4,3,2,4
27,-6,4,4,4,4,4,2,2,2,2,2,6,2,4,3,2,4
28,-44,4,8,12,16,20,24,28,32,36,40,44,31,18,22,26,13
29,-38,5,10,15,20,25,13,18,23,28,33,38,26,14,19,24,12
30,-32,6,12,18,7,13,19,25,14,20,26,32,21,10,16,22,11
31,-32,6,12,18,24,13,19,8,14,20,26,32,4,10,16,22,28
32,-32,6,12,18,24,13,19,8,14,20,26,32,21,10,16,22,11
33,-66,6,12,18,24,30,36,42,48,54,60,66,38,44,33,22,28
34,-66,6,12,18,24,30,36,42,48,54,60,66,55,44,33,22,11
35,-26,7,14,4,11,18,8,15,22,12,19,26,16,6,13,20,10
36,-26,7,14,21,11,18,8,15,5,12,19,26,16,6,13,20,10
37,-60,7,14,21,28,35,25,32,39,46,53,60,50,40,30,20,10
38,-20,8,16,7,15,6,14,5,13,4,12,20,11,2,10,18,9
39,-54,8,16,24,15,23,31,39,30,38,46,54,45,36,27,18,9
40,-54,8,16,24,32,23,31,22,30,38,46,54,45,36,27,18,9
