# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,2,2,4,2,4,4,4,6,4,2,2,3,4,4,2
17,-6,2,2,4,2,4,2,4,4,6,2,2,4,3,2,4,4
18,-6,2,4,2,2,4,4,2,4,6,2,2,2,3,4,4,4
19,-6,2,4,2,2,4,4,2,4,6,4,2,2,3,4,4,2
20,-6,2,4,2,2,4,4,2,4,6,4,2,4,3,2,4,2
21,-6,2,4,2,2,4,4,2,4,6,4,4,2,3,4,2,2
22,-6,2,4,4,2,4,2,2,4,6,2,4,4,3,2,2,4
23,-18,2,4,6,8,10,12,14,16,18,3,5,7,9,11,13,15
24,-4,3,1,3,2,2,1,3,1,4,2,3,2,2,2,1,2
25,-6,4,2,2,4,2,4,4,2,6,4,2,2,3,4,4,2
26,-6,4,2,2,4,2,4,4,2,6,4,4,2,3,4,2,2
27,-36,4,8,12,16,20,24,28,32,36,23,10,14,18,22,26,13
28,-36,4,8,12,16,20,24,28,32,36,23,27,14,18,22,9,13
29,-28,5,10,15,20,8,13,18,23,28,16,4,9,14,19,24,12
30,-28,5,10,15,20,8,13,18,23,28,16,21,9,14,19,7,12
31,-20,6,12,18,7,13,2,8,14,20,9,15,4,10,16,5,11
32,-54,6,12,18,24,30,36,42,48,54,26,32,38,27,16,22,28
33,-54,6,12,18,24,30,36,42,48,54,43,32,21,27,33,22,11
34,-54,6,12,18,24,30,36,42,48,54,43,32,38,27,16,22,11
35,-46,7,14,21,28,18,25,32,39,46,36,26,16,23,30,20,10
36,-46,7,14,21,28,18,25,32,39,46,36,26,33,23,13,20,10
37,-38,8,16,24,15,23,14,22,30,38,12,20,28,19,10,18,26
38,-38,8,16,24,15,23,14,22,30,38,29,20,11,19,27,18,9
39,-38,8,16,24,15,23,14,22,30,38,29,20,28,19,10,18,9
40,-38,8,16,24,32,6,14,22,30,38,12,20,11,19,27,18,26
