# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-14,2,4,6,8,10,12,14,5,7,9
11,-10,3,6,9,1,4,7,10,2,5,8
12,-28,4,8,12,16,20,24,28,21,14,7
13,-24,5,10,15,9,14,19,24,18,12,6
14,-20,6,12,7,13,8,14,20,4,10,16
15,-20,6,12,7,13,8,14,20,15,10,5
16,-16,7,3,10,6,13,9,16,12,8,4
17,-16,7,14,10,6,2,9,16,12,8,4
18,-12,8,5,2,10,7,4,12,9,6,3
19,-26,10,20,8,18,6,16,26,14,13,12
20,-18,12,2,14,4,16,6,18,8,9,10
21,-18,12,13,3,15,5,6,18,8,9,10
22,-18,12,13,14,4,5,6,18,8,9,10
23,-24,16,10,4,20,14,8,24,7,12,17
24,-24,16,10,15,9,14,8,24,18,12,6
25,-24,16,21,15,9,3,8,24,18,12,6
26,-30,20,18,5,25,12,10,30,6,15,24
27,-30,20,18,16,14,12,10,30,6,15,24
