# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-4,4,0,4,0,3,4,3,2,2,3,1,1,2,1
15,-6,6,0,6,0,2,6,2,3,3,2,4,4,3,4
16,-6,6,1,4,2,3,5,4,3,4,2,3,4,2,2
17,-6,6,2,2,4,2,4,2,3,2,2,4,4,4,4
18,-6,6,2,2,4,2,4,2,3,2,4,4,2,4,4
19,-6,6,2,2,4,2,4,2,3,4,4,4,2,2,4
20,-6,6,2,2,4,2,4,4,3,2,4,4,2,4,2
21,-6,6,2,2,4,3,4,2,3,5,4,3,2,1,4
22,-6,6,2,2,4,3,4,5,3,2,4,3,2,4,1
23,-6,6,2,2,4,4,4,2,3,2,2,2,4,4,4
24,-6,6,2,4,2,2,4,2,3,2,4,4,2,4,4
25,-6,6,2,4,2,2,4,4,3,4,2,4,4,2,2
26,-6,6,2,5,1,3,4,2,3,2,4,3,2,4,4
27,-6,6,4,1,5,3,2,4,3,1,2,3,4,5,2
28,-6,6,4,1,5,3,2,4,3,4,2,3,4,2,2
29,-6,6,4,2,4,2,2,2,3,2,4,4,2,4,4
30,-6,6,4,2,4,2,2,4,3,4,2,4,4,2,2
31,-6,6,4,4,2,2,2,2,3,4,2,4,4,2,4
32,-6,6,4,4,2,2,2,4,3,2,2,4,4,4,2
33,-6,6,4,4,2,2,2,4,3,4,2,4,4,2,2
34,-6,6,4,4,2,2,2,4,3,4,4,4,2,2,2
35,-6,6,4,4,2,3,2,4,3,1,2,3,4,5,2
36,-6,6,4,4,2,3,2,4,3,4,5,3,1,2,2
37,-6,6,4,4,2,4,2,2,3,4,2,2,4,2,4
38,-6,6,5,1,5,2,1,2,3,3,2,4,4,3,4
39,-6,6,5,2,4,3,1,2,3,2,4,3,2,4,4
40,-6,6,5,2,4,3,1,2,3,5,4,3,2,1,4
41,-8,8,5,3,5,6,3,6,4,4,6,2,2,4,2
42,-12,12,4,4,8,9,8,4,6,4,5,3,7,8,8
43,-12,12,4,4,8,9,8,4,6,4,8,3,4,8,8
44,-12,12,4,4,8,9,8,4,6,7,8,3,4,5,8
45,-12,12,4,4,8,9,8,7,6,4,8,3,4,8,5
46,-12,12,4,7,5,9,8,4,6,4,8,3,4,8,8
47,-12,12,5,2,10,4,7,4,6,6,4,8,8,6,8
48,-12,12,5,2,10,4,7,9,6,6,4,8,8,6,3
49,-12,12,5,2,10,9,7,4,6,6,4,3,8,6,8
50,-12,12,5,2,10,9,7,4,6,11,4,3,8,1,8
51,-12,12,5,2,10,9,7,9,6,6,4,3,8,6,3
52,-12,12,5,7,5,9,7,4,6,6,9,3,3,6,8
53,-12,12,5,7,5,9,7,9,6,6,4,3,8,6,3
54,-12,12,5,8,4,9,7,8,6,8,4,3,8,4,4
55,-12,12,7,4,8,9,5,4,6,4,8,3,4,8,8
56,-12,12,8,5,7,9,4,8,6,8,4,3,8,4,4
57,-12,12,8,8,4,9,4,5,6,8,4,3,8,4,7
58,-12,12,8,8,4,9,4,8,6,5,4,3,8,7,4
59,-12,12,8,8,4,9,4,8,6,8,4,3,8,4,4
60,-12,12,8,8,4,9,4,8,6,8,7,3,5,4,4
61,-12,12,10,7,5,4,2,4,6,6,4,8,8,6,8
62,-12,12,10,7,5,4,2,4,6,6,9,8,3,6,8
63,-12,12,10,7,5,9,2,4,6,1,4,3,8,11,8
64,-12,12,10,7,5,9,2,4,6,6,4,3,8,6,8
65,-12,12,10,7,5,9,2,4,6,6,9,3,3,6,8
66,-14,14,10,4,10,8,4,8,7,2,8,6,6,12,6
67,-14,14,10,4,10,8,4,8,7,12,8,6,6,2,6
68,-16,16,5,6,10,12,11,7,8,8,12,4,4,8,9
69,-16,16,5,6,10,12,11,12,8,8,12,4,4,8,4
70,-16,16,10,11,5,12,6,12,8,8,7,4,9,8,4
71,-16,16,10,11,5,12,6,12,8,8,12,4,4,8,4
72,-18,18,5,8,10,6,13,6,9,14,6,12,12,4,12
73,-18,18,5,8,10,6,13,6,9,14,11,12,7,4,12
74,-18,18,5,8,10,6,13,11,9,14,6,12,12,4,7
75,-18,18,5,8,10,6,13,11,9,14,16,12,2,4,7
76,-18,18,10,3,15,6,8,11,9,4,6,12,12,14,7
77,-18,18,10,3,15,6,8,16,9,4,6,12,12,14,2
78,-18,18,10,8,10,6,8,6,9,4,6,12,12,14,12
79,-18,18,10,8,10,6,8,6,9,4,11,12,7,14,12
80,-18,18,10,8,10,6,8,6,9,14,6,12,12,4,12
81,-18,18,10,8,10,6,8,6,9,14,16,12,2,4,12
82,-18,18,10,8,10,6,8,11,9,14,6,12,12,4,7
83,-18,18,10,8,10,6,8,16,9,4,6,12,12,14,2
84,-18,18,10,13,5,6,8,6,9,4,6,12,12,14,12
85,-18,18,10,13,5,6,8,6,9,4,11,12,7,14,12
86,-18,18,10,13,5,6,8,11,9,4,6,12,12,14,7
87,-18,18,10,13,5,6,8,16,9,4,11,12,7,14,2
88,-18,18,15,8,10,6,3,6,9,14,11,12,7,4,12
89,-18,18,15,8,10,6,3,6,9,14,16,12,2,4,12
90,-24,24,5,14,10,18,19,8,12,17,13,6,11,7,16
91,-24,24,10,4,20,8,14,13,12,7,8,16,16,17,11
92,-24,24,10,4,20,8,14,18,12,7,8,16,16,17,6
93,-24,24,10,4,20,18,14,13,12,7,8,6,16,17,11
94,-24,24,10,4,20,18,14,13,12,22,8,6,16,2,11
95,-24,24,10,9,15,18,14,8,12,7,8,6,16,17,16
96,-24,24,10,9,15,18,14,8,12,12,18,6,6,12,16
97,-24,24,10,14,10,18,14,8,12,7,8,6,16,17,16
98,-24,24,10,14,10,18,14,8,12,17,8,6,16,7,16
99,-24,24,10,19,5,18,14,13,12,7,8,6,16,17,11
100,-24,24,15,4,20,8,9,18,12,12,8,16,16,12,6
101,-24,24,15,9,15,18,9,8,12,12,18,6,6,12,16
102,-24,24,15,9,15,18,9,18,12,12,8,6,16,12,6
103,-24,24,15,14,10,18,9,8,12,17,8,6,16,7,16
104,-24,24,15,14,10,18,9,18,12,12,8,6,16,12,6
105,-24,24,20,9,15,8,4,8,12,12,18,16,6,12,16
106,-24,24,20,14,10,8,4,8,12,17,13,16,11,7,16
107,-24,24,20,14,10,8,4,8,12,17,18,16,6,7,16
108,-24,24,20,14,10,18,4,8,12,2,13,6,11,22,16
109,-24,24,20,14,10,18,4,8,12,17,13,6,11,7,16
110,-36,36,20,11,25,12,16,17,18,8,22,24,14,28,19
111,-36,36,20,11,25,12,16,32,18,8,22,24,14,28,4
112,-36,36,20,11,25,27,16,17,18,8,22,9,14,28,19
113,-36,36,25,16,20,12,11,22,18,28,17,24,19,8,14
114,-36,36,25,16,20,12,11,22,18,28,32,24,4,8,14
115,-36,36,25,16,20,27,11,22,18,28,17,9,19,8,14
116,-42,42,10,22,20,24,32,34,21,16,14,18,28,26,8
117,-42,42,20,32,10,24,22,14,21,26,34,18,8,16,28
118,-42,42,25,7,35,24,17,34,21,16,14,18,28,26,8
119,-42,42,35,17,25,24,7,14,21,26,34,18,8,16,28
120,-48,48,10,28,20,36,38,16,24,19,26,12,22,29,32
121,-48,48,20,8,40,21,28,41,24,14,16,27,32,34,7
122,-48,48,20,38,10,36,28,26,24,29,16,12,32,19,22
123,-48,48,40,28,20,21,8,16,24,34,41,27,7,14,32
124,-54,54,10,34,20,18,44,28,27,22,38,36,16,32,26
125,-54,54,20,44,10,18,34,38,27,32,28,36,26,22,16
