# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-4,1,2,3,3,2,3,2,2,2,2,2,1,2,1,1,2,3,4
19,-18,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
20,-6,2,2,2,2,4,4,2,4,3,2,4,2,2,4,4,4,4,6
21,-6,2,2,2,4,2,4,4,2,3,4,2,2,4,2,4,4,4,6
22,-6,2,2,4,2,2,2,2,4,3,2,4,4,4,4,2,4,4,6
23,-6,2,2,4,2,2,2,4,2,3,4,2,4,4,4,2,4,4,6
24,-6,2,2,4,2,4,2,2,4,3,2,4,4,2,4,2,4,4,6
25,-6,2,2,4,4,2,2,2,2,3,4,4,4,4,2,2,4,4,6
26,-6,2,2,4,4,2,2,4,2,3,4,2,4,4,2,2,4,4,6
27,-6,2,2,4,4,4,2,4,2,3,4,2,4,2,2,2,4,4,6
28,-6,2,2,4,4,4,2,4,4,3,2,2,4,2,2,2,4,4,6
29,-6,2,2,4,4,4,4,4,2,3,4,2,2,2,2,2,4,4,6
30,-6,2,4,2,2,2,2,2,4,3,2,4,4,4,4,4,2,4,6
31,-6,2,4,2,2,2,2,4,4,3,2,2,4,4,4,4,2,4,6
32,-6,2,4,2,2,2,4,2,4,3,2,4,2,4,4,4,2,4,6
33,-6,2,4,2,2,2,4,4,4,3,2,2,2,4,4,4,2,4,6
34,-6,2,4,2,4,2,2,2,2,3,4,4,4,4,2,4,2,4,6
35,-6,2,4,4,2,2,2,2,4,3,2,4,4,4,4,2,2,4,6
36,-6,2,4,4,2,2,4,2,4,3,2,4,2,4,4,2,2,4,6
37,-6,2,4,4,2,4,2,2,2,3,4,4,4,2,4,2,2,4,6
38,-6,2,4,4,2,4,2,2,4,3,2,4,4,2,4,2,2,4,6
39,-4,3,2,2,3,3,2,2,1,2,3,2,2,1,1,2,2,1,4
40,-6,4,2,2,2,2,2,2,4,3,2,4,4,4,4,4,4,2,6
41,-6,4,2,2,2,2,2,4,4,3,2,2,4,4,4,4,4,2,6
42,-6,4,2,2,2,2,4,4,2,3,4,2,2,4,4,4,4,2,6
43,-6,4,2,2,2,4,2,2,2,3,4,4,4,2,4,4,4,2,6
44,-6,4,2,2,2,4,2,2,4,3,2,4,4,2,4,4,4,2,6
45,-6,4,2,2,2,4,2,4,4,3,2,2,4,2,4,4,4,2,6
46,-6,4,2,2,2,4,4,2,4,3,2,4,2,2,4,4,4,2,6
47,-6,4,2,2,2,4,4,4,4,3,2,2,2,2,4,4,4,2,6
48,-6,4,2,2,4,2,2,2,2,3,4,4,4,4,2,4,4,2,6
49,-6,4,2,2,4,2,4,4,2,3,4,2,2,4,2,4,4,2,6
50,-6,4,2,2,4,4,2,2,2,3,4,4,4,2,2,4,4,2,6
51,-6,4,2,2,4,4,4,2,4,3,2,4,2,2,2,4,4,2,6
52,-6,4,2,2,4,4,4,4,4,3,2,2,2,2,2,4,4,2,6
53,-6,4,2,4,2,2,2,2,4,3,2,4,4,4,4,2,4,2,6
54,-6,4,2,4,4,2,2,2,2,3,4,4,4,4,2,2,4,2,6
55,-6,4,2,4,4,2,2,4,2,3,4,2,4,4,2,2,4,2,6
56,-6,4,2,4,4,4,4,4,2,3,4,2,2,2,2,2,4,2,6
57,-6,4,4,2,2,2,2,2,4,3,2,4,4,4,4,4,2,2,6
58,-6,4,4,2,2,2,4,2,2,3,4,4,2,4,4,4,2,2,6
59,-6,4,4,2,2,4,4,2,4,3,2,4,2,2,4,4,2,2,6
60,-6,4,4,2,2,4,4,4,4,3,2,2,2,2,4,4,2,2,6
61,-6,4,4,2,4,2,2,2,4,3,2,4,4,4,2,4,2,2,6
62,-6,4,4,2,4,4,4,4,4,3,2,2,2,2,2,4,2,2,6
63,-6,4,4,4,2,2,2,2,4,3,2,4,4,4,4,2,2,2,6
64,-6,4,4,4,2,2,2,4,4,3,2,2,4,4,4,2,2,2,6
65,-6,4,4,4,2,2,4,2,4,3,2,4,2,4,4,2,2,2,6
66,-6,4,4,4,2,4,2,2,4,3,2,4,4,2,4,2,2,2,6
67,-6,4,4,4,2,4,2,4,4,3,2,2,4,2,4,2,2,2,6
68,-6,4,4,4,2,4,4,4,4,3,2,2,2,2,4,2,2,2,6
69,-6,4,4,4,4,4,2,2,4,3,2,4,4,2,2,2,2,2,6
70,-6,4,4,4,4,4,2,4,4,3,2,2,4,2,2,2,2,2,6
71,-34,4,8,12,16,20,24,9,13,17,21,25,10,14,18,22,26,30,34
72,-34,4,8,12,16,20,24,28,13,17,21,6,10,14,18,22,26,30,34
73,-34,4,8,12,16,20,24,28,32,17,2,6,10,14,18,22,26,30,34
74,-32,6,12,18,5,11,17,23,10,16,22,9,15,21,27,14,20,26,32
75,-32,6,12,18,24,11,17,4,10,16,22,28,15,21,8,14,20,26,32
76,-32,6,12,18,24,11,17,23,10,16,22,9,15,21,8,14,20,26,32
77,-32,6,12,18,24,11,17,23,29,16,3,9,15,21,8,14,20,26,32
78,-32,6,12,18,24,30,17,4,10,16,22,28,15,2,8,14,20,26,32
79,-30,8,16,5,13,21,10,18,7,15,23,12,20,9,17,25,14,22,30
80,-30,8,16,5,13,21,10,18,26,15,4,12,20,9,17,25,14,22,30
81,-30,8,16,24,13,2,10,18,26,15,4,12,20,28,17,6,14,22,30
82,-30,8,16,24,13,21,10,18,7,15,23,12,20,9,17,6,14,22,30
83,-30,8,16,24,13,21,10,18,26,15,4,12,20,9,17,6,14,22,30
84,-48,9,18,27,36,7,16,25,34,24,14,23,32,41,12,21,30,39,48
85,-48,9,18,27,36,26,16,6,15,24,33,42,32,22,12,21,30,39,48
86,-48,9,18,27,36,26,16,25,34,24,14,23,32,22,12,21,30,39,48
87,-48,9,18,27,36,26,35,6,15,24,33,42,13,22,12,21,30,39,48
88,-48,9,18,27,36,26,35,25,15,24,33,23,13,22,12,21,30,39,48
89,-48,9,18,27,36,26,35,25,34,24,14,23,13,22,12,21,30,39,48
90,-48,9,18,27,36,45,16,6,15,24,33,42,32,3,12,21,30,39,48
91,-28,10,20,11,2,12,22,13,4,14,24,15,6,16,26,17,8,18,28
92,-28,10,20,11,21,12,22,13,4,14,24,15,6,16,7,17,8,18,28
93,-28,10,20,11,21,12,22,13,23,14,5,15,6,16,7,17,8,18,28
94,-66,10,20,30,40,50,22,32,23,33,43,34,44,16,26,36,46,56,66
95,-66,10,20,30,40,50,22,32,42,33,24,34,44,16,26,36,46,56,66
96,-46,11,22,14,25,17,28,39,12,23,34,7,18,29,21,32,24,35,46
97,-46,11,22,14,25,36,28,20,12,23,34,26,18,10,21,32,24,35,46
98,-46,11,22,33,6,17,28,20,12,23,34,26,18,29,40,13,24,35,46
99,-46,11,22,33,25,36,28,20,31,23,15,26,18,10,21,13,24,35,46
100,-26,12,5,17,10,3,15,8,20,13,6,18,11,23,16,9,21,14,26
101,-26,12,5,17,10,22,15,8,20,13,6,18,11,4,16,9,21,14,26
102,-26,12,24,17,10,22,15,8,20,13,6,18,11,4,16,9,2,14,26
103,-64,12,24,36,48,41,34,46,20,32,44,18,30,23,16,28,40,52,64
104,-64,12,24,36,48,41,34,46,39,32,25,18,30,23,16,28,40,52,64
105,-44,13,26,20,14,8,21,15,28,22,16,29,23,36,30,24,18,31,44
106,-44,13,26,20,14,8,21,34,28,22,16,10,23,36,30,24,18,31,44
107,-44,13,26,20,14,27,21,34,9,22,35,10,23,17,30,24,18,31,44
108,-44,13,26,20,33,8,21,15,28,22,16,29,23,36,11,24,18,31,44
109,-44,13,26,20,33,8,21,34,28,22,16,10,23,36,11,24,18,31,44
110,-44,13,26,20,33,27,21,34,9,22,35,10,23,17,11,24,18,31,44
111,-44,13,26,20,33,27,21,34,28,22,16,10,23,17,11,24,18,31,44
112,-24,14,9,4,18,13,8,3,17,12,7,21,16,11,6,20,15,10,24
113,-24,14,9,4,18,13,8,22,17,12,7,2,16,11,6,20,15,10,24
114,-62,14,28,23,18,32,46,22,36,31,26,40,16,30,44,39,34,48,62
115,-62,14,28,42,18,13,27,22,36,31,26,40,35,49,44,20,34,48,62
116,-62,14,28,42,18,32,46,22,17,31,45,40,16,30,44,20,34,48,62
117,-62,14,28,42,18,32,46,22,36,31,26,40,16,30,44,20,34,48,62
118,-62,14,28,42,37,32,46,41,17,31,45,21,16,30,25,20,34,48,62
119,-42,15,11,26,22,18,14,10,25,21,17,32,28,24,20,16,31,27,42
120,-42,15,11,26,22,18,33,10,25,21,17,32,9,24,20,16,31,27,42
121,-42,15,11,26,22,37,14,10,25,21,17,32,28,5,20,16,31,27,42
122,-42,15,30,7,22,18,14,10,25,21,17,32,28,24,20,35,12,27,42
123,-42,15,30,7,22,18,14,29,6,21,36,13,28,24,20,35,12,27,42
124,-42,15,30,7,22,18,14,29,25,21,17,13,28,24,20,35,12,27,42
125,-42,15,30,7,22,37,14,10,25,21,17,32,28,5,20,35,12,27,42
126,-42,15,30,26,3,18,33,29,6,21,36,13,9,24,39,16,12,27,42
127,-42,15,30,26,22,18,14,10,6,21,36,32,28,24,20,16,12,27,42
128,-42,15,30,26,22,18,14,10,25,21,17,32,28,24,20,16,12,27,42
129,-42,15,30,26,22,18,14,29,6,21,36,13,28,24,20,16,12,27,42
130,-42,15,30,26,22,18,33,10,6,21,36,32,9,24,20,16,12,27,42
131,-42,15,30,26,22,18,33,10,25,21,17,32,9,24,20,16,12,27,42
132,-42,15,30,26,22,18,33,29,6,21,36,13,9,24,20,16,12,27,42
133,-42,15,30,26,22,18,33,29,25,21,17,13,9,24,20,16,12,27,42
134,-42,15,30,26,22,37,14,10,25,21,17,32,28,5,20,16,12,27,42
135,-80,15,30,45,60,56,52,48,25,40,55,32,28,24,20,35,50,65,80
136,-80,15,30,45,60,56,52,48,44,40,36,32,28,24,20,35,50,65,80
137,-22,16,13,10,7,4,20,17,14,11,8,5,2,18,15,12,9,6,22
138,-60,16,32,29,26,42,20,17,14,30,46,43,40,18,34,31,28,44,60
139,-60,16,32,29,45,23,20,17,14,30,46,43,40,37,15,31,28,44,60
140,-60,16,32,29,45,23,20,36,52,30,8,24,40,37,15,31,28,44,60
141,-60,16,32,29,45,42,20,36,14,30,46,24,40,18,15,31,28,44,60
142,-60,16,32,29,45,42,39,36,14,30,46,24,21,18,15,31,28,44,60
143,-60,16,32,48,7,23,39,36,14,30,46,24,21,37,53,12,28,44,60
144,-60,16,32,48,26,23,20,36,14,30,46,24,40,37,34,12,28,44,60
145,-60,16,32,48,26,23,39,36,14,30,46,24,21,37,34,12,28,44,60
146,-60,16,32,48,26,42,39,36,14,30,46,24,21,18,34,12,28,44,60
147,-60,16,32,48,26,42,39,36,33,30,27,24,21,18,34,12,28,44,60
148,-60,16,32,48,45,4,20,36,52,30,8,24,40,56,15,12,28,44,60
149,-60,16,32,48,45,23,20,36,52,30,8,24,40,37,15,12,28,44,60
150,-60,16,32,48,45,23,39,36,33,30,27,24,21,37,15,12,28,44,60
151,-60,16,32,48,45,42,20,36,33,30,27,24,40,18,15,12,28,44,60
152,-60,16,32,48,45,42,39,36,33,30,27,24,21,18,15,12,28,44,60
153,-40,17,15,13,30,9,26,5,22,20,18,35,14,31,10,27,25,23,40
154,-40,17,15,13,30,9,26,24,22,20,18,16,14,31,10,27,25,23,40
155,-40,17,15,13,30,28,26,5,22,20,18,35,14,12,10,27,25,23,40
156,-40,17,15,13,30,28,26,24,22,20,18,16,14,12,10,27,25,23,40
157,-40,17,15,32,11,9,26,24,22,20,18,16,14,31,29,8,25,23,40
158,-40,17,15,32,11,28,26,24,22,20,18,16,14,12,29,8,25,23,40
159,-40,17,15,32,30,9,26,24,22,20,18,16,14,31,10,8,25,23,40
160,-40,17,15,32,30,28,26,24,22,20,18,16,14,12,10,8,25,23,40
161,-40,17,34,13,11,28,26,24,22,20,18,16,14,12,29,27,6,23,40
162,-40,17,34,13,30,28,26,24,22,20,18,16,14,12,10,27,6,23,40
163,-40,17,34,32,11,28,26,24,22,20,18,16,14,12,29,8,6,23,40
164,-40,17,34,32,30,28,26,24,22,20,18,16,14,12,10,8,6,23,40
165,-78,17,34,51,30,28,26,24,22,39,56,54,52,50,48,27,44,61,78
