# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,1,1,2,0,2,1,0,1,2,0,1,2,2
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-4,2,0,2,0,4,2,4,1,1,4,3,3,1,3
16,-6,2,4,3,2,4,4,2,4,4,6,2,2,4,2
17,-6,3,0,3,0,6,3,6,4,4,6,2,2,4,2
18,-4,3,2,2,1,3,1,2,3,2,4,3,2,1,1
19,-8,3,4,4,2,6,5,4,6,4,8,6,4,2,2
20,-6,3,5,3,5,1,3,1,4,4,6,2,2,4,2
21,-16,3,5,8,10,6,13,11,9,14,16,12,2,4,7
22,-8,3,7,4,5,3,5,1,6,4,8,6,4,2,2
23,-6,4,2,3,4,2,2,4,4,4,6,2,2,4,2
24,-8,4,5,4,5,3,4,3,2,2,8,6,6,2,6
25,-8,4,5,4,5,3,4,3,2,7,8,6,1,2,6
26,-8,4,5,4,5,3,4,3,7,2,8,6,6,2,1
27,-18,4,5,9,10,8,14,13,12,12,18,6,6,12,6
28,-18,4,10,9,10,8,14,8,12,12,18,6,6,12,6
29,-8,6,4,4,2,6,2,4,6,4,8,3,4,5,2
30,-8,6,4,4,5,3,2,4,3,7,8,6,1,2,5
31,-8,6,4,4,5,3,2,4,6,4,8,6,4,2,2
32,-12,6,5,6,10,2,6,7,8,8,12,4,4,8,4
33,-22,6,5,11,10,12,16,17,18,8,22,9,14,13,4
34,-10,6,8,5,4,6,4,2,6,8,10,6,2,4,4
35,-12,6,10,6,5,7,6,2,8,3,12,9,9,3,4
36,-12,6,10,6,5,7,6,2,8,8,12,4,4,8,4
37,-12,6,10,6,5,7,6,2,8,8,12,9,4,3,4
38,-32,6,10,16,20,12,26,22,18,13,32,24,19,8,14
39,-22,6,20,11,10,12,16,2,18,8,22,9,14,13,4
40,-32,6,25,16,20,12,26,7,18,13,32,24,19,8,14
41,-16,8,5,8,10,6,8,11,4,4,16,12,12,4,12
42,-16,8,5,8,10,6,8,11,4,9,16,12,7,4,12
43,-16,8,5,8,10,6,8,11,9,4,16,12,12,4,7
44,-16,8,10,8,5,11,8,6,4,4,16,12,12,4,12
45,-16,8,10,8,5,11,8,6,4,9,16,12,7,4,12
46,-28,9,20,14,10,18,19,8,12,17,28,6,11,22,16
47,-28,9,20,14,10,18,19,8,12,17,28,21,11,7,16
48,-14,12,10,7,5,9,2,4,6,1,14,3,13,11,8
49,-14,12,10,7,5,9,2,4,6,11,14,8,3,6,8
50,-14,12,10,7,10,4,2,4,6,6,14,8,8,6,8
51,-14,12,10,7,10,4,2,4,6,11,14,8,3,6,8
52,-34,12,20,17,10,24,22,14,6,11,34,18,23,16,28
53,-34,12,20,17,10,24,22,14,6,26,34,18,8,16,28
54,-34,12,20,17,10,24,22,14,21,26,34,18,8,16,13
55,-44,12,25,22,20,24,32,19,36,16,44,33,28,11,8
56,-44,12,40,22,20,24,32,4,36,16,44,33,28,11,8
57,-16,13,10,8,10,6,3,6,9,14,16,12,2,4,7
58,-18,14,10,9,5,13,4,8,12,12,18,6,6,12,6
59,-18,14,10,9,10,8,4,8,12,12,18,6,6,12,6
60,-26,18,10,13,5,21,8,16,9,19,26,12,7,14,17
61,-26,18,10,13,20,6,8,16,9,4,26,12,22,14,17
62,-26,18,10,13,20,6,8,16,9,19,26,12,7,14,17
63,-26,18,10,13,20,6,8,16,24,4,26,12,22,14,2
64,-46,18,20,23,10,36,28,26,24,14,46,12,32,34,22
65,-56,18,40,28,20,36,38,16,24,19,56,12,37,44,32
66,-56,18,40,28,20,36,38,16,24,19,56,42,37,14,32
67,-56,18,40,28,20,36,38,16,39,34,56,42,22,14,17
68,-32,21,10,16,20,12,11,22,18,13,32,24,19,8,14
69,-32,21,10,16,20,12,11,22,18,28,32,24,4,8,14
70,-32,21,25,16,20,12,11,7,18,13,32,24,19,8,14
71,-32,21,25,16,20,12,11,7,18,28,32,24,4,8,14
72,-38,24,10,19,20,18,14,28,12,22,38,6,16,32,26
73,-28,24,20,14,10,18,4,8,12,17,28,6,11,22,16
74,-28,24,20,14,10,18,4,8,12,17,28,21,11,7,16
75,-34,27,20,17,10,24,7,14,21,26,34,18,8,16,13
76,-34,27,20,17,25,9,7,14,21,26,34,18,8,16,13
77,-52,36,20,26,40,12,16,32,33,38,52,24,14,28,19
78,-64,42,20,32,40,24,22,44,21,26,64,48,38,16,43
79,-64,42,20,32,40,24,22,44,21,41,64,48,23,16,43
80,-56,48,40,28,35,21,8,16,24,34,56,42,22,14,32
81,-56,48,40,28,35,21,8,16,24,49,56,42,7,14,32
