# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-6,1,0,2,1,2,3,3,4,4,5,5,6,6
15,-3,1,1,1,2,1,2,1,2,2,1,2,2,3
16,-3,1,1,2,2,1,2,1,2,1,1,2,2,3
17,-3,1,2,2,1,1,1,2,2,1,2,2,1,3
18,-3,2,1,1,1,1,2,1,2,2,2,1,2,3
19,-3,2,1,2,1,1,1,2,2,1,2,1,2,3
20,-3,2,1,2,1,1,2,1,2,1,2,1,2,3
21,-3,2,1,2,1,2,2,1,1,1,2,1,2,3
22,-3,2,1,2,2,1,2,1,2,1,1,1,2,3
23,-3,2,2,2,1,1,2,1,2,1,2,1,1,3
24,-3,2,2,2,1,2,2,1,1,1,2,1,1,3
25,-5,2,3,4,3,3,4,1,2,1,2,3,2,5
26,-12,2,7,4,2,4,6,6,8,8,10,10,5,12
27,-12,2,7,4,9,4,6,6,8,8,3,10,5,12
28,-11,3,7,6,3,6,2,9,5,5,8,8,4,11
29,-11,3,7,6,3,6,9,2,5,5,8,8,4,11
30,-18,3,14,6,10,6,9,9,12,12,8,15,4,18
31,-10,4,0,8,4,8,5,5,2,2,6,6,10,10
32,-10,4,7,8,4,8,5,5,2,2,6,6,3,10
33,-17,4,7,8,11,15,12,5,2,9,6,13,10,17
34,-9,5,7,3,5,3,1,8,6,6,4,4,2,9
35,-9,5,7,3,5,3,8,1,6,6,4,4,2,9
36,-8,6,0,5,6,5,4,4,3,3,2,2,8,8
37,-8,6,7,5,6,5,4,4,3,3,2,2,1,8
38,-15,6,7,5,13,5,4,11,10,10,2,9,8,15
39,-15,6,7,12,6,5,4,11,10,3,9,9,8,15
40,-15,6,7,12,6,5,11,4,10,3,9,9,8,15
41,-15,6,7,12,6,12,4,11,3,3,9,9,8,15
42,-15,6,7,12,6,12,11,4,3,3,9,9,8,15
43,-15,6,7,12,13,5,4,11,10,3,2,9,8,15
44,-13,8,7,2,1,9,10,3,4,11,12,5,6,13
45,-13,8,7,2,8,9,10,3,4,11,5,5,6,13
46,-13,8,7,9,8,9,3,10,4,4,5,5,6,13
47,-13,8,7,9,8,9,10,3,4,4,5,5,6,13
48,-20,8,14,16,8,9,17,3,11,4,12,12,6,20
49,-27,8,21,16,15,9,10,17,18,11,12,19,6,27
50,-27,8,21,16,15,9,24,3,18,11,12,19,6,27
51,-12,9,0,4,9,4,6,6,8,8,3,3,12,12
52,-12,9,7,4,2,4,6,6,8,8,10,3,5,12
53,-12,9,7,4,9,4,6,6,8,8,3,3,5,12
54,-11,10,7,6,3,6,2,9,5,5,8,1,4,11
55,-25,10,7,6,17,13,16,9,12,19,8,15,18,25
56,-25,10,7,20,17,13,16,9,12,5,8,15,18,25
57,-18,10,14,13,10,6,16,2,12,5,8,8,4,18
58,-25,10,21,20,17,13,16,9,12,5,8,15,4,25
59,-16,12,7,3,12,10,8,8,6,13,4,4,9,16
60,-23,12,7,10,5,17,8,15,6,13,18,11,16,23
61,-30,12,14,24,19,10,22,8,20,6,11,18,16,30
62,-30,12,21,24,12,10,15,15,20,6,18,18,9,30
63,-30,12,21,24,12,10,22,8,20,6,18,18,9,30
64,-51,12,21,24,33,17,36,15,34,27,18,39,30,51
65,-15,13,7,5,6,5,4,11,10,10,9,2,8,15
66,-19,16,7,4,9,11,6,13,8,15,10,3,12,19
67,-26,16,14,18,9,18,20,6,8,8,17,10,12,26
68,-33,16,21,18,9,11,6,27,22,15,24,17,12,33
69,-33,16,21,18,9,25,6,27,8,15,24,17,12,33
70,-24,18,7,15,18,8,12,12,16,9,6,6,17,24
71,-24,18,14,15,18,8,12,12,16,9,6,6,10,24
72,-31,18,21,22,11,15,26,5,16,9,20,13,10,31
73,-45,18,35,36,25,15,26,19,30,9,20,27,10,45
74,-45,18,35,36,25,15,40,5,30,9,20,27,10,45
75,-27,22,7,16,15,9,10,17,18,11,12,5,20,27
76,-27,22,21,16,15,9,10,17,18,11,12,5,6,27
77,-33,30,21,18,9,11,6,27,22,15,24,3,12,33
