Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2
14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
23,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0
27,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0
