# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,1,1,2,0,2,1,0,1,2,0,1,2,2
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-6,2,0,2,0,4,2,4,6,6,4,3,3,6,3
16,-6,2,2,2,4,4,2,4,2,4,4,4,3,6,2
17,-6,2,4,2,2,4,2,4,4,2,4,2,3,6,4
18,-6,2,5,2,5,4,2,4,1,1,4,3,3,6,3
19,-4,3,0,3,0,1,3,1,4,4,1,2,2,4,2
20,-4,3,2,2,1,3,1,2,3,2,1,3,2,4,1
21,-8,3,4,4,2,6,2,4,6,4,5,6,4,8,2
22,-14,3,10,13,5,6,8,1,9,4,11,12,7,14,2
23,-12,4,5,4,10,8,4,8,2,7,8,6,6,12,6
24,-12,4,10,4,5,8,4,8,7,2,8,6,6,12,6
25,-8,6,4,1,5,3,5,7,3,4,2,6,4,8,2
26,-8,6,4,4,2,6,2,4,6,4,2,3,4,8,5
27,-8,6,4,4,5,6,2,4,3,4,2,6,4,8,2
28,-8,6,5,1,5,2,6,7,3,3,2,4,4,8,4
29,-8,6,5,6,5,2,6,2,3,3,2,4,4,8,4
30,-8,6,5,6,5,7,1,2,3,3,2,4,4,8,4
31,-18,6,5,6,10,12,6,12,8,13,12,4,9,18,14
32,-8,6,7,4,5,6,2,4,3,1,2,3,4,8,5
33,-10,6,8,2,4,6,4,8,6,2,4,6,5,10,4
34,-18,6,10,6,5,12,6,12,13,8,12,14,9,18,4
35,-18,6,10,6,10,12,6,12,8,8,12,4,9,18,14
36,-18,6,10,6,10,12,6,12,8,8,12,14,9,18,4
37,-38,6,10,16,20,12,26,22,18,28,32,24,19,38,14
38,-28,6,20,11,10,12,16,17,18,8,22,9,14,28,19
39,-28,6,20,11,10,12,16,17,18,8,22,24,14,28,4
40,-14,8,10,3,5,6,8,11,9,4,6,12,7,14,2
41,-14,8,10,3,10,6,8,11,4,4,6,12,7,14,2
42,-14,8,10,8,10,6,8,6,4,4,6,12,7,14,2
43,-22,9,5,14,10,18,4,8,12,17,13,6,11,22,16
44,-12,9,10,4,5,8,4,8,7,2,3,6,6,12,6
45,-12,9,10,9,5,8,4,3,7,2,3,6,6,12,6
46,-22,9,20,14,10,18,4,8,12,2,13,6,11,22,16
47,-16,12,5,2,10,9,7,14,6,11,4,3,8,16,13
48,-16,12,5,7,10,4,12,9,6,11,4,8,8,16,8
49,-16,12,5,12,10,4,12,4,6,11,4,8,8,16,8
50,-16,12,5,12,10,9,7,4,6,11,4,8,8,16,8
51,-16,12,10,2,10,9,7,14,6,6,4,13,8,16,3
52,-16,12,10,7,5,4,12,9,11,6,4,8,8,16,8
53,-26,12,10,7,5,9,17,19,21,16,14,18,13,26,8
54,-26,12,10,7,20,9,17,19,6,16,14,18,13,26,8
55,-16,12,10,12,5,4,12,4,11,6,4,8,8,16,8
56,-26,12,10,22,20,9,17,4,6,16,14,18,13,26,8
57,-26,12,10,22,20,24,2,4,6,16,14,18,13,26,8
58,-46,12,20,32,10,24,22,14,36,26,34,18,23,46,28
59,-56,12,40,37,20,24,32,19,36,16,44,18,28,56,38
60,-34,18,20,8,10,6,28,26,24,14,16,12,17,34,22
61,-34,18,20,8,10,21,13,26,24,14,16,12,17,34,22
62,-34,18,20,8,10,21,13,26,24,14,16,27,17,34,7
63,-34,18,20,8,25,21,13,26,9,14,16,27,17,34,7
64,-34,18,20,23,10,6,28,11,24,14,16,12,17,34,22
65,-28,21,20,11,10,12,16,17,18,8,7,9,14,28,19
66,-28,21,20,11,10,12,16,17,18,8,7,24,14,28,4
67,-32,24,10,4,20,18,14,28,12,22,8,21,16,32,11
68,-32,24,10,19,20,18,14,13,12,22,8,6,16,32,26
69,-32,24,10,19,20,18,14,13,12,22,8,21,16,32,11
70,-52,24,20,14,40,33,19,38,12,32,28,36,26,52,16
71,-32,24,25,4,20,18,14,28,12,7,8,21,16,32,11
72,-32,24,25,19,20,18,14,13,12,7,8,6,16,32,26
73,-32,24,25,19,20,18,14,13,12,7,8,21,16,32,11
74,-44,33,25,28,20,36,8,16,24,19,11,12,22,44,32
75,-44,33,40,28,20,36,8,16,24,4,11,12,22,44,32
76,-56,42,40,7,35,24,32,49,21,16,14,48,28,56,8
77,-56,42,40,22,20,39,17,34,36,16,14,18,28,56,38
78,-56,42,40,22,35,24,32,34,21,16,14,48,28,56,8
79,-56,42,40,37,20,24,32,19,36,16,14,18,28,56,38
80,-64,48,20,23,40,21,43,41,24,44,16,42,32,64,22
81,-64,48,20,38,40,21,43,26,24,44,16,42,32,64,22
