# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,2,4,2,3,2,2,1,1,1,3,3,3,2,2,1,2
17,-6,3,6,2,2,4,4,4,2,4,2,4,2,2,2,4,4
18,-6,3,6,2,4,4,4,4,2,2,4,4,2,2,2,2,4
19,-6,3,6,2,4,4,4,4,2,4,2,4,2,2,2,2,4
20,-6,3,6,4,2,2,2,2,2,4,2,4,4,4,4,4,2
21,-6,3,6,4,2,2,2,2,4,2,4,2,4,4,4,4,2
22,-6,3,6,4,2,2,4,4,4,4,2,2,2,2,4,4,2
23,-6,3,6,4,2,4,2,4,4,4,2,2,2,4,2,4,2
24,-6,3,6,4,2,4,4,4,4,2,4,2,2,2,2,4,2
25,-6,3,6,4,2,4,4,4,4,4,2,2,2,2,2,4,2
26,-16,8,16,7,15,6,14,5,13,4,12,3,11,2,10,1,9
27,-18,9,18,10,2,11,3,12,4,13,5,14,6,15,7,16,8
28,-20,10,20,13,6,16,9,2,12,5,15,8,18,11,4,14,7
29,-22,11,22,16,10,4,15,9,3,14,8,19,13,7,18,12,6
30,-22,11,22,16,10,4,15,9,20,14,8,2,13,7,18,12,6
31,-24,12,24,2,14,9,4,16,11,6,18,13,8,20,15,10,22
32,-24,12,24,19,14,9,4,16,11,6,18,13,8,20,15,10,5
33,-24,12,24,19,14,9,21,16,11,6,18,13,8,3,15,10,5
34,-26,13,26,5,18,14,10,6,19,15,11,7,20,16,12,8,21
35,-26,13,26,22,18,14,10,6,2,15,11,24,20,16,12,8,4
36,-26,13,26,22,18,14,10,6,19,15,11,7,20,16,12,8,4
37,-28,14,28,8,5,19,16,13,10,7,21,18,15,12,9,23,20
38,-28,14,28,8,5,19,16,13,10,24,4,18,15,12,9,23,20
39,-28,14,28,8,22,2,16,13,10,24,4,18,15,12,26,6,20
40,-28,14,28,8,22,19,16,13,10,7,21,18,15,12,9,6,20
