# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-8,2,0,4,2,4,6,6,8,8,3,3,5,5
14,-4,2,3,2,1,2,2,3,4,1,2,3,2,1
15,-8,2,7,4,2,4,6,6,8,1,3,3,5,5
16,-12,3,0,6,3,6,9,9,12,12,8,8,4,4
17,-12,3,7,6,3,6,9,9,12,5,8,8,4,4
18,-12,3,7,6,10,6,9,2,12,5,8,8,4,4
19,-16,4,7,8,4,8,12,12,16,9,6,13,10,3
20,-16,4,7,8,11,8,12,5,16,9,6,6,10,10
21,-16,4,7,8,11,8,12,5,16,9,6,13,10,3
22,-16,4,14,8,11,8,12,5,16,2,6,6,10,10
23,-6,5,0,3,5,3,1,1,6,6,4,4,2,2
24,-10,6,0,5,6,5,4,4,10,10,2,2,8,8
25,-10,6,7,5,6,5,4,4,10,3,2,2,8,8
26,-10,6,7,5,6,5,4,4,10,3,2,9,8,1
27,-24,6,7,12,6,12,18,18,24,17,16,9,8,15
28,-24,6,7,12,13,12,18,11,24,17,16,9,8,15
29,-24,6,14,12,6,12,18,18,24,10,16,9,8,15
30,-24,6,14,12,20,12,18,4,24,10,16,9,8,15
31,-24,6,21,12,13,12,18,11,24,3,16,9,8,15
32,-24,6,21,12,20,12,18,4,24,3,16,9,8,15
33,-18,8,7,9,15,9,10,3,18,11,12,5,6,13
34,-18,8,14,9,8,9,10,10,18,4,12,12,6,6
35,-18,8,14,9,15,9,10,3,18,4,12,5,6,13
36,-18,8,14,9,15,9,10,3,18,4,12,12,6,6
37,-12,10,7,6,3,6,2,9,12,5,8,1,4,11
38,-12,10,7,6,3,6,2,9,12,5,8,8,4,4
39,-12,10,7,6,10,6,2,2,12,5,8,8,4,4
40,-16,11,7,8,4,8,5,12,16,9,6,13,10,3
41,-20,12,7,10,5,10,8,15,20,13,4,11,16,9
42,-20,12,14,10,5,10,8,15,20,6,4,11,16,9
43,-20,12,14,10,5,10,8,15,20,6,4,18,16,2
