# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-6,2,2,4,4,6,2,2,2,4,2,3,4,2,4,4,4
17,-6,2,2,4,4,6,2,2,4,4,2,3,4,2,2,4,4
18,-6,2,2,4,4,6,2,4,2,4,2,3,4,2,4,2,4
19,-4,2,3,1,2,4,2,2,3,1,3,2,1,3,1,2,2
20,-6,2,4,2,4,6,4,2,2,4,2,3,4,2,4,4,2
21,-6,2,4,2,4,6,4,2,2,4,4,3,2,2,4,4,2
22,-6,2,4,2,4,6,4,2,4,4,4,3,2,2,2,4,2
23,-6,4,2,4,2,6,2,2,2,4,2,3,4,2,4,4,4
24,-6,4,2,4,2,6,2,4,4,2,2,3,4,4,2,2,4
25,-6,4,4,2,2,6,2,4,2,2,2,3,4,4,4,2,4
26,-20,4,8,12,16,20,7,11,15,2,6,10,14,18,5,9,13
27,-30,6,12,18,24,30,2,8,14,20,26,15,4,10,16,22,28
28,-30,6,12,18,24,30,19,8,14,3,9,15,21,27,16,22,11
29,-30,6,12,18,24,30,19,8,14,20,9,15,21,10,16,22,11
30,-30,6,12,18,24,30,19,8,14,20,26,15,4,10,16,22,11
31,-30,6,12,18,24,30,19,25,14,20,9,15,21,10,16,5,11
32,-18,7,14,4,11,18,8,15,5,12,2,9,16,6,13,3,10
33,-40,8,16,24,32,40,14,22,13,4,12,20,28,36,27,18,26
34,-40,8,16,24,32,40,14,22,13,21,12,20,28,19,27,18,26
35,-40,8,16,24,32,40,14,22,30,21,29,20,11,19,10,18,26
36,-40,8,16,24,32,40,31,22,13,4,12,20,28,36,27,18,9
37,-40,8,16,24,32,40,31,22,13,21,12,20,28,19,27,18,9
38,-40,8,16,24,32,40,31,22,13,21,29,20,11,19,27,18,9
39,-40,8,16,24,32,40,31,22,30,21,12,20,28,19,10,18,9
40,-40,8,16,24,32,40,31,22,30,21,29,20,11,19,10,18,9
