# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,1,1,2,0,2,1,0,1,2,0,1,2,2
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-6,1,5,1,5,2,6,2,3,3,2,4,4,3,4
16,-6,2,2,4,4,2,6,2,4,3,2,4,4,2,4
17,-12,2,5,7,10,4,12,4,6,6,4,8,8,6,8
18,-4,3,2,2,1,3,4,2,3,2,1,3,2,1,1
19,-8,3,4,4,5,6,8,1,6,4,5,3,7,2,2
20,-8,3,4,4,5,6,8,4,6,4,2,6,4,2,2
21,-8,3,5,3,5,6,8,1,4,4,6,2,7,4,2
22,-8,3,5,3,5,6,8,6,4,4,1,7,2,4,2
23,-8,3,5,3,5,6,8,6,4,4,6,2,2,4,2
24,-8,3,7,1,5,6,8,4,3,4,2,6,4,5,2
25,-4,4,0,4,0,3,4,3,2,2,3,1,1,2,1
26,-6,4,4,2,2,2,6,2,2,3,2,4,4,4,4
27,-14,4,10,4,10,8,14,3,12,7,8,6,11,2,6
28,-14,4,10,4,10,8,14,8,12,7,8,6,6,2,6
29,-6,6,0,6,0,2,6,2,3,3,2,4,4,3,4
30,-8,6,4,4,2,3,8,4,6,4,2,6,4,2,5
31,-8,6,4,4,2,6,8,4,3,4,2,6,4,5,2
32,-16,6,5,11,10,12,16,2,3,8,7,9,14,13,4
33,-16,6,5,11,10,12,16,7,8,8,12,4,9,8,4
34,-16,6,5,11,10,12,16,12,8,8,7,9,4,8,4
35,-16,6,5,11,10,12,16,12,8,8,12,4,4,8,4
36,-10,6,8,2,4,6,10,2,6,5,4,6,8,4,4
37,-16,6,10,6,10,12,16,2,13,8,7,9,14,3,4
38,-26,6,10,16,20,12,26,7,18,13,17,9,19,8,14
39,-26,6,10,16,20,12,26,22,18,13,2,24,4,8,14
40,-26,6,10,16,20,12,26,22,18,13,17,9,4,8,14
41,-12,7,10,2,5,4,12,4,6,6,4,8,8,6,8
42,-12,7,10,2,5,9,12,4,6,6,4,8,8,6,3
43,-12,7,10,2,5,9,12,9,6,6,4,8,3,6,3
44,-18,8,5,13,10,6,18,6,4,9,6,12,12,14,12
45,-18,8,10,8,10,6,18,6,4,9,6,12,12,14,12
46,-18,8,10,8,10,6,18,6,14,9,6,12,12,4,12
47,-14,9,10,4,5,3,14,13,12,7,8,6,1,2,11
48,-14,9,10,4,5,8,14,3,12,7,8,6,11,2,6
49,-34,9,20,14,25,18,34,8,27,17,13,21,26,7,16
50,-16,11,10,6,5,12,16,7,8,8,12,4,9,8,4
51,-16,11,10,6,5,12,16,12,8,8,12,4,4,8,4
52,-22,12,5,17,10,9,22,14,6,11,4,18,8,16,13
53,-32,12,10,22,20,24,32,4,21,16,14,18,28,11,8
54,-32,12,10,22,20,24,32,19,6,16,14,18,13,26,8
55,-32,12,10,22,20,24,32,19,21,16,14,18,13,11,8
56,-22,12,20,2,10,9,22,14,6,11,4,18,8,16,13
57,-52,12,20,32,40,24,52,14,36,26,19,33,38,16,28
58,-32,12,25,7,20,24,32,4,21,16,14,18,28,11,8
59,-32,12,25,7,20,24,32,19,6,16,14,18,13,26,8
60,-32,12,25,7,20,24,32,19,21,16,14,18,13,11,8
61,-18,13,10,8,5,6,18,6,14,9,6,12,12,4,12
62,-38,18,10,28,20,6,38,16,24,19,26,12,22,14,32
63,-28,18,20,8,10,6,28,11,9,14,16,12,17,19,22
64,-28,18,20,8,10,6,28,11,24,14,16,12,17,4,22
65,-28,18,20,8,10,21,28,11,9,14,16,12,17,19,7
66,-28,18,20,8,10,21,28,11,24,14,16,12,17,4,7
67,-26,21,10,16,5,12,26,7,18,13,17,9,19,8,14
68,-56,21,40,16,35,42,56,7,48,28,32,24,49,8,14
69,-56,21,40,16,35,42,56,22,48,28,32,24,34,8,14
70,-34,24,20,14,10,18,34,8,12,17,13,21,26,22,16
71,-34,24,20,14,10,18,34,8,12,17,28,6,26,22,16
72,-34,24,20,14,10,18,34,8,27,17,13,21,26,7,16
73,-34,24,20,14,10,18,34,23,12,17,28,6,11,22,16
74,-64,24,20,44,40,48,64,23,42,32,43,21,41,22,16
75,-64,24,20,44,40,48,64,38,42,32,43,21,26,22,16
76,-44,24,25,19,20,33,44,28,12,22,8,36,16,32,11
77,-44,24,40,4,20,33,44,28,12,22,8,36,16,32,11
78,-46,36,20,26,10,12,46,32,18,23,22,24,14,28,34
79,-56,36,40,16,20,12,56,37,18,28,32,24,19,38,44
80,-56,36,40,16,20,42,56,22,18,28,17,39,34,38,14
81,-56,36,40,16,20,42,56,37,18,28,32,24,19,38,14
