# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-4,2,0,2,0,4,2,4,1,1,4,3,3,1,3
15,-6,3,0,3,0,6,3,6,4,4,6,2,2,4,2
16,-6,3,1,4,2,6,2,4,3,4,5,3,4,2,2
17,-6,3,2,2,1,6,4,5,3,2,4,3,2,4,4
18,-6,3,2,2,2,6,4,4,4,2,4,2,2,4,4
19,-6,3,2,2,4,6,4,2,2,4,4,4,2,4,2
20,-6,3,2,2,4,6,4,2,3,2,4,3,5,1,4
21,-6,3,2,2,4,6,4,2,4,2,4,2,2,4,4
22,-6,3,2,2,4,6,4,2,4,2,4,2,4,2,4
23,-6,3,2,2,4,6,4,2,4,4,4,2,2,4,2
24,-6,3,2,4,2,6,2,4,4,4,4,2,4,2,2
25,-6,3,2,4,4,6,2,2,4,2,4,2,2,4,4
26,-6,3,2,5,4,6,1,2,3,2,4,3,2,4,4
27,-6,3,4,1,2,6,5,4,3,4,2,3,4,2,2
28,-6,3,4,1,5,6,5,1,3,4,2,3,4,2,2
29,-6,3,4,2,2,6,4,4,4,4,2,2,4,2,2
30,-6,3,4,2,4,6,4,2,4,2,2,2,2,4,4
31,-6,3,4,4,2,6,2,4,2,4,2,4,2,4,2
32,-6,3,4,4,2,6,2,4,3,1,2,3,4,2,5
33,-6,3,4,4,2,6,2,4,4,2,2,2,4,2,4
34,-6,3,4,4,2,6,2,4,4,4,2,2,2,4,2
35,-6,3,4,4,2,6,2,4,4,4,2,2,4,2,2
36,-6,3,4,4,4,6,2,2,4,4,2,2,4,2,2
37,-6,3,4,4,5,6,2,1,3,4,2,3,4,2,2
38,-6,3,5,2,4,6,4,2,3,2,1,3,2,4,4
39,-6,3,5,3,5,6,3,1,4,4,1,2,2,4,2
40,-6,3,5,5,4,6,1,2,3,2,1,3,2,4,4
41,-8,4,5,4,5,8,4,3,2,2,3,6,6,2,6
42,-12,6,4,4,5,12,8,7,3,4,8,9,4,8,8
43,-12,6,4,4,8,12,8,4,3,4,8,9,4,8,8
44,-12,6,4,4,8,12,8,4,3,4,8,9,7,5,8
45,-12,6,4,4,8,12,8,4,3,7,8,9,4,8,5
46,-12,6,4,7,8,12,5,4,3,4,8,9,4,8,8
47,-12,6,5,6,5,12,6,7,3,3,7,9,4,8,9
48,-12,6,5,6,5,12,6,7,3,8,7,9,9,3,4
49,-12,6,5,6,10,12,6,2,3,8,7,9,4,8,4
50,-12,6,5,6,10,12,6,2,3,8,7,9,9,3,4
51,-12,6,5,6,10,12,6,2,8,8,7,4,4,8,4
52,-12,6,5,6,10,12,6,2,8,8,7,4,9,3,4
53,-12,6,5,8,4,12,4,8,3,8,7,9,8,4,4
54,-12,6,5,11,10,12,1,2,3,8,7,9,4,8,4
55,-12,6,7,4,8,12,8,4,3,4,5,9,4,8,8
56,-12,6,8,5,4,12,7,8,3,8,4,9,8,4,4
57,-12,6,8,8,4,12,4,8,3,5,4,9,8,4,7
58,-12,6,8,8,4,12,4,8,3,8,4,9,5,7,4
59,-12,6,8,8,4,12,4,8,3,8,4,9,8,4,4
60,-12,6,8,8,7,12,4,5,3,8,4,9,8,4,4
61,-12,6,10,1,5,12,11,7,3,8,2,9,4,8,4
62,-12,6,10,6,5,12,6,7,3,3,2,9,4,8,9
63,-12,6,10,6,5,12,6,7,3,8,2,9,4,8,4
64,-12,6,10,6,5,12,6,7,8,3,2,4,4,8,9
65,-12,6,10,6,5,12,6,7,8,8,2,4,4,8,4
66,-14,7,10,2,10,14,12,4,6,6,4,8,8,6,8
67,-14,7,10,12,10,14,2,4,6,6,4,8,8,6,8
68,-16,8,5,8,10,16,8,6,4,4,11,12,7,9,12
69,-16,8,5,8,10,16,8,6,4,4,11,12,12,4,12
70,-16,8,10,8,5,16,8,11,4,4,6,12,12,4,12
71,-16,8,10,8,5,16,8,11,4,9,6,12,12,4,7
72,-18,9,5,14,10,18,4,8,12,2,13,6,11,7,16
73,-18,9,5,14,10,18,4,8,12,7,13,6,6,12,11
74,-18,9,5,14,10,18,4,8,12,12,13,6,6,12,6
75,-18,9,5,14,10,18,4,8,12,12,13,6,11,7,6
76,-18,9,10,4,5,18,14,13,12,7,8,6,6,12,11
77,-18,9,10,4,5,18,14,13,12,7,8,6,16,2,11
78,-18,9,10,4,5,18,14,13,12,12,8,6,6,12,6
79,-18,9,10,4,5,18,14,13,12,12,8,6,11,7,6
80,-18,9,10,4,10,18,14,8,12,7,8,6,6,12,11
81,-18,9,10,4,10,18,14,8,12,12,8,6,6,12,6
82,-18,9,10,4,10,18,14,8,12,12,8,6,16,2,6
83,-18,9,10,4,15,18,14,3,12,12,8,6,11,7,6
84,-18,9,10,4,15,18,14,3,12,12,8,6,16,2,6
85,-18,9,10,14,10,18,4,8,12,2,8,6,6,12,16
86,-18,9,10,14,10,18,4,8,12,12,8,6,6,12,6
87,-18,9,10,14,10,18,4,8,12,12,8,6,11,7,6
88,-18,9,15,14,10,18,4,8,12,2,3,6,6,12,16
89,-18,9,15,14,10,18,4,8,12,7,3,6,6,12,11
90,-24,12,5,17,10,24,7,14,6,11,19,18,8,16,13
91,-24,12,10,7,5,24,17,19,6,16,14,18,13,11,8
92,-24,12,10,7,10,24,17,14,6,16,14,18,8,16,8
93,-24,12,10,7,15,24,17,9,6,16,14,18,8,16,8
94,-24,12,10,7,20,24,17,4,6,16,14,18,13,11,8
95,-24,12,10,7,20,24,17,4,16,16,14,8,13,11,8
96,-24,12,10,7,20,24,17,4,16,16,14,8,18,6,8
97,-24,12,10,12,15,24,12,9,6,6,14,18,8,16,18
98,-24,12,10,17,10,24,7,14,6,16,14,18,8,16,8
99,-24,12,10,22,20,24,2,4,6,16,14,18,13,11,8
100,-24,12,15,12,10,24,12,14,6,16,9,18,18,6,8
101,-24,12,15,12,15,24,12,9,6,6,9,18,8,16,18
102,-24,12,15,12,15,24,12,9,6,16,9,18,18,6,8
103,-24,12,15,12,20,24,12,4,16,16,9,8,18,6,8
104,-24,12,15,17,10,24,7,14,6,16,9,18,8,16,8
105,-24,12,20,2,10,24,22,14,6,11,4,18,8,16,13
106,-24,12,20,12,15,24,12,9,16,6,4,8,8,16,18
107,-24,12,20,17,10,24,7,14,6,11,4,18,8,16,13
108,-24,12,20,17,10,24,7,14,16,6,4,8,8,16,18
109,-24,12,20,17,10,24,7,14,16,11,4,8,8,16,13
110,-36,18,20,8,25,36,28,11,9,14,16,27,17,19,22
111,-36,18,20,8,25,36,28,11,24,14,16,12,17,19,22
112,-36,18,20,8,25,36,28,11,24,14,16,12,32,4,22
113,-36,18,25,28,20,36,8,16,9,19,11,27,22,14,17
114,-36,18,25,28,20,36,8,16,24,4,11,12,22,14,32
115,-36,18,25,28,20,36,8,16,24,19,11,12,22,14,17
116,-42,21,10,16,20,42,26,22,18,28,32,24,34,8,14
117,-42,21,20,26,10,42,16,32,18,8,22,24,14,28,34
118,-42,21,25,16,35,42,26,7,18,28,17,24,34,8,14
119,-42,21,35,26,25,42,16,17,18,8,7,24,14,28,34
120,-48,24,10,19,20,48,29,28,12,22,38,36,16,32,26
121,-48,24,20,14,40,48,34,8,27,32,28,21,41,7,16
122,-48,24,20,29,10,48,19,38,12,32,28,36,26,22,16
123,-48,24,40,34,20,48,14,28,27,7,8,21,16,32,41
124,-54,27,10,22,20,54,32,34,36,16,44,18,28,26,38
125,-54,27,20,32,10,54,22,44,36,26,34,18,38,16,28
