# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-3,1,1,2,2,3,2,1,2,1,2,1,2,1
15,-3,1,2,1,2,3,2,1,2,2,1,1,2,1
16,-9,1,7,2,8,9,3,3,4,4,5,5,6,6
17,-3,2,1,2,1,3,1,1,1,2,1,2,2,2
18,-3,2,1,2,1,3,1,1,2,1,2,1,2,2
19,-3,2,1,2,1,3,2,1,1,1,2,2,2,1
20,-3,2,1,2,1,3,2,1,1,2,1,2,2,1
21,-3,2,1,2,1,3,2,1,2,1,2,1,2,1
22,-3,2,1,2,1,3,2,2,2,1,2,1,1,1
23,-3,2,2,1,1,3,2,1,2,1,2,1,2,1
24,-3,2,2,1,1,3,2,2,2,1,2,1,1,1
25,-11,2,7,4,9,11,6,6,8,1,10,3,5,5
26,-11,2,7,4,9,11,6,6,8,8,3,3,5,5
27,-6,3,0,6,3,6,2,2,5,5,1,1,4,4
28,-13,3,7,6,10,13,9,9,5,5,8,8,4,4
29,-8,4,0,8,4,8,5,5,2,2,6,6,3,3
30,-5,4,3,2,1,5,4,3,2,3,2,3,2,1
31,-8,4,7,1,4,8,5,5,2,2,6,6,3,3
32,-15,4,7,8,11,15,5,5,2,9,6,13,10,10
33,-15,4,7,8,11,15,5,5,9,2,13,6,10,10
34,-15,4,7,8,11,15,12,5,2,9,6,13,10,3
35,-15,4,7,8,11,15,12,5,9,9,6,6,10,3
36,-15,4,7,8,11,15,12,12,9,9,6,6,3,3
37,-10,5,0,10,5,10,8,8,6,6,4,4,2,2
38,-10,5,7,3,5,10,8,8,6,6,4,4,2,2
39,-12,6,0,12,6,12,4,4,3,3,9,9,8,8
40,-12,6,7,5,6,12,4,4,3,3,9,9,8,8
41,-12,6,7,5,6,12,4,4,3,10,2,9,8,8
42,-12,6,7,5,6,12,4,4,10,3,9,2,8,8
43,-12,6,7,5,6,12,4,4,10,10,2,2,8,8
44,-19,6,7,12,13,19,4,11,10,3,16,9,8,15
45,-33,6,21,12,27,33,18,11,24,3,30,9,22,15
46,-33,6,21,12,27,33,18,11,24,17,16,9,22,15
47,-33,6,21,12,27,33,18,25,24,17,16,9,8,15
48,-9,8,7,2,1,9,3,3,4,4,5,5,6,6
49,-16,8,7,9,8,16,3,10,4,4,12,12,6,13
50,-23,8,7,16,15,23,10,17,18,11,12,5,6,13
51,-11,9,7,4,2,11,6,6,8,8,3,3,5,5
52,-18,9,14,4,9,18,6,6,8,15,3,10,12,12
53,-13,10,7,6,3,13,2,9,5,5,8,8,4,11
54,-13,10,7,6,3,13,2,9,12,5,8,1,4,11
55,-13,10,7,6,3,13,9,9,5,5,8,8,4,4
56,-27,10,7,20,17,27,16,9,12,5,22,15,18,11
57,-27,10,21,6,17,27,16,9,12,5,22,15,18,11
58,-27,10,21,6,17,27,16,9,12,19,8,15,18,11
59,-15,11,7,8,4,15,12,5,9,9,6,6,10,3
60,-15,11,7,8,4,15,12,12,9,9,6,6,3,3
61,-17,12,7,10,5,17,8,15,6,13,4,11,2,9
62,-24,12,7,17,12,24,15,8,6,6,18,18,16,9
63,-24,12,14,10,12,24,15,8,6,6,18,18,16,9
64,-30,15,21,9,15,30,24,10,18,18,12,12,20,6
65,-25,16,7,18,9,25,6,13,8,15,10,17,12,19
66,-25,16,7,18,9,25,20,13,8,15,10,17,12,5
67,-18,16,14,4,2,18,13,6,8,8,10,10,12,5
68,-25,16,21,4,9,25,20,13,8,15,10,17,12,5
69,-20,17,14,6,3,20,16,9,12,12,8,8,11,4
70,-26,20,14,12,6,26,18,18,17,10,16,9,8,8
71,-30,22,14,16,8,30,24,10,11,18,12,19,20,6
72,-30,22,21,9,8,30,24,10,18,18,12,12,20,6
73,-27,24,21,6,3,27,16,9,12,19,8,15,18,11
74,-31,26,21,10,5,31,22,15,20,13,18,11,16,9
75,-45,26,35,10,19,45,36,15,20,27,18,25,30,9
76,-51,36,21,30,15,51,24,17,18,39,12,33,34,27
77,-45,40,35,10,5,45,36,15,20,27,18,25,30,9
