# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-10,10,9,8,7,6,5,4,3,2,1
11,-12,12,2,3,4,5,6,7,8,9,10
12,-14,14,6,9,12,4,7,10,2,5,8
13,-16,16,10,4,9,3,8,13,7,12,6
14,-16,16,10,4,9,14,8,2,7,12,6
15,-18,18,3,10,6,13,9,5,12,8,15
16,-18,18,14,10,6,2,9,16,12,8,4
17,-18,18,14,10,6,13,9,5,12,8,4
18,-20,20,7,5,14,12,10,8,6,15,13
19,-20,20,7,16,14,12,10,8,6,4,13
20,-24,24,4,17,8,10,12,14,16,7,20
21,-24,24,15,6,8,10,12,14,16,18,9
22,-24,24,15,6,8,21,12,3,16,18,9
23,-24,24,15,6,19,10,12,14,5,18,9
24,-26,26,8,12,16,20,13,6,10,14,18
25,-28,28,12,7,24,8,14,20,4,21,16
26,-30,30,5,24,10,18,15,12,20,6,25
27,-30,30,16,24,10,18,15,12,20,6,14
