# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-4,2,2,2,2,2,4,2,3,1,2,1,1,3,3,2,3,1,2
19,-6,2,2,3,4,4,6,2,2,2,4,2,2,4,4,2,4,4,4
20,-6,2,2,3,4,4,6,2,2,4,2,4,2,4,2,4,2,4,4
21,-6,2,2,3,4,4,6,2,2,4,4,4,2,4,2,2,2,4,4
22,-6,2,2,3,4,4,6,2,4,2,4,2,2,4,4,2,4,2,4
23,-6,2,2,3,4,4,6,2,4,2,4,4,2,4,2,2,4,2,4
24,-6,2,2,3,4,4,6,2,4,4,2,4,2,4,2,4,2,2,4
25,-6,2,2,3,4,4,6,2,4,4,4,4,2,4,2,2,2,2,4
26,-6,2,2,3,4,4,6,4,2,2,4,2,4,2,4,2,4,4,2
27,-6,2,2,3,4,4,6,4,2,4,2,4,4,2,2,4,2,4,2
28,-6,2,2,3,4,4,6,4,2,4,4,2,2,4,4,2,2,4,2
29,-6,2,2,3,4,4,6,4,2,4,4,4,2,4,2,2,2,4,2
30,-6,2,2,3,4,4,6,4,2,4,4,4,4,2,2,2,2,4,2
31,-6,2,4,3,2,4,6,2,2,2,2,2,2,4,4,4,4,4,4
32,-6,2,4,3,2,4,6,2,2,2,2,2,4,2,4,4,4,4,4
33,-6,2,4,3,2,4,6,2,2,2,2,4,2,4,2,4,4,4,4
34,-6,2,4,3,2,4,6,2,4,4,2,2,2,4,4,4,2,2,4
35,-6,2,4,3,2,4,6,2,4,4,2,4,2,4,2,4,2,2,4
36,-6,2,4,3,2,4,6,2,4,4,4,2,2,4,4,2,2,2,4
37,-6,2,4,3,2,4,6,2,4,4,4,4,2,4,2,2,2,2,4
38,-6,2,4,3,2,4,6,2,4,4,4,4,4,2,2,2,2,2,4
39,-6,2,4,3,2,4,6,4,2,2,4,4,2,4,2,2,4,4,2
40,-6,2,4,3,2,4,6,4,2,4,2,4,4,2,2,4,2,4,2
41,-6,2,4,3,2,4,6,4,2,4,4,4,4,2,2,2,2,4,2
42,-6,2,4,3,2,4,6,4,4,4,2,2,2,4,4,4,2,2,2
43,-6,2,4,3,2,4,6,4,4,4,2,4,2,4,2,4,2,2,2
44,-6,2,4,3,2,4,6,4,4,4,4,4,2,4,2,2,2,2,2
45,-4,3,3,2,1,1,4,2,2,2,2,1,3,1,3,2,2,2,2
46,-18,3,6,9,12,15,18,2,5,8,11,14,17,1,4,7,10,13,16
47,-6,4,2,3,4,2,6,2,2,2,2,2,2,4,4,4,4,4,4
48,-6,4,2,3,4,2,6,2,2,2,2,2,4,2,4,4,4,4,4
49,-6,4,2,3,4,2,6,2,2,2,2,4,4,2,2,4,4,4,4
50,-6,4,2,3,4,2,6,2,2,2,4,2,2,4,4,2,4,4,4
51,-6,4,2,3,4,2,6,2,2,2,4,2,4,2,4,2,4,4,4
52,-6,4,2,3,4,2,6,2,2,4,4,4,2,4,2,2,2,4,4
53,-6,4,2,3,4,2,6,2,2,4,4,4,4,2,2,2,2,4,4
54,-6,4,2,3,4,2,6,2,4,2,2,2,4,2,4,4,4,2,4
55,-6,4,2,3,4,2,6,2,4,4,2,2,4,2,4,4,2,2,4
56,-6,4,2,3,4,2,6,2,4,4,4,4,4,2,2,2,2,2,4
57,-6,4,2,3,4,2,6,4,2,4,2,4,2,4,2,4,2,4,2
58,-6,4,2,3,4,2,6,4,2,4,4,4,2,4,2,2,2,4,2
59,-6,4,2,3,4,2,6,4,2,4,4,4,4,2,2,2,2,4,2
60,-6,4,2,3,4,2,6,4,4,2,4,4,4,2,2,2,4,2,2
61,-6,4,2,3,4,2,6,4,4,4,2,2,2,4,4,4,2,2,2
62,-6,4,2,3,4,2,6,4,4,4,2,4,2,4,2,4,2,2,2
63,-6,4,2,3,4,2,6,4,4,4,4,2,2,4,4,2,2,2,2
64,-6,4,2,3,4,2,6,4,4,4,4,4,2,4,2,2,2,2,2
65,-6,4,2,3,4,2,6,4,4,4,4,4,4,2,2,2,2,2,2
66,-6,4,4,3,2,2,6,2,4,2,2,2,2,4,4,4,4,2,4
67,-6,4,4,3,2,2,6,2,4,2,2,2,4,2,4,4,4,2,4
68,-6,4,4,3,2,2,6,4,2,4,4,4,2,4,2,2,2,4,2
69,-6,4,4,3,2,2,6,4,2,4,4,4,4,2,2,2,2,4,2
70,-6,4,4,3,2,2,6,4,4,4,2,4,2,4,2,4,2,2,2
71,-24,4,8,12,16,20,24,9,13,17,2,6,10,14,18,22,7,11,15
72,-24,4,8,12,16,20,24,9,13,17,21,6,10,14,18,3,7,11,15
73,-30,5,10,15,20,25,30,16,21,7,12,17,22,8,13,18,23,9,14
74,-30,5,10,15,20,25,30,16,21,26,12,17,22,8,13,18,4,9,14
75,-36,6,12,18,24,30,36,4,10,16,22,28,15,21,8,14,20,26,32
76,-36,6,12,18,24,30,36,23,10,16,3,9,15,21,27,33,20,26,13
77,-36,6,12,18,24,30,36,23,10,16,22,9,15,21,27,14,20,26,13
78,-36,6,12,18,24,30,36,23,10,16,22,28,15,21,8,14,20,26,13
79,-36,6,12,18,24,30,36,23,29,16,22,9,15,21,27,14,20,7,13
80,-36,6,12,18,24,30,36,23,29,16,22,28,15,21,8,14,20,7,13
81,-42,7,14,21,28,35,42,30,18,6,13,20,27,15,22,29,36,24,12
82,-42,7,14,21,28,35,42,30,18,25,13,20,27,15,22,29,17,24,12
83,-42,7,14,21,28,35,42,30,18,25,32,20,27,15,22,10,17,24,12
84,-42,7,14,21,28,35,42,30,37,25,32,20,27,15,22,10,17,5,12
85,-48,8,16,24,32,40,48,18,26,15,4,12,20,28,36,44,33,22,30
86,-48,8,16,24,32,40,48,18,26,15,23,12,20,28,36,25,33,22,30
87,-48,8,16,24,32,40,48,18,26,34,23,31,20,28,17,25,14,22,30
88,-48,8,16,24,32,40,48,37,26,15,4,12,20,28,36,44,33,22,11
89,-48,8,16,24,32,40,48,37,26,15,23,12,20,28,36,25,33,22,11
90,-48,8,16,24,32,40,48,37,26,15,23,31,20,28,17,25,33,22,11
91,-48,8,16,24,32,40,48,37,26,34,23,12,20,28,36,25,14,22,11
92,-48,8,16,24,32,40,48,37,26,34,23,31,20,28,17,25,14,22,11
93,-54,9,18,27,36,45,54,44,34,24,14,23,32,22,31,40,30,20,10
94,-54,9,18,27,36,45,54,44,34,24,33,23,32,22,31,21,30,20,10
95,-54,9,18,27,36,45,54,44,34,24,33,42,32,22,12,21,30,20,10
96,-54,9,18,27,36,45,54,44,34,43,33,23,32,22,31,21,11,20,10
97,-22,10,20,11,2,12,22,13,4,14,5,15,6,16,7,17,8,18,9
98,-60,10,20,30,40,50,60,32,23,14,5,15,25,35,45,55,46,37,28
99,-60,10,20,30,40,50,60,32,42,14,24,15,25,35,45,36,46,18,28
100,-60,10,20,30,40,50,60,32,42,14,24,34,25,35,26,36,46,18,28
101,-60,10,20,30,40,50,60,51,42,33,24,15,25,35,45,36,27,18,9
102,-60,10,20,30,40,50,60,51,42,33,24,34,25,35,26,36,27,18,9
103,-60,10,20,30,40,50,60,51,42,33,43,34,25,35,26,17,27,18,9
104,-28,11,22,14,6,17,28,20,12,4,15,7,18,10,21,13,24,16,8
105,-28,11,22,14,6,17,28,20,12,4,15,26,18,10,2,13,24,16,8
106,-28,11,22,14,6,17,28,20,12,23,15,7,18,10,21,13,5,16,8
107,-66,11,22,33,44,55,66,58,50,42,34,26,37,29,40,32,24,16,8
108,-66,11,22,33,44,55,66,58,50,42,34,45,37,29,21,32,24,16,8
109,-34,12,24,17,10,22,34,8,20,13,6,18,11,23,16,28,21,14,26
110,-34,12,24,17,10,22,34,8,20,13,6,18,30,4,16,28,21,14,26
111,-34,12,24,17,10,22,34,8,20,13,25,18,11,23,16,9,21,14,26
112,-34,12,24,17,10,22,34,8,20,13,25,18,30,4,16,9,21,14,26
113,-34,12,24,17,10,22,34,8,20,32,6,18,30,4,16,28,2,14,26
114,-34,12,24,17,10,22,34,27,20,13,6,18,11,23,16,28,21,14,7
115,-34,12,24,17,10,22,34,27,20,13,25,18,11,23,16,9,21,14,7
116,-72,12,24,36,48,60,72,27,20,32,25,18,30,42,54,47,40,52,45
117,-72,12,24,36,48,60,72,27,20,32,44,18,30,42,54,28,40,52,45
118,-72,12,24,36,48,60,72,46,20,32,25,37,49,23,35,47,40,52,26
119,-72,12,24,36,48,60,72,46,20,32,44,37,49,23,35,28,40,52,26
120,-72,12,24,36,48,60,72,46,20,32,44,56,49,23,16,28,40,52,26
121,-72,12,24,36,48,60,72,46,39,13,6,18,30,42,54,66,59,33,26
122,-72,12,24,36,48,60,72,46,58,51,44,37,30,42,35,28,21,14,26
123,-72,12,24,36,48,60,72,65,58,51,44,37,30,42,35,28,21,14,7
124,-40,13,26,20,14,27,40,15,9,22,16,10,23,17,30,24,18,31,25
125,-40,13,26,20,14,27,40,15,9,22,35,10,23,17,30,5,18,31,25
126,-40,13,26,20,14,27,40,15,28,22,16,10,23,17,30,24,18,12,25
127,-40,13,26,20,14,27,40,15,28,22,35,10,23,17,30,5,18,12,25
128,-40,13,26,20,14,27,40,34,28,22,16,10,23,17,30,24,18,12,6
129,-40,13,26,20,14,27,40,34,28,22,16,29,23,17,11,24,18,12,6
130,-78,13,26,39,52,65,78,34,47,60,54,48,42,36,30,24,18,31,44
131,-78,13,26,39,52,65,78,53,66,60,54,48,42,36,30,24,18,12,25
132,-78,13,26,39,52,65,78,72,66,60,54,48,42,36,30,24,18,12,6
133,-46,14,28,23,18,32,46,22,17,12,7,21,16,30,25,39,34,29,24
134,-46,14,28,23,18,32,46,22,17,12,7,21,35,11,25,39,34,29,24
135,-46,14,28,23,18,32,46,22,17,12,26,40,16,30,6,20,34,29,24
136,-46,14,28,23,18,32,46,22,36,12,26,21,35,11,25,20,34,10,24
137,-46,14,28,23,18,32,46,22,36,12,26,40,16,30,6,20,34,10,24
138,-46,14,28,23,18,32,46,22,36,31,26,21,16,30,25,20,15,10,24
139,-46,14,28,23,18,32,46,41,36,31,26,21,16,30,25,20,15,10,5
140,-84,14,28,42,56,70,84,60,36,12,7,21,35,49,63,77,72,48,24
141,-84,14,28,42,56,70,84,60,36,12,26,21,35,49,63,58,72,48,24
142,-84,14,28,42,56,70,84,60,36,12,26,40,35,49,44,58,72,48,24
143,-84,14,28,42,56,70,84,60,36,50,64,40,35,49,44,20,34,48,24
144,-52,15,30,26,22,37,52,10,25,40,36,32,28,24,20,16,12,27,42
145,-52,15,30,26,22,37,52,29,44,21,36,13,28,24,39,16,31,8,23
146,-52,15,30,26,22,37,52,29,44,40,36,32,28,24,20,16,12,8,23
147,-52,15,30,26,22,37,52,48,44,40,36,32,28,24,20,16,12,8,4
148,-20,16,13,10,7,4,20,17,14,11,8,5,2,18,15,12,9,6,3
149,-58,16,32,29,26,42,58,36,14,30,8,24,40,18,34,50,28,44,22
150,-58,16,32,29,26,42,58,36,14,30,27,43,40,18,15,31,28,44,22
151,-58,16,32,29,26,42,58,36,14,30,46,24,21,37,34,12,28,44,22
152,-58,16,32,29,26,42,58,36,14,30,46,24,40,18,34,12,28,44,22
153,-58,16,32,29,26,42,58,36,33,11,8,24,21,37,34,50,47,25,22
154,-58,16,32,29,26,42,58,36,33,11,8,24,40,18,34,50,47,25,22
155,-58,16,32,29,26,42,58,36,52,30,46,24,40,18,34,12,28,6,22
156,-96,16,32,48,64,80,96,36,33,30,27,24,40,56,72,69,66,63,60
157,-96,16,32,48,64,80,96,36,33,30,46,24,40,56,72,50,66,63,60
158,-96,16,32,48,64,80,96,36,52,68,65,62,40,56,34,31,28,44,60
159,-96,16,32,48,64,80,96,55,71,68,46,62,40,56,34,50,28,25,41
160,-96,16,32,48,64,80,96,55,71,68,65,62,40,56,34,31,28,25,41
161,-96,16,32,48,64,80,96,74,52,68,46,62,59,37,34,50,28,44,22
162,-96,16,32,48,64,80,96,74,52,68,65,62,40,56,34,31,28,44,22
163,-96,16,32,48,64,80,96,74,52,68,65,62,59,37,34,31,28,44,22
164,-96,16,32,48,64,80,96,74,71,68,46,62,40,56,34,50,28,25,22
165,-96,16,32,48,64,80,96,74,71,68,65,62,40,56,34,31,28,25,22
