# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-4,2,2,2,1,1,2,3,2,1,2,3,2,3
14,-4,2,2,2,3,3,2,1,2,3,2,1,2,1
15,-14,2,7,4,2,4,6,6,8,8,10,10,12,12
16,-14,2,7,4,9,4,6,6,8,8,10,10,12,5
17,-14,2,7,4,9,11,6,6,8,8,10,3,12,5
18,-14,2,7,4,9,11,6,13,8,1,10,3,12,5
19,-14,4,7,8,4,8,5,12,9,2,6,6,10,10
20,-14,4,7,8,4,8,12,5,2,9,6,6,10,10
21,-14,4,7,8,4,8,12,12,2,2,6,6,10,10
22,-14,4,7,8,11,1,12,5,2,9,6,13,10,3
23,-14,4,7,8,11,8,5,5,9,9,6,6,10,3
24,-14,4,7,8,11,8,12,5,2,9,6,6,10,3
25,-14,5,7,10,5,3,8,8,6,6,4,11,9,9
26,-14,5,7,10,12,10,8,8,6,6,4,4,9,2
27,-14,6,7,5,6,5,4,11,10,3,9,9,8,8
28,-14,6,7,5,6,12,4,4,10,10,9,2,8,8
29,-14,6,7,12,6,5,4,4,10,10,2,9,8,8
30,-14,6,7,12,6,5,4,11,10,3,2,9,8,8
31,-14,6,7,12,6,12,4,4,10,10,2,2,8,8
32,-14,6,7,12,13,5,4,11,10,3,2,9,8,1
33,-14,8,7,2,1,9,10,3,4,11,12,5,6,13
34,-14,8,7,2,8,2,10,10,4,4,12,12,6,6
35,-14,8,7,2,8,9,10,3,4,11,12,5,6,6
36,-14,8,7,2,8,9,10,10,4,4,12,5,6,6
37,-14,8,7,9,8,2,10,10,4,4,5,12,6,6
38,-14,8,7,9,8,9,10,3,4,11,5,5,6,6
39,-28,8,14,16,22,9,10,10,18,18,12,19,20,6
40,-14,9,7,4,2,4,6,6,8,8,10,10,5,12
41,-14,9,7,4,9,11,6,6,8,8,10,3,5,5
42,-14,10,7,6,3,6,2,9,12,5,8,8,4,11
43,-14,10,7,6,3,6,9,9,5,5,8,8,4,11
44,-14,10,7,6,3,13,2,9,12,5,8,1,4,11
45,-14,10,7,6,10,6,2,2,12,12,8,8,4,4
46,-14,10,7,6,10,6,2,9,12,5,8,8,4,4
47,-14,10,7,6,10,6,9,2,5,12,8,8,4,4
48,-28,10,14,20,10,6,16,9,12,19,8,22,18,18
49,-14,12,7,10,5,3,8,1,6,13,4,11,2,9
50,-14,12,7,10,5,3,8,8,6,6,4,11,2,9
51,-14,12,7,10,5,10,8,8,6,6,4,4,2,9
52,-14,12,7,10,12,10,8,8,6,6,4,4,2,2
53,-28,12,14,10,19,10,8,22,20,6,18,18,16,9
54,-42,12,21,24,33,31,22,15,20,27,18,11,30,9
55,-28,16,14,18,9,18,20,6,8,22,10,10,12,19
56,-28,18,14,8,18,22,12,19,16,9,20,6,10,10
57,-42,18,21,22,11,15,12,33,30,9,20,27,24,31
58,-28,20,14,12,6,19,18,18,10,10,16,9,8,22
59,-42,20,21,12,27,33,18,11,24,31,30,9,22,15
60,-42,22,21,30,15,9,24,31,18,11,12,33,20,27
61,-42,24,21,20,31,27,30,9,12,33,22,15,18,11
62,-42,30,21,18,9,11,20,27,22,15,24,31,12,33
