# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-10,2,4,6,8,10,1,3,5,7,9
11,-20,4,8,12,16,20,13,6,10,14,7
12,-14,5,10,4,9,14,8,2,7,12,6
13,-30,6,12,18,24,30,14,20,15,10,16
14,-30,6,12,18,24,30,25,20,15,10,5
15,-24,7,14,10,17,24,20,16,12,8,4
16,-18,8,5,13,10,18,4,12,9,6,14
17,-18,8,5,13,10,18,15,12,9,6,3
18,-18,8,16,2,10,18,4,12,9,6,14
19,-12,9,7,5,3,12,10,8,6,4,2
20,-16,12,2,14,4,16,6,7,8,9,10
21,-16,12,13,3,4,16,6,7,8,9,10
22,-26,14,6,20,12,26,18,10,13,16,8
23,-20,15,8,12,5,20,13,6,10,14,7
24,-24,18,3,21,6,24,9,16,12,8,15
25,-24,18,14,10,6,24,9,5,12,19,15
26,-24,18,14,10,6,24,9,16,12,8,15
27,-28,21,20,8,7,28,16,4,14,24,12
