# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-3,1,1,2,1,2,2,3,1,2,2,1,1,2
15,-3,1,1,2,1,2,2,3,2,1,2,1,2,1
16,-6,2,0,4,2,4,6,6,1,1,3,3,5,5
17,-3,2,1,1,2,1,2,3,2,1,2,1,2,1
18,-3,2,1,2,1,1,2,3,1,2,2,1,1,2
19,-3,2,1,2,1,1,2,3,2,1,1,2,2,1
20,-3,2,1,2,1,1,2,3,2,1,2,1,2,1
21,-3,2,1,2,1,1,2,3,2,2,2,1,1,1
22,-3,2,2,1,2,1,1,3,2,1,2,1,2,1
23,-3,2,2,2,1,1,1,3,1,1,1,2,2,2
24,-3,2,2,2,1,1,1,3,2,1,2,1,2,1
25,-13,2,7,4,9,11,6,13,8,1,10,3,12,5
26,-13,2,7,4,9,11,6,13,8,8,10,3,5,5
27,-9,3,7,6,3,6,2,9,5,5,1,8,4,4
28,-9,3,7,6,3,6,2,9,5,5,8,1,4,4
29,-16,3,7,6,10,13,9,16,12,12,8,8,4,4
30,-12,4,0,8,4,8,12,12,9,9,6,6,3,3
31,-5,4,3,2,3,1,2,5,2,3,4,1,2,3
32,-12,4,7,8,4,8,5,12,2,2,6,6,10,10
33,-12,4,7,8,4,8,5,12,2,9,6,6,3,10
34,-12,4,7,8,4,8,5,12,9,2,6,6,10,3
35,-12,4,7,8,4,8,5,12,9,9,6,6,3,3
36,-19,4,7,8,11,15,12,19,16,9,6,13,10,3
37,-8,5,0,3,5,3,8,8,6,6,4,4,2,2
38,-8,5,7,3,5,3,1,8,6,6,4,4,2,2
39,-15,5,7,10,5,10,8,15,6,13,4,11,2,9
40,-15,5,7,10,5,10,8,15,13,6,4,11,9,2
41,-11,6,7,5,6,5,4,11,3,3,2,9,8,8
42,-11,6,7,5,6,5,4,11,3,3,9,2,8,8
43,-11,6,7,5,6,5,4,11,10,3,2,9,8,1
44,-25,6,7,12,13,19,18,25,10,17,16,9,8,15
45,-18,6,14,12,6,12,4,18,3,10,9,9,8,15
46,-10,8,0,2,8,2,10,10,4,4,5,5,6,6
47,-10,8,7,2,8,2,3,10,4,4,5,5,6,6
48,-17,8,7,2,15,9,10,17,4,11,12,5,6,13
49,-13,9,7,4,9,4,6,13,8,8,3,10,5,5
50,-13,9,7,4,9,4,6,13,8,8,10,3,5,5
51,-23,10,7,6,17,13,16,23,12,5,8,15,18,11
52,-15,12,7,3,12,3,8,15,6,6,4,11,9,9
53,-15,12,7,3,12,3,8,15,6,6,11,4,9,9
54,-15,12,7,10,5,3,8,15,6,6,4,11,9,9
55,-15,12,7,10,5,3,8,15,6,6,11,4,9,9
56,-15,12,7,10,5,3,8,15,6,13,4,11,2,9
57,-18,13,14,12,6,5,4,18,10,10,16,2,8,8
58,-24,15,7,16,8,9,17,24,18,18,12,12,6,6
59,-24,15,14,16,8,9,10,24,18,18,12,12,6,6
60,-27,16,7,18,9,11,20,27,22,15,10,17,12,5
61,-20,16,14,11,9,4,6,20,8,8,17,3,12,12
62,-27,16,21,18,9,11,6,27,8,15,10,17,12,19
63,-27,16,21,18,9,11,6,27,8,15,24,3,12,19
64,-27,16,21,18,9,11,6,27,22,15,10,17,12,5
65,-26,18,14,8,18,8,12,26,16,9,20,6,17,10
66,-33,18,21,8,25,15,12,33,16,9,6,27,24,17
67,-33,18,21,22,11,15,12,33,16,9,6,27,24,17
68,-33,18,21,22,11,15,12,33,30,9,6,27,24,3
69,-25,20,7,12,13,5,18,25,10,17,16,9,8,15
70,-25,20,21,12,13,5,4,25,10,17,16,9,8,15
71,-31,22,21,16,15,9,10,31,18,11,26,5,20,13
72,-30,24,14,20,10,6,16,30,12,19,22,8,11,18
73,-30,24,21,20,10,6,9,30,12,12,15,15,18,18
74,-30,24,21,20,10,6,9,30,12,12,22,8,18,18
75,-51,24,21,34,17,27,30,51,12,33,36,15,18,39
76,-45,36,35,30,15,9,10,45,18,25,26,19,20,27
77,-45,36,35,30,15,9,10,45,18,25,40,5,20,27
