Index,t_0,t_1,t_2,t_3,t_4
0,0,0,0,0,1
1,0,0,0,5,0
2,0,0,2,1,0
3,0,1,0,2,0
4,0,1,1,0,0
5,1,0,0,1,0
6,2,1,0,0,0
