# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,1,2,3,3,2,1,1,2,3,4,1,2,2,2,2,3
17,-6,2,4,2,2,3,4,4,2,4,6,2,2,2,4,4,4
18,-6,2,4,2,4,3,2,4,2,4,6,4,2,2,4,4,2
19,-20,2,4,6,8,10,12,14,16,18,20,5,7,9,11,13,15
20,-30,3,6,9,12,15,18,21,24,27,30,16,19,22,8,11,14
21,-6,4,2,2,2,3,4,4,4,2,6,2,2,4,2,4,4
22,-6,4,2,2,2,3,4,4,4,2,6,4,2,2,4,4,2
23,-6,4,2,2,2,3,4,4,4,2,6,4,2,4,2,4,2
24,-6,4,2,2,4,3,2,4,4,2,6,4,4,4,2,2,2
25,-6,4,2,4,4,3,2,2,4,2,6,2,4,4,2,2,4
26,-6,4,2,4,4,3,2,2,4,2,6,4,4,4,2,2,2
27,-6,4,4,2,2,3,4,4,2,2,6,4,2,4,2,4,2
28,-40,4,8,12,16,20,24,28,32,36,40,27,14,18,22,26,13
29,-40,4,8,12,16,20,24,28,32,36,40,27,31,18,22,9,13
30,-16,5,10,15,3,8,13,1,6,11,16,4,9,14,2,7,12
31,-50,5,10,15,20,25,30,35,40,45,50,38,26,31,19,24,12
32,-26,6,12,18,7,13,19,8,14,20,26,15,4,10,16,22,11
33,-26,6,12,18,7,13,19,8,14,20,26,15,21,10,16,5,11
34,-26,6,12,18,24,13,2,8,14,20,26,15,4,10,16,22,11
35,-60,6,12,18,24,30,36,42,48,54,60,49,38,27,33,22,11
36,-36,7,14,21,11,18,25,15,22,29,36,26,16,23,13,20,10
37,-36,7,14,21,28,18,8,15,22,29,36,9,16,23,13,20,27
38,-36,7,14,21,28,18,8,15,22,29,36,26,16,23,13,20,10
39,-70,7,14,21,28,35,42,49,56,63,70,60,50,40,30,20,10
40,-46,8,16,24,15,23,31,22,30,38,46,37,28,19,27,18,9
