# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 + a_16x_16 + a_17x_17 + a_18x_18 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15,a_16,a_17,a_18
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,-2,0,1,0,1,2,0,1,2,1,1,0,2,1,1,2,1,1,2,1
19,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,-4,1,2,2,3,1,3,3,2,1,2,2,3,3,2,4,1,1,2,2
21,-4,1,3,2,3,1,3,2,2,1,1,2,3,3,2,4,1,2,2,2
22,-8,1,5,2,6,5,3,5,6,2,3,4,7,6,4,8,2,3,4,4
23,-6,2,0,4,2,0,6,0,2,4,6,3,4,2,3,6,4,6,3,3
24,-4,2,1,2,1,2,2,3,2,3,3,2,2,1,2,4,3,1,2,2
25,-4,2,1,2,3,2,2,3,2,1,3,2,2,3,2,4,1,1,2,2
26,-6,2,2,2,2,2,4,4,4,4,4,2,4,4,3,6,2,2,4,3
27,-6,2,2,2,4,2,4,4,4,2,4,4,4,2,3,6,4,2,2,3
28,-6,2,2,4,2,2,4,2,2,4,4,2,4,4,3,6,2,4,4,3
29,-6,2,2,4,2,2,4,4,2,4,4,2,4,4,3,6,2,2,4,3
30,-6,2,2,4,2,2,4,4,2,4,4,4,4,4,3,6,2,2,2,3
31,-6,2,2,4,2,4,2,4,2,4,4,4,4,4,3,6,2,2,2,3
32,-6,2,2,4,4,2,4,2,2,2,4,2,4,2,3,6,4,4,4,3
33,-6,2,2,4,4,2,4,4,2,2,4,2,4,2,3,6,4,2,4,3
34,-4,2,3,2,1,2,2,1,2,3,1,2,2,1,2,4,3,3,2,2
35,-4,2,3,2,3,2,2,1,2,1,1,2,2,3,2,4,1,3,2,2
36,-6,2,3,4,2,2,4,5,2,4,3,2,4,4,3,6,2,1,4,3
37,-6,2,3,4,3,2,4,5,2,3,3,4,4,5,3,6,1,1,2,3
38,-6,2,3,4,5,2,4,5,2,1,3,4,4,3,3,6,3,1,2,3
39,-6,2,3,4,5,4,2,5,2,1,3,4,4,3,3,6,3,1,2,3
40,-6,2,4,2,2,2,4,2,4,4,2,4,4,4,3,6,2,4,2,3
41,-6,2,4,2,4,2,4,2,4,2,2,2,4,2,3,6,4,4,4,3
42,-6,2,4,4,2,2,4,2,2,4,2,2,4,4,3,6,2,4,4,3
43,-6,2,4,4,2,2,4,5,2,4,2,2,4,4,3,6,2,1,4,3
44,-6,2,4,4,4,2,4,2,2,2,2,2,4,2,3,6,4,4,4,3
45,-6,2,4,4,4,2,4,2,2,2,2,4,4,2,3,6,4,4,2,3
46,-6,2,4,4,4,4,2,2,2,2,2,4,4,2,3,6,4,4,2,3
47,-6,2,5,4,2,0,6,5,2,4,1,3,4,2,3,6,4,1,3,3
48,-6,2,5,4,2,5,1,5,2,4,1,3,4,2,3,6,4,1,3,3
49,-6,2,5,4,3,2,4,3,2,3,1,4,4,5,3,6,1,3,2,3
50,-6,2,5,4,3,2,4,5,2,3,1,4,4,5,3,6,1,1,2,3
51,-6,2,5,4,3,4,2,3,2,3,1,4,4,5,3,6,1,3,2,3
52,-6,2,5,4,4,2,4,3,2,2,1,2,4,2,3,6,4,3,4,3
53,-6,2,5,4,4,2,4,4,2,2,1,2,4,2,3,6,4,2,4,3
54,-6,2,5,4,5,2,4,3,2,1,1,4,4,3,3,6,3,3,2,3
55,-6,2,5,4,5,2,4,5,2,1,1,4,4,3,3,6,3,1,2,3
56,-4,3,0,1,3,0,4,0,3,1,4,2,1,3,2,4,1,4,2,2
57,-4,3,1,2,3,2,2,3,2,1,3,2,1,3,2,4,1,1,2,2
58,-4,3,3,2,3,2,2,1,2,1,1,2,1,3,2,4,1,3,2,2
59,-6,4,1,4,1,2,4,3,2,5,5,4,2,3,3,6,3,3,2,3
60,-6,4,1,4,3,2,4,1,2,3,5,4,2,3,3,6,3,5,2,3
61,-6,4,1,4,5,2,4,3,2,1,5,4,2,3,3,6,3,3,2,3
62,-6,4,2,2,2,4,2,4,4,4,4,4,2,2,3,6,4,2,2,3
63,-6,4,2,2,2,4,2,4,4,4,4,4,2,4,3,6,2,2,2,3
64,-6,4,2,4,2,4,2,2,2,4,4,2,2,2,3,6,4,4,4,3
65,-6,4,2,4,2,4,2,2,2,4,4,4,2,2,3,6,4,4,2,3
66,-6,4,2,4,4,2,4,4,2,2,4,2,2,2,3,6,4,2,4,3
67,-6,4,2,4,4,4,2,2,2,2,4,4,2,4,3,6,2,4,2,3
68,-6,4,2,4,5,4,2,5,2,1,4,4,2,3,3,6,3,1,2,3
69,-6,4,3,4,3,2,4,1,2,3,3,4,2,1,3,6,5,5,2,3
70,-6,4,3,4,3,2,4,1,2,3,3,4,2,5,3,6,1,5,2,3
71,-6,4,3,4,3,2,4,5,2,3,3,4,2,1,3,6,5,1,2,3
72,-6,4,3,4,3,2,4,5,2,3,3,4,2,5,3,6,1,1,2,3
73,-6,4,3,4,3,4,2,5,2,3,3,4,2,1,3,6,5,1,2,3
74,-6,4,3,4,5,2,4,5,2,1,3,4,2,3,3,6,3,1,2,3
75,-6,4,3,4,5,4,2,5,2,1,3,4,2,1,3,6,5,1,2,3
76,-6,4,3,4,5,4,2,5,2,1,3,4,2,3,3,6,3,1,2,3
77,-6,4,4,2,2,2,4,4,4,4,2,2,2,4,3,6,2,2,4,3
78,-6,4,4,2,2,4,2,2,4,4,2,4,2,2,3,6,4,4,2,3
79,-6,4,4,2,4,2,4,4,4,2,2,2,2,2,3,6,4,2,4,3
80,-6,4,4,2,4,4,2,2,4,2,2,4,2,2,3,6,4,4,2,3
81,-6,4,4,4,2,2,4,2,2,4,2,2,2,4,3,6,2,4,4,3
82,-6,4,4,4,4,4,2,4,2,2,2,2,2,4,3,6,2,2,4,3
83,-12,4,5,3,9,10,2,5,9,3,7,6,8,9,6,12,3,7,6,6
84,-6,4,5,4,1,2,4,3,2,5,1,4,2,3,3,6,3,3,2,3
85,-6,4,5,4,1,4,2,3,2,5,1,4,2,3,3,6,3,3,2,3
86,-6,4,5,4,1,4,2,3,2,5,1,4,2,5,3,6,1,3,2,3
87,-6,4,5,4,3,2,4,3,2,3,1,4,2,5,3,6,1,3,2,3
88,-6,4,5,4,3,4,2,2,2,3,1,4,2,5,3,6,1,4,2,3
89,-6,4,5,4,3,4,2,3,2,3,1,4,2,5,3,6,1,3,2,3
90,-6,4,5,4,5,2,4,3,2,1,1,4,2,3,3,6,3,3,2,3
91,-12,4,5,8,4,5,7,10,4,8,7,6,8,9,6,12,3,2,6,6
92,-12,4,5,8,4,10,2,5,4,8,7,6,8,4,6,12,8,7,6,6
93,-12,4,5,8,4,10,2,5,4,8,7,6,8,9,6,12,3,7,6,6
94,-12,4,5,8,4,10,2,10,4,8,7,6,8,4,6,12,8,2,6,6
95,-12,4,5,8,9,0,12,5,4,3,7,6,8,9,6,12,3,7,6,6
96,-12,4,5,8,9,5,7,10,4,3,7,6,8,4,6,12,8,2,6,6
97,-12,4,5,8,9,5,7,10,4,3,7,6,8,9,6,12,3,2,6,6
98,-12,4,5,8,9,10,2,5,4,3,7,6,8,4,6,12,8,7,6,6
99,-12,4,5,8,9,10,2,5,4,3,7,6,8,9,6,12,3,7,6,6
100,-12,4,5,8,9,10,2,10,4,3,7,6,8,4,6,12,8,2,6,6
101,-22,4,5,8,9,10,12,5,14,13,17,16,18,9,11,22,13,17,6,11
102,-22,4,5,8,9,10,12,15,14,13,17,6,18,9,11,22,13,7,16,11
103,-22,4,5,8,9,10,12,15,14,13,17,6,18,14,11,22,8,7,16,11
104,-22,4,5,8,9,10,12,15,14,13,17,16,18,9,11,22,13,7,6,11
105,-22,4,5,8,9,10,12,15,14,13,17,16,18,19,11,22,3,7,6,11
106,-12,4,10,8,4,5,7,5,4,8,2,6,8,9,6,12,3,7,6,6
107,-12,4,10,8,4,5,7,10,4,8,2,6,8,9,6,12,3,2,6,6
108,-12,4,10,8,4,10,2,5,4,8,2,6,8,4,6,12,8,7,6,6
109,-12,4,10,8,4,10,2,5,4,8,2,6,8,9,6,12,3,7,6,6
110,-12,4,10,8,9,0,12,10,4,3,2,6,8,9,6,12,3,2,6,6
111,-12,4,10,8,9,5,7,5,4,3,2,6,8,4,6,12,8,7,6,6
112,-12,4,10,8,9,5,7,5,4,3,2,6,8,9,6,12,3,7,6,6
113,-12,4,10,8,9,5,7,10,4,3,2,6,8,4,6,12,8,2,6,6
114,-12,4,10,8,9,5,7,10,4,3,2,6,8,9,6,12,3,2,6,6
115,-22,4,15,8,9,10,12,5,14,13,7,6,18,9,11,22,13,17,16,11
116,-22,4,15,8,9,10,12,5,14,13,7,16,18,9,11,22,13,17,6,11
117,-22,4,15,8,9,10,12,15,14,13,7,16,18,9,11,22,13,7,6,11
118,-22,4,15,8,9,10,12,15,14,13,7,16,18,19,11,22,3,7,6,11
119,-22,4,15,8,14,10,12,5,14,8,7,6,18,9,11,22,13,17,16,11
120,-22,4,15,8,19,10,12,5,14,3,7,16,18,9,11,22,13,17,6,11
121,-22,4,15,8,19,10,12,15,14,3,7,16,18,9,11,22,13,7,6,11
122,-8,6,5,2,1,0,8,5,6,7,3,4,2,1,4,8,7,3,4,4
123,-8,6,5,2,1,5,3,5,6,7,3,4,2,1,4,8,7,3,4,4
