Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6
0,0,0,0,0,0,0,7
1,0,0,0,0,0,3,1
2,0,0,0,0,1,2,0
3,0,0,0,0,2,0,1
4,0,0,0,0,5,0,0
5,0,0,0,1,0,0,3
6,0,0,0,1,0,1,1
7,0,0,0,1,1,0,0
8,0,0,1,0,0,0,2
9,0,0,1,0,0,1,0
10,0,0,3,0,0,0,0
11,0,1,0,0,0,0,1
12,0,1,1,1,0,0,0
13,0,2,0,0,1,0,0
14,0,3,1,0,0,0,0
15,1,0,0,0,0,0,0
