# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-4,4,3,2,1,1,2,3,2,2,2,1,2,3
14,-6,6,0,5,6,5,4,4,3,3,2,2,1,1
15,-8,8,0,2,8,2,3,3,4,4,5,5,6,6
16,-8,8,7,2,1,2,3,3,4,4,5,5,6,6
17,-10,10,0,6,10,6,2,2,5,5,8,8,4,4
18,-10,10,7,6,3,6,2,2,5,5,8,8,4,4
19,-10,10,7,6,3,6,2,9,5,5,8,1,4,4
20,-12,12,0,3,12,3,8,8,6,6,4,4,9,9
21,-12,12,7,3,5,3,8,8,6,6,4,4,9,9
22,-12,12,7,3,5,10,8,8,6,6,4,4,9,2
23,-12,12,7,10,5,3,8,1,6,6,4,11,2,9
24,-12,12,7,10,5,3,8,8,6,6,4,4,2,9
25,-12,12,7,10,5,10,8,8,6,6,4,4,2,2
26,-16,16,7,4,9,4,6,13,8,8,10,3,12,12
27,-16,16,7,4,9,11,6,6,8,8,10,10,12,5
28,-16,16,7,4,9,11,6,13,8,8,10,3,12,5
29,-16,16,7,11,9,4,6,13,8,8,10,3,5,12
30,-16,16,14,4,2,11,6,6,8,8,10,10,12,5
31,-18,18,7,8,11,15,12,5,9,9,6,13,10,3
32,-18,18,14,8,4,8,12,12,9,9,6,6,10,10
33,-18,18,14,8,4,15,12,5,9,9,6,13,10,3
34,-18,18,14,8,4,15,12,12,9,9,6,6,10,3
35,-20,20,7,12,13,5,4,11,10,10,16,9,8,15
36,-20,20,14,12,6,5,4,11,10,10,16,9,8,15
37,-20,20,14,12,6,5,4,18,10,10,16,2,8,15
38,-24,24,7,6,17,6,16,9,12,12,8,15,18,18
39,-24,24,7,6,17,13,16,9,12,12,8,15,18,11
40,-24,24,14,6,10,6,16,9,12,12,8,15,18,18
41,-24,24,14,6,10,20,16,9,12,12,8,15,18,4
42,-24,24,21,6,3,13,16,9,12,12,8,15,18,11
43,-24,24,21,6,3,20,16,9,12,12,8,15,18,4
