Index,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10
0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,0,0,0,0,0,0,0,1,3
2,0,0,0,0,0,0,0,0,0,4,0
3,0,0,0,0,0,0,0,0,2,0,0
4,0,0,0,0,0,0,0,2,0,0,2
5,0,0,0,0,0,0,0,3,0,1,0
6,0,0,0,0,0,0,1,0,0,0,1
7,0,0,0,0,0,0,2,2,0,0,0
8,0,0,0,0,0,0,8,0,0,0,0
9,0,0,0,0,0,1,0,0,0,1,1
10,0,0,0,0,0,1,0,2,0,0,0
11,0,0,0,0,0,4,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,2
13,0,0,0,0,1,0,0,1,0,1,0
14,0,0,0,0,1,0,2,0,0,0,0
15,0,0,0,0,1,1,0,0,0,0,0
16,0,0,0,2,0,0,0,0,0,0,0
17,0,0,1,0,0,0,0,1,0,0,0
18,0,0,1,0,0,0,3,0,0,0,0
19,0,0,1,0,0,1,1,0,0,0,0
20,0,0,4,0,0,0,0,0,0,0,0
21,0,1,0,0,0,0,0,0,0,1,0
22,0,1,1,0,1,0,0,0,0,0,0
23,0,2,0,0,0,0,0,0,0,0,2
24,0,2,0,0,0,0,2,0,0,0,0
25,0,2,0,0,0,1,0,0,0,0,0
26,0,3,1,0,0,0,0,0,0,0,0
27,1,0,0,0,0,0,0,0,0,0,0
