# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,1,2,3,1,1,2,2,2,2,2,3,3,1,2,3,4
17,-16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
18,-6,2,2,4,2,4,4,2,3,4,2,2,4,2,4,4,6
19,-6,2,2,4,4,4,4,2,3,4,2,2,2,2,4,4,6
20,-6,4,2,2,2,4,4,4,3,2,2,2,4,4,4,2,6
21,-6,4,2,2,4,4,2,4,3,2,4,2,2,4,4,2,6
22,-6,4,2,2,4,4,4,4,3,2,2,2,2,4,4,2,6
23,-6,4,2,4,4,4,4,2,3,4,2,2,2,2,4,2,6
24,-6,4,4,2,2,2,2,4,3,2,4,4,4,4,2,2,6
25,-6,4,4,2,4,4,4,4,3,2,2,2,2,4,2,2,6
26,-6,4,4,4,4,2,2,4,3,2,4,4,2,2,2,2,6
27,-30,4,8,12,16,20,7,11,15,19,23,10,14,18,22,26,30
28,-30,4,8,12,16,20,24,11,15,19,6,10,14,18,22,26,30
29,-30,4,8,12,16,20,24,28,15,2,6,10,14,18,22,26,30
30,-28,6,12,18,7,13,19,8,14,20,9,15,21,10,16,22,28
31,-28,6,12,18,7,13,19,25,14,3,9,15,21,10,16,22,28
32,-28,6,12,18,24,13,2,8,14,20,26,15,4,10,16,22,28
33,-28,6,12,18,24,13,19,8,14,20,9,15,4,10,16,22,28
34,-26,8,16,7,15,6,14,5,13,21,12,20,11,19,10,18,26
35,-26,8,16,7,15,6,14,22,13,4,12,20,11,19,10,18,26
36,-26,8,16,24,15,6,14,22,13,4,12,20,11,2,10,18,26
37,-42,9,18,10,19,28,20,12,21,30,22,14,23,32,24,33,42
38,-42,9,18,27,19,11,20,12,21,30,22,31,23,15,24,33,42
39,-42,9,18,27,36,11,20,12,21,30,22,31,6,15,24,33,42
40,-42,9,18,27,36,28,3,12,21,30,39,14,6,15,24,33,42
