Index,t_0,t_1,t_2,t_3,t_4,t_5
0,0,0,0,0,0,4
1,0,0,0,0,2,0
2,0,0,0,1,0,1
3,0,0,0,6,0,0
4,0,0,1,0,0,0
5,0,1,0,2,0,0
6,0,2,0,0,0,1
7,0,5,0,0,0,0
8,1,1,0,0,0,0
9,3,0,0,0,0,0
