# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8
0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,1,0,0,0,0,0
6,0,0,0,1,0,0,0,0,0,0
7,0,0,1,0,0,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0
9,-4,4,0,3,4,2,3,1,2,1
10,-6,6,0,2,6,3,2,4,3,4
11,-6,6,5,2,1,3,2,4,3,4
12,-8,8,5,6,3,4,1,2,4,7
13,-8,8,5,6,3,4,6,2,4,2
14,-12,12,5,4,7,6,9,8,6,3
15,-12,12,10,4,2,6,9,8,6,3
