Index,t_0,t_1,t_2,t_3
0,0,1,1,0
1,1,0,0,1
2,5,0,0,0
3,2,0,1,0
4,0,0,5,0
5,1,2,0,0
6,0,5,0,0
7,0,1,0,2
8,0,0,2,1
9,0,0,0,5
