# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,-2,0,2,2,1,0,1,2,0,2,1,0,2,1,1
14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,-6,2,0,2,0,4,2,4,6,6,4,3,3,6,3
16,-6,2,2,2,4,4,2,4,4,6,4,2,4,2,3
17,-6,2,4,2,2,4,2,4,2,6,4,4,2,4,3
18,-6,2,5,2,5,4,2,4,1,6,4,3,3,1,3
19,-4,3,0,3,0,1,3,1,4,4,1,2,2,4,2
20,-4,3,1,1,2,3,2,1,3,4,2,3,1,2,2
21,-8,3,2,2,4,6,4,5,6,8,4,6,2,4,4
22,-14,3,5,8,10,6,13,11,9,14,1,12,2,4,7
23,-12,4,5,4,10,8,4,8,7,12,8,6,6,2,6
24,-12,4,10,4,5,8,4,8,2,12,8,6,6,7,6
25,-8,6,2,2,4,6,4,2,6,8,4,3,5,4,4
26,-10,6,4,4,8,6,2,4,6,10,8,6,4,2,5
27,-8,6,5,1,5,7,6,2,3,8,2,4,4,3,4
28,-8,6,5,2,4,6,4,2,3,8,4,6,2,4,4
29,-8,6,5,2,7,6,4,2,3,8,4,3,5,1,4
30,-8,6,5,5,4,3,1,2,3,8,7,6,2,4,4
31,-8,6,5,6,5,2,1,2,3,8,7,4,4,3,4
32,-8,6,5,6,5,2,6,2,3,8,2,4,4,3,4
33,-18,6,5,6,10,12,6,12,13,18,12,14,4,8,9
34,-18,6,10,6,5,12,6,12,8,18,12,4,14,13,9
35,-18,6,10,6,10,12,6,12,8,18,12,4,14,8,9
36,-18,6,10,6,10,12,6,12,8,18,12,14,4,8,9
37,-28,6,10,16,20,12,11,22,18,28,17,9,19,8,14
38,-28,6,10,16,20,12,11,22,18,28,17,24,4,8,14
39,-38,6,20,26,10,12,16,32,18,38,22,24,14,28,19
40,-14,8,5,8,10,6,3,6,9,14,11,12,2,4,7
41,-14,8,10,8,10,6,3,6,4,14,11,12,2,4,7
42,-14,8,10,8,10,6,8,6,4,14,6,12,2,4,7
43,-12,9,5,4,10,8,4,3,7,12,8,6,6,2,6
44,-12,9,5,4,10,8,9,3,7,12,3,6,6,2,6
45,-22,9,10,4,5,18,14,13,12,22,8,6,16,17,11
46,-22,9,10,4,20,18,14,13,12,22,8,6,16,2,11
47,-16,12,5,12,10,4,7,4,11,16,9,8,8,6,8
48,-16,12,5,12,10,4,12,4,11,16,4,8,8,6,8
49,-26,12,5,17,10,9,7,14,21,26,19,18,8,16,13
50,-16,12,10,7,5,9,2,4,6,16,14,3,13,11,8
51,-16,12,10,7,5,9,12,4,6,16,4,8,8,11,8
52,-16,12,10,7,10,9,2,4,6,16,14,13,3,6,8
53,-16,12,10,12,5,4,7,4,6,16,9,8,8,11,8
54,-16,12,10,12,5,4,12,4,6,16,4,8,8,11,8
55,-46,12,10,22,20,24,32,34,36,46,14,18,28,26,23
56,-26,12,20,2,10,24,22,14,6,26,4,18,8,16,13
57,-26,12,20,17,10,9,7,14,6,26,19,18,8,16,13
58,-26,12,20,17,10,9,22,14,6,26,4,18,8,16,13
59,-56,12,20,32,40,24,37,44,36,56,19,18,38,16,28
60,-34,18,10,13,20,21,8,16,24,34,26,12,22,14,17
61,-34,18,10,13,20,21,8,16,24,34,26,27,7,14,17
62,-34,18,10,28,20,6,8,16,24,34,26,12,22,14,17
63,-34,18,10,28,20,6,23,16,24,34,11,12,22,14,17
64,-34,18,25,13,20,21,8,16,9,34,26,27,7,14,17
65,-28,21,10,16,20,12,11,7,18,28,17,9,19,8,14
66,-28,21,10,16,20,12,11,7,18,28,17,24,4,8,14
67,-32,24,20,14,10,18,4,8,12,32,28,21,11,22,16
68,-32,24,20,14,10,18,19,8,12,32,13,6,26,22,16
69,-32,24,20,14,10,18,19,8,12,32,13,21,11,22,16
70,-32,24,20,14,25,18,4,8,12,32,28,21,11,7,16
71,-32,24,20,14,25,18,19,8,12,32,13,6,26,7,16
72,-32,24,20,14,25,18,19,8,12,32,13,21,11,7,16
73,-52,24,40,19,20,33,14,28,12,52,38,36,16,32,26
74,-44,33,20,8,25,36,28,11,24,44,16,12,32,19,22
75,-44,33,20,8,40,36,28,11,24,44,16,12,32,4,22
76,-56,42,20,17,40,39,22,14,36,56,34,18,38,16,28
77,-56,42,20,32,40,24,37,14,36,56,19,18,38,16,28
78,-56,42,35,32,40,24,7,14,21,56,49,48,8,16,28
79,-56,42,35,32,40,24,22,14,21,56,34,48,8,16,28
80,-64,48,40,43,20,21,23,16,24,64,41,42,22,44,32
81,-64,48,40,43,20,21,38,16,24,64,26,42,22,44,32
