# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-18,2,4,6,8,10,12,14,16,18,9
11,-16,3,6,9,12,4,7,10,13,16,8
12,-14,4,8,12,5,9,2,6,10,14,7
13,-12,5,10,4,9,3,8,2,7,12,6
14,-10,6,1,7,2,8,3,9,4,10,5
15,-28,8,16,24,21,7,4,12,20,28,14
16,-24,10,9,8,18,6,16,15,14,24,12
17,-24,10,9,19,18,6,5,15,14,24,12
18,-24,10,20,8,7,17,16,4,14,24,12
19,-20,12,13,14,4,16,6,7,8,20,10
20,-20,12,13,14,15,5,6,7,8,20,10
21,-18,13,4,6,8,10,12,14,5,18,9
22,-18,13,15,6,8,10,12,3,5,18,9
23,-16,14,6,9,12,4,7,10,2,16,8
24,-30,18,14,10,6,24,20,16,12,30,15
25,-30,18,25,10,6,24,20,5,12,30,15
26,-26,20,18,16,14,12,10,8,6,26,13
27,-24,21,9,8,18,6,16,15,3,24,12
