# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,-1,0,1,0,1,1,0,1,0,1,0,1,0,1
13,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,-3,1,3,2,1,1,2,1,2,1,2,1,2,2
15,-7,1,7,2,1,2,3,3,4,4,5,5,6,6
16,-3,2,3,1,1,1,2,1,2,1,2,2,2,1
17,-3,2,3,2,1,1,1,1,2,2,2,1,2,1
18,-3,2,3,2,1,1,2,1,2,1,2,1,2,1
19,-3,2,3,2,1,1,2,2,1,1,2,1,2,1
20,-3,2,3,2,1,2,2,1,2,1,1,1,2,1
21,-3,2,3,2,2,1,2,1,2,1,2,1,1,1
22,-5,2,5,2,3,3,4,1,4,1,2,3,2,3
23,-5,2,5,4,3,1,2,3,2,3,4,1,2,3
24,-7,2,7,4,2,4,6,6,1,1,3,3,5,5
25,-7,2,7,4,5,3,6,1,6,1,4,3,2,5
26,-14,2,14,4,9,4,6,6,8,8,10,10,5,12
27,-7,3,7,6,3,6,2,2,5,5,1,1,4,4
28,-14,3,14,6,10,6,9,2,12,5,8,8,4,11
29,-5,4,5,2,1,3,2,3,2,3,2,3,4,1
30,-7,4,7,1,4,1,5,5,2,2,6,6,3,3
31,-7,4,7,6,3,1,2,5,2,5,6,1,4,3
32,-14,4,14,8,4,8,5,12,2,9,6,6,10,10
33,-14,4,14,8,4,8,12,5,9,2,6,6,10,10
34,-14,4,14,8,11,8,12,5,9,2,6,6,3,10
35,-21,4,21,8,11,15,12,5,16,9,6,13,10,17
36,-7,5,7,3,5,3,1,1,6,6,4,4,2,2
37,-14,5,14,10,5,3,8,8,6,6,11,4,9,9
38,-14,5,14,10,12,10,8,8,6,6,4,4,2,9
39,-7,6,7,2,1,5,4,3,4,3,2,5,6,1
40,-7,6,7,5,6,5,4,4,3,3,2,2,1,1
41,-14,6,14,5,6,5,11,4,10,3,9,9,8,8
42,-14,6,14,5,6,12,4,4,10,10,2,9,8,8
43,-14,6,14,12,6,5,4,4,10,10,9,2,8,8
44,-14,6,14,12,6,5,4,11,3,10,9,2,8,8
45,-21,6,21,12,13,5,4,11,10,17,16,9,8,15
46,-21,6,21,12,13,5,18,11,10,3,16,9,8,15
47,-21,6,21,12,13,12,18,4,17,3,9,9,8,15
48,-14,8,14,2,8,9,10,10,4,4,5,12,6,6
49,-14,8,14,9,8,2,3,10,4,11,12,5,6,6
50,-14,8,14,9,8,2,10,10,4,4,12,5,6,6
51,-14,8,14,9,8,9,10,3,11,4,5,5,6,6
52,-21,8,21,9,15,9,17,3,18,4,12,12,6,13
53,-21,8,21,16,15,9,10,3,18,11,12,5,6,13
54,-21,8,21,16,15,9,10,17,4,11,12,5,6,13
55,-14,9,14,4,2,4,6,6,8,8,10,10,12,5
56,-14,9,14,4,2,11,6,6,8,8,3,10,12,5
57,-14,9,14,11,9,4,6,6,8,8,10,3,5,5
58,-21,9,21,18,9,4,6,13,8,15,17,3,12,12
59,-14,10,14,6,3,6,9,9,5,5,8,8,11,4
60,-14,10,14,6,10,6,2,9,5,12,8,8,4,4
61,-14,10,14,6,10,6,9,2,12,5,8,8,4,4
62,-21,10,21,6,3,13,16,9,12,5,8,15,18,11
63,-21,10,21,6,17,13,16,9,12,5,8,15,4,11
64,-35,10,35,20,17,13,30,9,26,5,22,15,18,25
65,-14,11,14,8,4,8,5,5,9,9,6,6,10,3
66,-14,12,14,3,5,10,8,8,6,6,4,11,9,2
67,-14,12,14,10,5,10,8,8,6,6,4,4,9,2
68,-21,12,21,10,5,3,8,15,6,13,18,11,16,9
69,-21,12,21,10,5,17,8,15,6,13,4,11,16,9
70,-21,12,21,17,12,3,8,15,6,13,18,4,9,9
71,-21,16,21,4,9,11,6,13,8,15,10,17,12,5
72,-21,16,21,18,9,11,6,13,8,15,10,3,12,5
73,-21,17,21,6,3,13,9,9,12,12,8,15,18,4
74,-21,18,21,8,4,15,12,12,9,9,6,13,17,3
75,-21,18,21,8,11,15,12,5,16,9,6,13,10,3
76,-35,18,35,22,25,15,26,5,30,9,20,13,10,17
77,-35,20,35,26,13,5,18,25,10,17,30,9,22,15
78,-35,22,35,30,15,9,10,17,18,25,26,5,20,13
79,-35,26,35,10,5,17,22,15,20,13,18,25,30,9
80,-35,30,35,18,9,25,20,13,22,15,10,17,26,5
