# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 + a_10x_10 + a_11x_11 + a_12x_12 + a_13x_13 + a_14x_14 + a_15x_15 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9,a_10,a_11,a_12,a_13,a_14,a_15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,-4,2,1,2,2,3,3,3,1,1,1,2,2,3,2,4,2
17,-6,2,4,2,2,2,2,2,4,4,4,4,4,2,4,6,3
18,-6,2,4,2,2,2,2,4,2,4,4,4,4,2,4,6,3
19,-6,2,4,2,4,2,2,2,4,4,4,2,4,2,4,6,3
20,-6,2,4,4,2,2,2,2,4,4,4,4,2,2,4,6,3
21,-6,2,4,4,4,4,2,4,2,4,2,2,2,2,4,6,3
22,-6,2,4,4,4,4,4,2,4,2,2,2,2,2,4,6,3
23,-30,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30,15
24,-28,3,6,9,12,15,18,21,7,10,13,16,19,22,25,28,14
25,-6,4,2,2,2,2,4,2,4,2,4,4,4,4,2,6,3
26,-6,4,2,2,2,2,4,4,2,2,4,4,4,4,2,6,3
27,-6,4,4,2,2,2,4,2,4,2,4,4,4,2,2,6,3
28,-26,4,8,12,16,20,7,11,15,19,6,10,14,18,22,26,13
29,-26,4,8,12,16,20,24,11,15,2,6,10,14,18,22,26,13
30,-24,5,10,15,3,8,13,18,6,11,16,21,9,14,19,24,12
31,-24,5,10,15,20,8,13,18,6,11,16,4,9,14,19,24,12
32,-22,6,12,18,7,13,2,8,14,20,9,15,4,10,16,22,11
33,-22,6,12,18,7,13,19,8,14,3,9,15,4,10,16,22,11
34,-20,7,14,4,11,18,8,15,5,12,2,9,16,6,13,20,10
35,-18,8,16,7,15,6,14,5,13,4,12,3,11,2,10,18,9
36,-52,8,16,24,32,40,31,39,13,21,12,20,28,36,44,52,26
37,-52,8,16,24,32,40,48,39,13,4,12,20,28,36,44,52,26
38,-16,9,1,10,2,11,3,12,4,13,5,14,6,15,7,16,8
39,-48,10,20,13,23,16,26,36,12,22,32,25,35,28,38,48,24
40,-48,10,20,30,23,33,26,36,12,22,15,25,18,28,38,48,24
