# In order b + a_0x_0 + a_1x_1 + a_2x_2 + a_3x_3 + a_4x_4 + a_5x_5 + a_6x_6 + a_7x_7 + a_8x_8 + a_9x_9 >= 0
index,b,a_0,a_1,a_2,a_3,a_4,a_5,a_6,a_7,a_8,a_9
0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0
2,0,0,0,0,0,0,0,0,1,0,0
3,0,0,0,0,0,0,0,1,0,0,0
4,0,0,0,0,0,0,1,0,0,0,0
5,0,0,0,0,0,1,0,0,0,0,0
6,0,0,0,0,1,0,0,0,0,0,0
7,0,0,0,1,0,0,0,0,0,0,0
8,0,0,1,0,0,0,0,0,0,0,0
9,0,1,0,0,0,0,0,0,0,0,0
10,-12,2,4,6,8,10,12,3,5,7,9
11,-18,3,6,9,12,15,18,10,13,5,8
12,-24,4,8,12,16,20,24,17,10,14,7
13,-30,5,10,15,20,25,30,24,18,12,6
14,-14,6,12,7,2,8,14,9,4,10,5
15,-20,7,14,10,6,13,20,5,12,8,15
16,-20,7,14,10,6,13,20,16,12,8,4
17,-26,8,16,13,10,18,26,12,20,6,14
18,-10,9,7,5,3,1,10,8,6,4,2
19,-16,10,9,8,7,6,16,4,3,13,12
20,-16,10,9,8,7,6,16,4,14,2,12
21,-28,12,24,14,4,16,28,7,8,20,21
22,-18,14,6,9,12,4,18,10,2,16,8
23,-18,14,6,9,12,4,18,10,13,5,8
24,-24,15,8,12,16,9,24,6,10,14,18
25,-24,15,8,12,16,9,24,6,21,3,18
26,-24,15,19,12,5,9,24,6,10,14,18
27,-30,16,10,15,20,14,30,24,18,12,6
